X,Y
0.0000,115.000
0.0651,96.113
0.1302,90.555
0.1953,77.949
0.2603,100.270
0.3254,87.088
0.3905,77.000
0.4556,92.363
0.5207,85.540
0.5858,82.874
0.6508,77.000
0.7159,87.644
0.7810,137.055
0.8461,99.071
0.9112,95.480
0.9763,99.005
1.0413,111.576
1.1064,117.936
1.1715,115.000
1.2366,139.813
1.3017,137.385
1.3668,80.270
1.4318,77.000
1.4969,96.686
1.5620,129.536
1.6271,79.145
1.6922,78.310
1.7573,108.900
1.8224,101.897
1.8874,77.000
1.9525,121.281
2.0176,108.736
2.0827,103.930
2.1478,100.586
2.2129,106.686
2.2779,79.621
2.3430,119.923
2.4081,113.012
2.4732,111.747
2.5383,84.049
2.6034,111.207
2.6684,119.281
2.7335,98.056
2.7986,77.000
2.8637,79.485
2.9288,79.711
2.9939,77.542
3.0589,96.746
3.1240,144.138
3.1891,117.661
3.2542,90.201
3.3193,92.724
3.3844,97.966
3.4494,82.693
3.5145,100.270
3.5796,105.853
3.6447,134.755
3.7098,115.000
3.7749,115.000
3.8400,124.444
3.9050,121.885
3.9701,88.432
4.0352,114.503
4.1003,115.000
4.1654,113.554
4.2305,92.724
4.2955,77.000
4.3606,77.000
4.4257,95.661
4.4908,108.703
4.5559,149.423
4.6210,114.886
4.6860,92.995
4.7511,96.520
4.8162,79.711
4.8813,87.064
4.9464,162.197
5.0115,119.483
5.0765,86.805
5.1416,114.367
5.2067,146.130
5.2718,115.000
5.3369,107.138
5.4020,92.227
5.4671,116.345
5.5321,128.912
5.5972,121.168
5.6623,115.000
5.7274,157.791
5.7925,153.376
5.8576,208.197
5.9226,176.773
5.9877,161.862
6.0528,174.966
6.1179,227.319
6.1830,248.558
6.2481,204.546
6.3131,237.007
6.3782,255.000
6.4433,255.000
6.5084,255.000
6.5735,250.880
6.6386,247.466
6.7036,242.586
6.7687,254.658
6.8338,255.000
6.8989,255.000
6.9640,255.000
7.0291,255.000
7.0941,238.448
7.1592,227.136
7.2243,170.847
7.2894,192.310
7.3545,252.466
7.4196,183.768
7.4847,169.950
7.5497,154.000
7.6148,143.798
7.6799,147.740
7.7450,126.361
7.8101,152.655
7.8752,118.674
7.9402,137.963
8.0053,162.268
8.0704,134.994
8.1355,159.178
8.2006,148.711
8.2657,163.080
8.3307,145.143
8.3958,120.379
8.4609,144.243
8.5260,151.449
8.5911,164.435
8.6562,122.423
8.7212,155.011
8.7863,147.138
8.8514,149.345
8.9165,199.621
8.9816,156.879
9.0467,151.272
9.1118,160.088
9.1768,154.000
9.2419,127.310
9.3070,161.295
9.3721,150.754
9.4372,115.000
9.5023,185.614
9.5673,164.533
9.6324,206.496
9.6975,167.617
9.7626,150.326
9.8277,154.000
9.8928,162.268
9.9578,124.414
10.0229,149.966
10.0880,150.062
10.1531,130.931
10.2182,175.069
10.2833,145.793
10.3483,142.225
10.4134,186.914
10.4785,134.013
10.5436,120.133
10.6087,125.438
10.6738,146.766
10.7388,217.684
10.8039,190.661
10.8690,145.146
10.9341,134.793
10.9992,131.705
11.0643,79.655
11.1294,104.301
11.1944,101.445
11.2595,108.990
11.3246,115.000
11.3897,99.050
11.4548,95.751
11.5199,103.930
11.5849,99.773
11.6500,82.693
11.7151,77.000
11.7802,88.793
11.8453,103.839
11.9104,77.678
11.9754,85.675
12.0405,77.000
12.1056,83.867
12.1707,128.700
12.2358,88.929
12.3009,77.000
12.3659,82.241
12.4310,106.370
12.4961,79.711
12.5612,85.675
12.6263,88.902
12.6914,94.304
12.7565,81.880
12.8215,78.175
12.8866,98.824
12.9517,77.813
13.0168,77.000
13.0819,77.000
13.1470,77.000
13.2120,77.000
