X,Y
0.0000,77.000
0.0651,77.000
0.1302,77.259
0.1953,98.714
0.2603,97.680
0.3254,77.000
0.3905,79.327
0.4556,77.000
0.5207,77.000
0.5858,87.663
0.6508,96.129
0.7159,85.014
0.7810,80.878
0.8461,77.000
0.9112,77.000
0.9763,77.000
1.0413,82.170
1.1064,94.901
1.1715,80.490
1.2366,104.595
1.3017,101.816
1.3668,77.000
1.4318,78.422
1.4969,77.000
1.5620,83.204
1.6271,94.320
1.6922,85.401
1.7573,77.000
1.8224,89.667
1.8874,81.588
1.9525,96.643
2.0176,124.549
2.0827,108.796
2.1478,79.908
2.2129,80.231
2.2779,80.167
2.3430,79.327
2.4081,77.000
2.4732,77.000
2.5383,93.286
2.6034,96.905
2.6684,77.452
2.7335,77.000
2.7986,142.214
2.8637,101.694
2.9288,92.704
2.9939,93.286
3.0589,102.527
3.1240,77.000
3.1891,77.000
3.2542,90.184
3.3193,78.163
3.3844,90.442
3.4494,110.024
3.5145,93.673
3.5796,105.371
3.6447,102.333
3.7098,88.245
3.7749,111.639
3.8400,89.990
3.9050,81.653
3.9701,100.163
4.0352,94.286
4.1003,77.000
4.1654,84.755
4.2305,79.973
4.2955,98.714
4.3606,97.099
4.4257,98.973
4.4908,101.898
4.5559,83.333
4.6210,99.786
4.6860,119.122
4.7511,93.286
4.8162,91.347
4.8813,121.679
4.9464,85.531
5.0115,99.167
5.0765,107.633
5.1416,112.083
5.2067,130.143
5.2718,115.000
5.3369,115.000
5.4020,139.405
5.4671,231.000
5.5321,211.832
5.5972,230.337
5.6623,222.046
5.7274,213.224
5.7925,198.235
5.8576,222.653
5.9226,169.833
5.9877,184.517
6.0528,174.745
6.1179,187.476
6.1830,162.014
6.2481,159.327
6.3131,166.876
6.3782,179.167
6.4433,184.536
6.5084,162.789
6.5735,162.619
6.6386,180.276
6.7036,133.111
6.7687,119.245
6.8338,124.750
6.8989,116.459
6.9640,115.000
7.0291,130.796
7.0941,149.490
7.1592,150.551
7.2243,126.541
7.2894,141.000
7.3545,149.291
7.4196,157.520
7.4847,122.240
7.5497,115.000
7.6148,105.306
7.6799,82.429
7.7450,115.000
7.8101,115.000
7.8752,115.000
7.9402,125.082
8.0053,137.087
8.0704,125.476
8.1355,180.214
8.2006,115.000
8.2657,115.464
8.3307,122.503
8.3958,132.510
8.4609,143.918
8.5260,152.690
8.5911,110.714
8.6562,118.250
8.7212,118.316
8.7863,139.872
8.8514,121.367
8.9165,115.000
8.9816,115.000
9.0467,123.457
9.1118,115.333
9.1768,109.571
9.2419,115.000
9.3070,119.510
9.3721,126.265
9.4372,115.000
9.5023,115.000
9.5673,115.000
9.6324,140.469
9.6975,123.092
9.7626,102.714
9.8277,99.748
9.8928,115.000
9.9578,115.000
10.0229,115.000
10.0880,115.000
10.1531,162.143
10.2182,144.046
10.2833,132.694
10.3483,115.000
10.4134,114.483
10.4785,99.167
10.5436,107.633
10.6087,112.083
10.6738,130.143
10.7388,123.954
10.8039,115.663
10.8690,96.323
10.9341,115.000
