X,Y
0.0000,77.000
0.0651,80.454
0.1302,77.085
0.1953,77.000
0.2603,90.563
0.3254,77.530
0.3905,110.473
0.4556,114.560
0.5207,105.302
0.5858,108.280
0.6508,111.756
0.7159,79.533
0.7810,112.220
0.8461,115.000
0.9112,80.244
0.9763,98.683
1.0413,78.989
1.1064,111.061
1.1715,81.171
1.2366,110.598
1.3017,115.000
1.3668,143.684
1.4318,87.605
1.4969,106.837
1.5620,87.805
1.6271,78.660
1.6922,96.887
1.7573,95.223
1.8224,80.640
1.8874,87.872
1.9525,101.877
2.0176,83.000
2.0827,107.585
2.1478,114.305
2.2129,84.013
2.2779,77.000
2.3430,97.978
2.4081,82.280
2.4732,90.885
2.5383,115.405
2.6034,89.368
2.6684,77.000
2.7335,105.268
2.7986,115.000
2.8637,87.625
2.9288,78.208
2.9939,77.000
3.0589,85.100
3.1240,97.729
3.1891,95.720
3.2542,110.055
3.3193,97.598
3.3844,79.939
3.4494,77.000
3.5145,102.488
3.5796,89.355
3.6447,77.000
3.7098,77.000
3.7749,92.173
3.8400,87.979
3.9050,88.755
3.9701,85.187
4.0352,92.852
4.1003,88.126
4.1654,77.000
4.2305,79.551
4.2955,99.707
4.3606,115.000
4.4257,115.000
4.4908,115.000
4.5559,106.235
4.6210,117.798
4.6860,112.544
4.7511,103.552
4.8162,119.959
4.8813,135.698
4.9464,132.192
5.0115,116.665
5.0765,135.196
5.1416,160.453
5.2067,173.919
5.2718,184.332
5.3369,182.500
5.4020,173.042
5.4671,160.171
5.5321,172.305
5.5972,192.000
5.6623,158.653
5.7274,135.948
5.7925,156.892
5.8576,149.923
5.9226,135.257
5.9877,141.193
6.0528,153.580
6.1179,123.069
6.1830,99.833
6.2481,127.621
6.3131,151.046
6.3782,154.000
6.4433,138.925
6.5084,124.098
6.5735,131.308
6.6386,153.499
6.7036,168.134
6.7687,178.098
6.8338,156.692
6.8989,167.485
6.9640,166.787
7.0291,184.234
7.0941,178.486
7.1592,157.912
7.2243,159.793
7.2894,184.543
7.3545,200.253
7.4196,142.110
7.4847,121.039
7.5497,136.275
7.6148,126.652
7.6799,114.637
7.7450,85.921
7.8101,88.569
7.8752,124.540
7.9402,131.224
8.0053,86.500
8.0704,99.327
8.1355,118.832
8.2006,85.805
8.2657,109.720
8.3307,85.681
8.3958,85.110
8.4609,114.135
8.5260,114.445
8.5911,114.457
8.6562,109.926
8.7212,115.000
8.7863,110.616
8.8514,97.322
8.9165,114.696
8.9816,107.519
9.0467,115.000
9.1118,115.000
9.1768,109.671
9.2419,77.062
9.3070,80.012
9.3721,83.488
9.4372,89.057
9.5023,100.340
9.5673,93.915
9.6324,99.108
9.6975,115.000
9.7626,114.090
9.8277,105.374
9.8928,79.780
9.9578,112.451
10.0229,80.244
10.0880,83.720
10.1531,88.054
10.2182,100.874
10.2833,94.282
10.3483,96.080
10.4134,141.557
10.4785,77.000
10.5436,77.379
10.6087,111.762
10.6738,154.000
