X,Y
0.0000,38.000
0.0651,74.079
0.1302,78.148
0.1953,88.954
0.2603,77.000
0.3254,77.000
0.3905,77.000
0.4556,77.000
0.5207,77.000
0.5858,78.786
0.6508,77.000
0.7159,77.000
0.7810,77.000
0.8461,77.000
0.9112,77.000
0.9763,77.000
1.0413,77.000
1.1064,77.000
1.1715,77.236
1.2366,62.818
1.3017,66.525
1.3668,84.949
1.4318,91.250
1.4969,69.369
1.5620,41.545
1.6271,62.818
1.6922,77.000
1.7573,77.000
1.8224,77.000
1.8874,77.000
1.9525,62.818
2.0176,41.545
2.0827,66.364
2.1478,77.000
2.2129,77.000
2.2779,77.000
2.3430,77.000
2.4081,77.000
2.4732,77.000
2.5383,56.191
2.6034,88.355
2.6684,101.182
2.7335,80.180
2.7986,77.000
2.8637,105.500
2.9288,92.761
2.9939,77.000
3.0589,73.374
3.1240,83.281
3.1891,79.041
3.2542,105.932
3.3193,96.451
3.3844,74.909
3.4494,111.545
3.5145,95.607
3.5796,77.000
3.6447,93.017
3.7098,111.545
3.7749,84.694
3.8400,77.000
3.9050,80.140
3.9701,123.149
4.0352,92.094
4.1003,77.000
4.1654,77.000
4.2305,77.000
4.2955,81.750
4.3606,133.915
4.4257,91.318
4.4908,92.251
4.5559,89.818
4.6210,85.322
4.6860,98.413
4.7511,100.514
4.8162,81.671
4.8813,77.000
4.9464,77.000
5.0115,88.875
5.0765,109.386
5.1416,77.589
5.2067,77.000
5.2718,77.000
5.3369,90.504
5.4020,102.693
5.4671,81.946
5.5321,114.943
5.5972,144.411
5.6623,154.000
5.7274,173.000
5.7925,171.273
5.8576,160.477
5.9226,191.784
5.9877,158.946
6.0528,191.864
6.1179,166.859
6.1830,157.685
6.2481,159.603
6.3131,117.896
6.3782,80.062
6.4433,77.000
6.5084,97.727
6.5735,113.763
6.6386,90.818
6.7036,77.000
6.7687,77.000
6.8338,64.420
6.8989,125.520
6.9640,113.007
7.0291,118.798
7.0941,116.483
7.1592,77.000
7.2243,106.830
7.2894,127.661
7.3545,85.558
7.4196,77.000
7.4847,77.530
7.5497,77.000
7.6148,104.420
7.6799,93.841
7.7450,77.000
7.8101,77.000
7.8752,77.000
7.9402,97.727
8.0053,86.225
8.0704,77.000
8.1355,64.128
8.2006,71.375
8.2657,77.000
8.3307,77.000
8.3958,66.444
8.4609,62.093
8.5260,77.000
8.5911,77.000
8.6562,78.472
8.7212,80.180
8.7863,82.908
8.8514,77.000
8.9165,77.000
8.9816,79.709
9.0467,108.758
9.1118,115.000
9.1768,85.852
9.2419,103.404
9.3070,93.625
9.3721,95.215
9.4372,107.816
9.5023,77.785
9.5673,75.429
9.6324,100.318
9.6975,84.152
9.7626,96.145
9.8277,78.649
9.8928,109.975
9.9578,94.999
10.0229,91.250
10.0880,55.727
10.1531,52.021
10.2182,77.000
10.2833,83.674
10.3483,82.496
10.4134,77.000
10.4785,91.662
10.5436,101.182
10.6087,80.455
10.6738,77.000
10.7388,107.875
10.8039,83.085
10.8690,77.000
10.9341,72.488
10.9992,77.000
11.0643,77.000
11.1294,75.127
11.1944,92.818
11.2595,83.948
11.3246,86.007
11.3897,112.154
11.4548,77.000
