X,Y
0.0000,115.000
0.0651,115.000
0.1302,115.000
0.1953,78.513
0.2603,77.000
0.3254,107.611
0.3905,114.893
0.4556,87.699
0.5207,91.460
0.5858,98.018
0.6508,162.075
0.7159,95.950
0.7810,80.130
0.8461,78.596
0.9112,95.070
0.9763,98.024
1.0413,105.920
1.1064,114.431
1.1715,85.115
1.2366,105.416
1.3017,115.000
1.3668,97.901
1.4318,100.686
1.4969,113.823
1.5620,111.334
1.6271,111.038
1.6922,115.000
1.7573,98.926
1.8224,91.524
1.8874,100.333
1.9525,146.410
2.0176,153.095
2.0827,132.834
2.1478,115.266
2.2129,109.956
2.2779,96.187
2.3430,100.698
2.4081,103.107
2.4732,117.294
2.5383,116.360
2.6034,111.564
2.6684,133.073
2.7335,102.352
2.7986,128.620
2.8637,146.814
2.9288,103.287
2.9939,80.295
3.0589,95.537
3.1240,120.066
3.1891,130.587
3.2542,131.264
3.3193,117.508
3.3844,127.474
3.4494,142.438
3.5145,107.667
3.5796,100.883
3.6447,121.643
3.7098,139.678
3.7749,106.075
3.8400,89.143
3.9050,109.415
3.9701,129.951
4.0352,121.903
4.1003,147.615
4.1654,113.572
4.2305,110.918
4.2955,94.671
4.3606,116.890
4.4257,120.647
4.4908,80.499
4.5559,112.744
4.6210,98.606
4.6860,147.253
4.7511,130.217
4.8162,115.531
4.8813,151.757
4.9464,153.960
5.0115,154.000
5.0765,150.560
5.1416,177.347
5.2067,141.833
5.2718,153.872
5.3369,118.451
5.4020,150.031
5.4671,119.487
5.5321,115.000
5.5972,87.577
5.6623,141.874
5.7274,146.752
5.7925,99.582
5.8576,111.530
5.9226,145.889
5.9877,154.000
6.0528,125.154
6.1179,159.289
6.1830,144.447
6.2481,149.361
6.3131,146.747
6.3782,130.460
6.4433,139.499
6.5084,150.723
6.5735,128.288
6.6386,140.195
6.7036,110.705
6.7687,101.308
6.8338,122.411
6.8989,117.574
6.9640,106.289
7.0291,133.871
7.0941,146.580
7.1592,153.682
7.2243,195.765
7.2894,180.847
7.3545,163.500
7.4196,152.982
7.4847,127.319
7.5497,115.000
7.6148,111.769
7.6799,107.191
7.7450,99.027
7.8101,77.000
7.8752,77.000
7.9402,77.000
8.0053,77.000
8.0704,82.357
8.1355,91.300
8.2006,80.193
8.2657,90.125
8.3307,98.802
8.3958,77.000
8.4609,81.520
8.5260,94.022
8.5911,79.083
8.6562,78.416
8.7212,84.365
8.7863,98.175
8.8514,77.000
8.9165,81.423
8.9816,107.938
9.0467,108.689
9.1118,78.411
9.1768,65.279
9.2419,79.166
9.3070,89.274
9.3721,82.717
9.4372,79.795
9.5023,105.706
9.5673,77.000
9.6324,77.726
9.6975,103.472
9.7626,77.603
9.8277,151.436
9.8928,78.204
9.9578,54.425
10.0229,107.528
10.0880,78.117
10.1531,112.310
10.2182,79.898
10.2833,77.000
10.3483,77.000
10.4134,89.963
10.4785,78.130
10.5436,78.428
10.6087,77.000
10.6738,77.000
10.7388,77.000
10.8039,77.000
10.8690,101.362
10.9341,85.666
10.9992,77.000
11.0643,77.000
11.1294,90.626
11.1944,80.428
11.2595,77.000
11.3246,77.696
11.3897,79.444
11.4548,77.000
11.5199,90.452
11.5849,93.740
11.6500,81.204
11.7151,77.917
11.7802,77.000
11.8453,77.000
11.9104,77.000
11.9754,82.250
12.0405,79.858
12.1056,77.000
12.1707,91.363
12.2358,98.186
12.3009,84.444
12.3659,91.302
12.4310,113.487
12.4961,95.082
12.5612,88.564
12.6263,88.413
12.6914,82.466
12.7565,81.047
12.8215,77.065
12.8866,81.812
12.9517,98.472
13.0168,89.773
13.0819,85.649
13.1470,100.942
13.2120,77.359
13.2771,80.158
13.3422,59.638
13.4073,69.607
13.4724,97.495
13.5375,77.964
13.6025,85.575
13.6676,113.072
13.7327,94.910
13.7978,73.985
13.8629,74.108
13.9280,106.685
13.9930,77.565
14.0581,89.701
14.1232,95.507
14.1883,77.000
14.2534,77.734
14.3185,78.238
14.3835,77.000
14.4486,78.393
14.5137,95.889
14.5788,78.339
14.6439,140.284
14.7090,115.000
