X,Y
0.0000,77.000
0.0651,79.032
0.1302,110.936
0.1953,108.904
0.2603,77.000
0.3254,87.160
0.3905,77.000
0.4556,77.000
0.5207,77.000
0.5858,77.000
0.6508,77.000
0.7159,92.647
0.7810,115.000
0.8461,77.000
0.9112,77.000
0.9763,77.000
1.0413,115.000
1.1064,77.000
1.1715,113.578
1.2366,77.000
1.3017,79.642
1.3668,81.674
1.4318,77.000
1.4969,77.000
1.5620,77.000
1.6271,102.198
1.6922,84.941
1.7573,77.000
1.8224,77.000
1.8874,77.000
1.9525,99.963
2.0176,90.005
2.0827,104.027
2.1478,85.941
2.2129,108.091
2.2779,77.000
2.3430,77.000
2.4081,114.187
2.4732,77.000
2.5383,111.749
2.6034,77.000
2.6684,84.316
2.7335,77.000
2.7986,130.941
2.8637,115.000
2.9288,99.556
2.9939,77.000
3.0589,77.000
3.1240,98.540
3.1891,77.000
3.2542,77.000
3.3193,77.000
3.3844,77.000
3.4494,77.000
3.5145,77.000
3.5796,79.235
3.6447,114.797
3.7098,115.000
3.7749,77.000
3.8400,77.000
3.9050,107.075
3.9701,48.219
4.0352,77.000
4.1003,77.000
4.1654,109.529
4.2305,77.000
4.2955,135.647
4.3606,99.150
4.4257,77.000
4.4908,103.214
4.5559,86.754
4.6210,84.722
4.6860,82.690
4.7511,150.246
4.8162,113.374
4.8813,115.000
4.9464,77.000
5.0115,81.471
5.0765,147.326
5.1416,115.000
5.2067,132.588
5.2718,141.070
5.3369,162.353
5.4020,136.898
5.4671,154.000
5.5321,157.000
5.5972,130.642
5.6623,205.556
5.7274,115.000
5.7925,115.000
5.8576,146.701
5.9226,125.294
5.9877,121.176
6.0528,154.000
6.1179,116.043
6.1830,154.000
6.2481,154.000
6.3131,177.588
6.3782,154.000
6.4433,115.000
6.5084,115.000
6.5735,154.000
6.6386,154.000
6.7036,154.000
6.7687,154.000
6.8338,115.000
6.8989,166.599
6.9640,143.155
7.0291,171.294
7.0941,192.000
7.1592,192.000
7.2243,112.562
7.2894,153.583
7.3545,154.000
7.4196,157.658
7.4847,115.000
7.5497,146.075
7.6148,115.000
7.6799,115.000
7.7450,101.182
7.8101,159.882
7.8752,115.000
7.9402,154.000
8.0053,137.524
8.0704,129.390
8.1355,115.000
8.2006,192.000
8.2657,145.866
8.3307,115.000
8.3958,150.037
8.4609,152.123
8.5260,191.588
8.5911,112.765
8.6562,119.380
8.7212,115.000
8.7863,115.000
8.8514,115.000
8.9165,102.118
8.9816,115.000
9.0467,115.000
9.1118,152.471
9.1768,115.000
9.2419,160.706
9.3070,115.000
9.3721,88.380
9.4372,124.594
9.5023,146.492
9.5673,109.717
9.6324,77.000
9.6975,78.219
9.7626,115.000
9.8277,79.845
9.8928,81.877
9.9578,91.000
10.0229,144.824
10.0880,115.000
10.1531,178.995
10.2182,115.000
10.2833,115.000
10.3483,95.898
10.4134,93.866
10.4785,115.000
10.5436,128.059
10.6087,104.230
10.6738,115.000
10.7388,108.294
10.8039,81.674
10.8690,112.358
10.9341,115.626
10.9992,154.000
11.0643,185.000
11.1294,120.631
11.1944,115.000
11.2595,144.198
11.3246,142.112
11.3897,128.973
11.4548,154.000
11.5199,154.000
11.5849,114.059
11.6500,147.941
11.7151,192.000
11.7802,141.487
11.8453,154.000
11.9104,131.471
11.9754,133.610
12.0405,187.936
12.1056,115.000
12.1707,192.000
