X,Y
0.0000,115.000
0.0651,102.344
0.1302,84.509
0.1953,134.635
0.2603,128.078
0.3254,92.928
0.3905,77.000
0.4556,102.718
0.5207,135.674
0.5858,111.369
0.6508,114.926
0.7159,97.564
0.7810,77.042
0.8461,113.078
0.9112,122.843
0.9763,124.686
1.0413,100.462
1.1064,126.565
1.1715,134.695
1.2366,123.561
1.3017,114.384
1.3668,105.898
1.4318,83.971
1.4969,123.874
1.5620,139.521
1.6271,118.625
1.6922,115.000
1.7573,119.816
1.8224,118.163
1.8874,101.279
1.9525,114.371
2.0176,128.145
2.0827,113.050
2.1478,101.275
2.2129,101.347
2.2779,112.602
2.3430,94.218
2.4081,114.398
2.4732,122.797
2.5383,103.843
2.6034,103.426
2.6684,122.656
2.7335,102.318
2.7986,109.510
2.8637,122.926
2.9288,141.920
2.9939,112.024
3.0589,111.539
3.1240,172.417
3.1891,124.670
3.2542,84.729
3.3193,89.695
3.3844,131.313
3.4494,123.292
3.5145,115.000
3.5796,115.000
3.6447,115.000
3.7098,115.000
3.7749,109.766
3.8400,79.048
3.9050,111.295
3.9701,79.278
4.0352,103.657
4.1003,107.479
4.1654,105.608
4.2305,96.039
4.2955,114.406
4.3606,113.256
4.4257,106.825
4.4908,111.279
4.5559,148.862
4.6210,116.868
4.6860,152.599
4.7511,118.328
4.8162,115.000
4.8813,165.947
4.9464,141.590
5.0115,130.835
5.0765,151.529
5.1416,182.820
5.2067,206.083
5.2718,229.468
5.3369,204.722
5.4020,248.116
5.4671,254.295
5.5321,249.393
5.5972,229.389
5.6623,232.625
5.7274,229.503
5.7925,212.956
5.8576,224.565
5.9226,189.932
5.9877,155.988
6.0528,144.329
6.1179,153.322
6.1830,126.057
6.2481,171.579
6.3131,123.396
6.3782,171.209
6.4433,196.247
6.5084,192.000
6.5735,181.450
6.6386,155.630
6.7036,147.554
6.7687,125.976
6.8338,150.065
6.8989,153.707
6.9640,121.535
7.0291,151.898
7.0941,168.876
7.1592,105.267
7.2243,83.185
7.2894,78.529
7.3545,96.337
7.4196,99.414
7.4847,106.669
7.5497,97.479
7.6148,106.315
7.6799,82.467
7.7450,96.586
7.8101,82.461
7.8752,130.712
7.9402,123.396
8.0053,110.891
8.0704,115.000
8.1355,98.000
8.2006,108.727
8.2657,118.046
8.3307,125.066
8.3958,111.455
8.4609,91.636
8.5260,115.613
8.5911,118.015
8.6562,140.621
8.7212,128.675
8.7863,133.125
8.8514,110.659
8.9165,97.911
8.9816,102.847
9.0467,125.636
9.1118,108.629
9.1768,97.266
9.2419,118.625
9.3070,153.875
9.3721,173.007
9.4372,98.394
9.5023,111.130
9.5673,140.141
9.6324,124.889
9.6975,119.398
9.7626,122.952
9.8277,109.563
9.8928,114.317
9.9578,127.351
10.0229,123.928
10.0880,209.092
10.1531,133.590
10.2182,115.076
10.2833,129.171
10.3483,102.459
10.4134,113.815
10.4785,103.804
10.5436,115.193
10.6087,140.861
10.6738,132.674
10.7388,120.247
10.8039,131.293
10.8690,154.000
