X,Y
0.0000,77.000
0.0651,77.000
0.1302,50.358
0.1953,96.421
0.2603,77.666
0.3254,85.844
0.3905,109.334
0.4556,79.772
0.5207,77.000
0.5858,101.734
0.6508,81.309
0.7159,77.000
0.7810,43.162
0.8461,71.408
0.9112,105.588
0.9763,81.646
1.0413,63.775
1.1064,72.887
1.1715,98.722
1.2366,83.880
1.3017,78.318
1.3668,81.407
1.4318,95.438
1.4969,86.120
1.5620,77.000
1.6271,83.375
1.6922,104.984
1.7573,117.986
1.8224,114.452
1.8874,110.487
1.9525,102.848
2.0176,85.741
2.0827,77.000
2.1478,77.622
2.2129,97.781
2.2779,104.522
2.3430,98.794
2.4081,83.556
2.4732,83.005
2.5383,100.638
2.6034,93.896
2.6684,80.096
2.7335,90.648
2.7986,96.699
2.8637,83.780
2.9288,77.000
2.9939,77.000
3.0589,96.967
3.1240,97.118
3.1891,77.000
3.2542,77.000
3.3193,88.430
3.3844,95.269
3.4494,77.000
3.5145,79.147
3.5796,88.037
3.6447,95.474
3.7098,92.507
3.7749,83.256
3.8400,77.000
3.9050,78.109
3.9701,87.011
4.0352,94.005
4.1003,82.755
4.1654,98.301
4.2305,82.509
4.2955,77.532
4.3606,79.787
4.4257,86.500
4.4908,105.919
4.5559,80.885
4.6210,91.650
4.6860,116.260
4.7511,138.881
4.8162,77.000
4.8813,77.000
4.9464,77.000
5.0115,77.000
5.0765,77.000
5.1416,81.440
5.2067,118.734
5.2718,107.037
5.3369,100.294
5.4020,96.348
5.4671,89.853
5.5321,83.680
5.5972,77.000
5.6623,77.000
5.7274,77.822
5.7925,98.805
5.8576,77.000
5.9226,77.000
5.9877,77.000
6.0528,77.018
6.1179,83.190
6.1830,77.581
6.2481,95.934
6.3131,55.466
6.3782,74.565
6.4433,77.000
6.5084,76.705
6.5735,77.000
6.6386,77.000
6.7036,94.260
6.7687,80.780
6.8338,77.000
6.8989,77.000
6.9640,77.000
7.0291,77.000
7.0941,77.000
7.1592,77.000
7.2243,77.000
7.2894,102.640
7.3545,86.051
7.4196,82.188
7.4847,61.425
7.5497,71.391
7.6148,77.000
7.6799,77.000
7.7450,78.633
7.8101,77.000
7.8752,77.000
7.9402,77.000
8.0053,65.469
8.0704,79.993
8.1355,99.153
8.2006,91.700
8.2657,96.507
8.3307,103.824
8.3958,85.919
8.4609,77.000
8.5260,92.744
8.5911,96.853
8.6562,118.048
8.7212,137.682
8.7863,134.630
8.8514,134.500
8.9165,109.870
8.9816,117.740
9.0467,153.130
9.1118,131.908
9.1768,119.401
9.2419,114.111
9.3070,98.096
9.3721,92.779
9.4372,77.000
9.5023,77.109
9.5673,83.007
9.6324,84.421
9.6975,77.000
9.7626,95.385
9.8277,121.202
9.8928,113.915
9.9578,101.492
10.0229,77.000
10.0880,84.020
10.1531,90.288
10.2182,83.787
10.2833,100.033
10.3483,77.000
10.4134,85.941
10.4785,106.478
10.5436,80.396
10.6087,94.276
10.6738,84.265
10.7388,108.154
10.8039,77.000
10.8690,78.038
10.9341,87.486
10.9992,77.000
11.0643,78.781
11.1294,84.551
11.1944,77.288
11.2595,79.664
11.3246,77.000
11.3897,77.000
11.4548,75.785
11.5199,51.742
11.5849,77.000
11.6500,77.000
11.7151,77.000
11.7802,77.040
11.8453,93.364
11.9104,77.408
11.9754,49.167
12.0405,75.603
12.1056,77.000
12.1707,77.000
12.2358,77.000
12.3009,77.000
12.3659,98.985
12.4310,80.202
12.4961,108.557
12.5612,115.000
12.6263,64.831
12.6914,95.264
12.7565,97.134
12.8215,59.146
12.8866,70.938
12.9517,77.000
13.0168,81.438
13.0819,109.212
13.1470,98.821
13.2120,94.031
13.2771,129.812
13.3422,70.130
13.4073,66.936
13.4724,104.243
13.5375,88.176
13.6025,77.000
13.6676,77.000
13.7327,77.000
13.7978,77.000
13.8629,77.000
13.9280,88.632
13.9930,79.442
14.0581,77.000
14.1232,93.356
14.1883,109.691
14.2534,92.613
14.3185,77.000
14.3835,77.000
14.4486,86.708
14.5137,87.722
14.5788,92.384
14.6439,93.754
14.7090,77.000
14.7741,77.000
14.8391,77.000
14.9042,77.000
14.9693,88.778
15.0344,79.607
15.0995,72.119
15.1646,96.027
15.2296,88.594
15.2947,89.983
15.3598,85.654
15.4249,87.039
15.4900,58.641
15.5551,77.000
15.6201,77.000
15.6852,77.000
15.7503,77.000
15.8154,72.368
15.8805,71.054
15.9456,76.189
16.0106,74.750
16.0757,68.737
16.1408,52.912
16.2059,68.549
16.2710,96.680
16.3361,77.000
16.4012,85.382
16.4662,99.976
16.5313,57.867
16.5964,83.621
16.6615,95.408
16.7266,77.000
16.7917,77.647
16.8567,77.000
16.9218,77.000
16.9869,73.886
17.0520,57.213
17.1171,64.472
17.1822,77.000
17.2472,77.000
17.3123,79.274
17.3774,104.060
17.4425,75.963
17.5076,60.636
17.5727,103.211
17.6377,82.665
17.7028,77.000
