X,Y
0.0000,115.000
0.0651,150.343
0.1302,120.379
0.1953,115.000
0.2603,115.000
0.3254,97.932
0.3905,99.276
0.4556,115.000
0.5207,115.000
0.5858,122.763
0.6508,123.347
0.7159,153.448
0.7810,132.600
0.8461,135.921
0.9112,121.233
0.9763,115.719
1.0413,118.376
1.1064,132.359
1.1715,145.897
1.2366,127.382
1.3017,115.153
1.3668,108.106
1.4318,97.649
1.4969,99.276
1.5620,103.552
1.6271,134.562
1.6922,93.926
1.7573,119.137
1.8224,126.711
1.8874,88.400
1.9525,114.883
2.0176,169.389
2.0827,124.587
2.1478,92.322
2.2129,84.139
2.2779,140.523
2.3430,136.474
2.4081,126.394
2.4732,138.218
2.5383,119.716
2.6034,146.859
2.6684,158.022
2.7335,132.917
2.7986,86.998
2.8637,77.307
2.9288,90.510
2.9939,108.629
3.0589,83.041
3.1240,95.616
3.1891,114.303
3.2542,86.398
3.3193,91.992
3.3844,116.329
3.4494,101.178
3.5145,114.205
3.5796,112.696
3.6447,93.312
3.7098,111.363
3.7749,92.200
3.8400,87.189
3.9050,77.000
3.9701,91.861
4.0352,102.403
4.1003,105.697
4.1654,105.349
4.2305,114.661
4.2955,96.583
4.3606,119.073
4.4257,128.749
4.4908,94.428
4.5559,105.315
4.6210,87.627
4.6860,115.584
4.7511,117.467
4.8162,91.269
4.8813,133.729
4.9464,115.000
5.0115,88.793
5.0765,82.205
5.1416,82.634
5.2067,105.511
5.2718,101.065
5.3369,96.456
5.4020,117.775
5.4671,137.702
5.5321,82.241
5.5972,116.966
5.6623,146.300
5.7274,79.820
5.7925,132.621
5.8576,121.400
5.9226,115.000
5.9877,91.477
6.0528,88.924
6.1179,89.525
6.1830,78.966
6.2481,101.336
6.3131,103.207
6.3782,87.721
6.4433,93.592
6.5084,84.141
6.5735,132.915
6.6386,114.660
6.7036,114.869
6.7687,81.112
6.8338,105.828
6.8989,113.699
6.9640,103.695
7.0291,79.585
7.0941,91.360
7.1592,92.724
7.2243,78.116
7.2894,105.556
7.3545,120.593
7.4196,146.209
7.4847,98.621
7.5497,84.600
7.6148,112.822
7.6799,97.378
7.7450,77.732
7.8101,99.818
7.8752,106.551
7.9402,93.031
8.0053,96.154
8.0704,99.240
8.1355,115.000
8.2006,115.000
8.2657,115.000
8.3307,120.854
8.3958,99.428
8.4609,188.126
8.5260,154.422
8.5911,154.000
8.6562,123.574
8.7212,132.214
8.7863,129.909
8.8514,151.326
8.9165,172.810
8.9816,159.662
9.0467,144.238
9.1118,132.396
9.1768,181.106
9.2419,184.792
9.3070,239.233
9.3721,238.333
9.4372,192.000
9.5023,166.015
9.5673,120.379
9.6324,176.069
9.6975,164.483
9.7626,187.052
9.8277,163.746
9.8928,156.386
9.9578,167.068
10.0229,124.578
10.0880,124.808
10.1531,128.059
10.2182,115.000
10.2833,102.132
10.3483,102.290
10.4134,113.735
10.4785,113.414
10.5436,115.000
10.6087,91.579
10.6738,95.851
10.7388,81.586
10.8039,118.370
10.8690,104.376
10.9341,92.724
10.9992,115.626
11.0643,107.409
11.1294,114.268
11.1944,102.757
11.2595,118.957
11.3246,84.600
11.3897,134.530
11.4548,89.320
11.5199,86.249
11.5849,102.683
11.6500,90.632
11.7151,96.565
11.7802,85.255
11.8453,94.631
11.9104,95.810
11.9754,112.108
12.0405,115.000
12.1056,108.448
12.1707,80.917
12.2358,114.169
12.3009,105.258
12.3659,80.931
12.4310,77.000
12.4961,77.000
12.5612,84.993
12.6263,99.014
12.6914,95.351
12.7565,89.055
12.8215,113.074
12.8866,114.277
12.9517,107.892
13.0168,133.296
13.0819,83.159
13.1470,95.788
13.2120,77.000
13.2771,112.379
13.3422,115.000
13.4073,115.000
13.4724,87.483
13.5375,95.544
13.6025,95.259
13.6676,85.856
13.7327,91.509
13.7978,100.586
13.8629,77.000
13.9280,77.380
13.9930,93.854
14.0581,113.807
14.1232,113.690
14.1883,78.310
14.2534,104.373
14.3185,88.974
14.3836,110.793
14.4486,112.650
14.5137,91.414
14.5788,97.966
14.6439,115.348
14.7090,108.927
14.7741,86.303
14.8391,78.301
14.9042,103.813
14.9693,124.275
15.0344,134.748
15.0995,115.000
15.1646,116.127
15.2296,103.930
15.2947,100.609
15.3598,88.775
15.4249,110.836
15.4900,119.666
15.5551,107.379
15.6201,77.000
15.6852,90.271
15.7503,107.409
15.8154,111.869
15.8805,108.629
15.9456,95.228
16.0106,163.624
16.0757,117.122
16.1408,115.000
16.2059,115.000
16.2710,95.403
16.3361,84.198
16.4012,77.488
16.4662,84.302
16.5313,109.442
16.5964,97.356
16.6615,82.964
16.7266,108.317
16.7917,101.318
16.8567,79.295
16.9218,79.440
16.9869,88.400
17.0520,90.465
17.1171,77.199
17.1822,89.263
17.2472,112.650
17.3123,90.103
17.3774,87.831
17.4425,101.171
17.5076,92.688
17.5727,77.000
17.6377,77.000
17.7028,90.628
17.7679,99.881
17.8330,77.000
17.8981,77.610
17.9632,107.617
18.0283,108.069
18.0933,93.248
18.1584,77.538
18.2235,113.623
18.2886,109.953
18.3537,73.746
18.4188,84.136
18.4838,81.762
18.5489,91.933
18.6140,100.577
18.6791,107.978
18.7442,78.374
18.8093,99.326
18.8743,77.000
