X,Y
0.0000,77.000
0.0651,77.000
0.1302,83.293
0.1953,106.380
0.2603,102.720
0.3254,98.434
0.3905,98.691
0.4556,77.000
0.5207,139.955
0.5858,112.835
0.6508,59.693
0.7159,59.509
0.7810,77.000
0.8461,88.040
0.9112,82.514
0.9763,110.923
1.0413,85.318
1.1064,86.497
1.1715,100.587
1.2366,77.979
1.3017,92.200
1.3668,79.866
1.4318,100.787
1.4969,96.328
1.5620,85.916
1.6271,91.617
1.6922,91.738
1.7573,77.000
1.8224,77.000
1.8874,77.000
1.9525,77.000
2.0176,77.000
2.0827,85.069
2.1478,90.700
2.2129,111.249
2.2779,79.580
2.3430,93.226
2.4081,89.880
2.4732,92.416
2.5383,98.637
2.6034,96.960
2.6684,111.224
2.7335,103.470
2.7986,77.252
2.8637,77.000
2.9288,82.640
2.9939,77.156
3.0589,85.731
3.1240,77.000
3.1891,77.000
3.2542,77.000
3.3193,92.643
3.3844,77.901
3.4494,77.000
3.5145,91.678
3.5796,92.167
3.6447,77.000
3.7098,93.035
3.7749,85.968
3.8400,105.704
3.9050,98.691
3.9701,80.797
4.0352,83.841
4.1003,77.000
4.1654,81.730
4.2305,107.335
4.2955,97.060
4.3606,77.000
4.4257,77.000
4.4908,95.755
4.5559,89.395
4.6210,90.170
4.6860,109.292
4.7511,81.240
4.8162,77.000
4.8813,83.426
4.9464,77.823
5.0115,105.261
5.0765,93.798
5.1416,79.797
5.2067,109.692
5.2718,84.828
5.3369,86.622
5.4020,102.702
5.4671,77.130
5.5321,79.643
5.5972,77.949
5.6623,80.203
5.7274,87.819
5.7925,88.073
5.8576,77.000
5.9226,77.000
5.9877,77.000
6.0528,77.000
6.1179,94.661
6.1830,77.426
6.2481,80.472
6.3131,97.115
6.3782,77.000
6.4433,79.194
6.5084,96.252
6.5735,78.183
6.6386,99.558
6.7036,92.582
6.7687,87.912
6.8338,110.372
6.8989,93.414
6.9640,80.751
7.0291,128.209
7.0941,126.584
7.1592,118.741
7.2243,116.861
7.2894,183.768
7.3545,202.413
7.4196,246.378
7.4847,195.452
7.5497,231.625
7.6148,207.336
7.6799,158.077
7.7450,191.102
7.8101,205.937
7.8752,179.768
7.9402,154.000
8.0053,154.000
8.0704,154.413
8.1355,151.563
8.2006,118.898
8.2657,115.000
8.3307,119.958
8.3958,115.000
8.4609,115.000
8.5260,135.028
8.5911,116.214
8.6562,110.767
8.7212,80.099
8.7863,101.953
8.8514,144.798
8.9165,115.000
8.9816,115.000
9.0467,105.191
9.1118,132.980
9.1768,184.815
9.2419,141.234
9.3070,137.999
9.3721,104.279
9.4372,131.018
9.5023,120.417
9.5673,113.992
9.6324,94.417
9.6975,99.637
9.7626,102.702
9.8277,99.898
9.8928,99.017
9.9578,80.588
10.0229,132.649
10.0880,128.679
10.1531,118.802
10.2182,118.172
10.2833,102.051
10.3483,104.760
10.4134,143.700
10.4785,151.717
10.5436,96.205
10.6087,110.714
10.6738,115.000
10.7388,115.000
10.8039,115.000
10.8690,139.304
10.9341,123.266
10.9992,127.020
11.0643,104.428
11.1294,108.485
11.1944,113.976
11.2595,94.587
11.3246,91.578
11.3897,113.632
11.4548,115.000
11.5199,145.667
11.5849,110.950
11.6500,126.861
11.7151,81.730
11.7802,101.246
11.8453,106.505
11.9104,102.074
11.9754,121.468
12.0405,115.000
12.1056,157.364
12.1707,190.220
12.2358,176.805
12.3009,192.936
12.3659,219.701
12.4310,138.415
12.4961,132.935
12.5612,115.972
12.6263,115.000
12.6914,115.000
12.7565,90.697
12.8215,97.384
12.8866,85.845
12.9517,143.569
13.0168,118.319
13.0819,133.906
13.1470,115.504
13.2120,141.161
13.2771,141.509
13.3422,155.671
13.4073,182.038
13.4724,139.064
13.5375,135.714
13.6025,121.695
13.6676,115.417
13.7327,108.313
13.7978,82.708
13.8629,105.556
13.9280,114.807
13.9930,115.000
14.0581,115.000
14.1232,126.107
14.1883,89.972
14.2534,109.486
14.3185,115.000
14.3835,114.538
14.4486,95.342
14.5137,110.595
14.5788,124.954
14.6439,97.972
14.7090,90.521
14.7741,94.495
14.8391,97.900
14.9042,89.827
14.9693,114.825
15.0344,102.020
15.0995,92.853
15.1646,77.000
