X,Y
0.0000,38.000
0.0651,55.661
0.1302,65.010
0.1953,59.098
0.2603,64.635
0.3254,80.990
0.3905,61.153
0.4556,66.770
0.5207,77.000
0.5858,73.017
0.6508,69.328
0.7159,38.440
0.7810,41.742
0.8461,51.835
0.9112,57.212
0.9763,65.492
1.0413,47.894
1.1064,48.890
1.1715,99.939
1.2366,45.064
1.3017,45.295
1.3668,69.097
1.4318,63.071
1.4969,96.481
1.5620,63.991
1.6271,77.000
1.6922,77.000
1.7573,74.401
1.8224,77.000
1.8874,77.000
1.9525,77.000
2.0176,77.000
2.0827,77.000
2.1478,77.123
2.2129,77.000
2.2779,101.990
2.3430,83.434
2.4081,77.000
2.4732,77.000
2.5383,77.000
2.6034,78.471
2.6684,64.590
2.7335,56.216
2.7986,96.260
2.8637,77.000
2.9288,77.000
2.9939,77.000
3.0589,77.000
3.1240,89.168
3.1891,81.781
3.2542,62.230
3.3193,79.347
3.3844,108.770
3.4494,117.016
3.5145,87.263
3.5796,113.621
3.6447,115.000
3.7098,95.678
3.7749,87.590
3.8400,109.393
3.9050,132.661
3.9701,115.000
4.0352,93.197
4.1003,82.607
4.1654,91.828
4.2305,84.465
4.2955,81.493
4.3606,78.379
4.4257,77.000
4.4908,77.000
4.5559,79.349
4.6210,101.479
4.6860,89.265
4.7511,114.285
4.8162,84.077
4.8813,77.000
4.9464,77.000
5.0115,80.574
5.0765,85.732
5.1416,99.324
5.2067,78.593
5.2718,103.850
5.3369,86.569
5.4020,113.754
5.4671,87.876
5.5321,86.600
5.5972,121.517
5.6623,152.034
5.7274,134.820
5.7925,115.126
5.8576,125.837
5.9226,139.837
5.9877,123.311
6.0528,125.837
6.1179,114.877
6.1830,95.689
6.2481,103.164
6.3131,95.689
6.3782,86.600
6.4433,87.876
6.5084,113.754
6.5735,113.529
6.6386,88.150
6.7036,96.659
6.7687,86.344
6.8338,105.656
6.8989,83.852
6.9640,77.000
7.0291,76.329
7.0941,96.485
7.1592,77.715
7.2243,102.735
7.2894,82.515
7.3545,100.672
7.4196,98.180
7.4847,77.000
7.5497,96.444
7.6148,80.248
7.6799,88.021
7.7450,89.582
7.8101,77.000
7.8752,89.771
7.9402,192.000
8.0053,85.839
8.0704,77.000
8.1355,77.000
8.2006,77.000
8.2657,80.248
8.3307,97.823
8.3958,77.000
8.4609,77.000
8.5260,80.881
8.5911,77.000
8.6562,77.194
8.7212,105.125
8.7863,84.077
8.8514,77.654
8.9165,77.000
8.9816,77.786
9.0467,103.777
9.1118,86.344
9.1768,77.000
9.2419,77.000
9.3070,77.000
9.3721,77.000
9.4372,78.103
9.5023,70.984
9.5673,83.648
9.6324,77.000
9.6975,79.451
9.7626,110.762
9.8277,118.076
9.8928,101.832
9.9578,89.255
10.0229,95.719
10.0880,77.000
10.1531,79.533
10.2182,101.019
10.2833,83.434
10.3483,79.859
10.4134,104.124
10.4785,63.553
10.5436,97.528
10.6087,95.066
10.6738,77.000
10.7388,77.000
10.8039,96.572
10.8690,90.309
10.9341,87.539
10.9992,113.754
11.0643,101.520
11.1294,100.180
11.1944,90.981
11.2595,105.033
11.3246,79.349
11.3897,86.926
11.4548,87.427
11.5199,95.556
11.5849,106.769
11.6500,88.213
11.7151,81.861
11.7802,79.022
11.8453,90.276
11.9104,77.000
