X,Y
0.00000,115.000
0.06508,39.393
0.13017,77.000
0.19525,77.000
0.26034,43.571
0.32542,101.250
0.39050,77.000
0.45559,77.000
0.52067,77.000
0.58576,77.000
0.65084,77.000
0.71592,77.000
0.78101,77.000
0.84609,97.357
0.91118,115.000
0.97626,77.000
1.04134,77.000
1.10643,115.000
1.17151,77.000
1.23659,77.000
1.30168,142.857
1.36676,105.500
1.43185,77.000
1.49693,77.000
1.56201,143.000
1.62710,77.000
1.69218,77.000
1.75727,77.000
1.82235,77.000
1.88743,77.000
1.95252,77.000
2.01760,145.750
2.08269,109.571
2.14777,83.786
2.21285,106.857
2.27794,105.500
2.34302,87.857
2.40811,89.214
2.47319,115.000
2.53827,107.250
2.60336,93.286
2.66844,97.357
2.73353,134.500
2.79861,94.643
2.86369,98.714
2.92878,115.000
2.99386,101.429
3.05895,89.214
3.12403,115.000
3.18911,105.500
3.25420,115.000
3.31928,108.214
3.38436,115.000
3.44945,145.750
3.51453,115.000
3.57962,113.643
3.64470,77.000
3.70978,152.607
3.77487,115.000
3.83995,115.000
3.90504,143.000
3.97012,77.000
4.03520,106.857
4.10029,86.500
4.16537,115.000
4.23046,127.536
4.29554,90.571
4.36062,91.929
4.42571,93.286
4.49079,115.000
4.55588,134.500
4.62096,154.000
4.68604,115.000
4.75113,115.000
4.81621,115.000
4.88130,89.214
4.94638,115.000
5.01146,124.750
5.07655,115.000
5.14163,115.000
5.20672,109.571
5.27180,145.750
5.33688,79.714
5.40197,77.000
5.46705,77.000
5.53214,79.750
5.59722,112.286
5.66230,110.929
5.72739,109.571
5.79247,77.000
5.85755,77.000
5.92264,86.500
5.98772,77.000
6.05281,101.750
6.11789,51.929
6.18297,91.929
6.24806,54.714
6.31314,77.000
6.37823,77.000
6.44331,77.000
6.50839,60.286
6.57348,77.000
6.63856,90.571
6.70365,77.000
6.76873,77.000
6.83381,134.750
6.89890,46.357
6.96398,83.786
7.02907,82.429
7.09415,77.000
7.15923,79.714
7.22432,77.000
7.28940,115.000
7.35449,78.357
7.41957,183.786
7.48465,77.000
7.54974,77.000
7.61482,77.000
7.67990,85.143
7.74499,105.500
7.81007,87.857
7.87516,102.786
7.94024,77.000
8.00532,100.071
8.07041,121.000
8.13549,94.643
8.20058,96.000
8.26566,97.357
8.33074,93.286
8.39583,100.071
8.46091,90.571
8.52600,77.000
8.59108,104.143
8.65616,144.250
8.72125,175.500
8.78633,77.000
8.85142,77.000
8.91650,115.000
8.98158,120.500
9.04667,113.643
9.11175,77.000
