X,Y
0.0000,115.000
0.0651,113.989
0.1302,86.468
0.1953,111.968
0.2603,77.000
0.3254,77.000
0.3905,77.000
0.4556,115.000
0.5207,85.085
0.5858,77.000
0.6508,104.894
0.7159,115.000
0.7810,129.426
0.8461,90.138
0.9112,115.000
0.9763,77.000
1.0413,93.170
1.1064,115.000
1.1715,115.000
1.2366,77.000
1.3017,94.787
1.3668,93.777
1.4318,99.234
1.4969,77.000
1.5620,90.745
1.6271,115.000
1.6922,77.000
1.7573,125.995
1.8224,77.000
1.8874,85.691
1.9525,77.000
2.0176,77.000
2.0827,115.000
2.1478,86.420
2.2129,77.000
2.2779,79.628
2.3430,113.383
2.4081,114.394
2.4732,153.585
2.5383,77.000
2.6034,77.000
2.6684,77.000
2.7335,77.000
2.7986,115.000
2.8637,77.000
2.9288,107.521
2.9939,77.000
3.0589,77.000
3.1240,77.000
3.1891,77.000
3.2542,63.394
3.3193,63.101
3.3844,77.000
3.4494,77.000
3.5145,77.000
3.5796,97.415
3.6447,77.000
3.7098,96.606
3.7749,97.617
3.8400,60.197
3.9050,77.000
3.9701,77.000
4.0352,101.660
4.1003,127.654
4.1654,103.681
4.2305,143.420
4.2955,124.543
4.3606,85.287
4.4257,115.000
4.4908,89.697
4.5559,77.000
4.6210,77.000
4.6860,154.000
4.7511,115.000
4.8162,118.702
4.8813,153.590
4.9464,153.170
5.0115,116.867
5.0765,151.096
5.1416,118.941
5.2067,86.830
5.2718,109.138
5.3369,122.053
5.4020,107.117
5.4671,144.872
5.5321,154.000
5.5972,165.202
5.6623,127.239
5.7274,128.277
5.7925,139.686
5.8576,185.340
5.9226,137.612
5.9877,193.000
6.0528,207.186
6.1179,173.500
6.1830,174.537
6.2481,132.426
6.3131,115.000
6.3782,107.309
6.4433,90.947
6.5084,102.064
6.5735,103.074
6.6386,77.000
6.7036,77.000
6.7687,77.000
6.8338,77.000
6.8989,77.000
6.9640,77.000
7.0291,81.851
7.0941,73.059
7.1592,77.000
7.2243,77.000
7.2894,76.170
7.3545,76.793
7.4196,78.213
7.4847,77.000
7.5497,77.000
7.6148,77.000
7.6799,77.000
7.7450,77.000
7.8101,84.277
7.8752,38.000
7.9402,77.000
8.0053,77.000
8.0704,77.000
8.1355,77.000
8.2006,63.309
8.2657,77.000
8.3307,69.128
8.3958,93.372
8.4609,77.000
8.5260,77.000
8.5911,77.000
8.6562,94.585
8.7212,77.000
8.7863,77.000
8.8514,77.000
8.9165,63.101
8.9816,64.138
9.0467,77.000
9.1118,104.489
9.1768,77.000
9.2419,77.000
9.3070,84.479
9.3721,77.000
9.4372,71.399
9.5023,77.000
9.5673,73.473
9.6324,40.489
9.6975,77.000
9.7626,38.000
9.8277,38.622
9.8928,77.000
9.9578,77.000
10.0229,111.362
10.0880,81.649
10.1531,71.191
10.2182,77.000
10.2833,45.883
10.3483,46.920
10.4134,77.000
10.4785,77.000
10.5436,77.000
10.6087,77.000
10.6738,65.851
10.7388,77.000
10.8039,77.000
10.8690,98.223
10.9341,77.000
10.9992,77.000
11.0643,117.138
11.1294,59.367
11.1944,77.000
11.2595,99.840
11.3246,62.479
11.3897,77.000
11.4548,77.000
11.5199,103.883
11.5849,77.000
11.6500,67.665
11.7151,106.915
11.7802,77.000
11.8453,77.000
11.9104,82.053
11.9754,77.000
12.0405,77.000
12.1056,77.000
12.1707,77.000
12.2358,115.000
