X,Y
0.0000,115.000
0.0651,77.000
0.1302,110.594
0.1953,77.000
0.2603,85.812
0.3254,77.000
0.3905,103.783
0.4556,77.000
0.5207,97.377
0.5858,96.826
0.6508,99.029
0.7159,77.000
0.7810,77.000
0.8461,77.000
0.9112,107.841
0.9763,81.957
1.0413,77.000
1.1064,77.551
1.1715,77.000
1.2366,77.000
1.3017,83.058
1.3668,77.000
1.4318,87.464
1.4969,77.000
1.5620,77.000
1.6271,77.000
1.6922,96.275
1.7573,98.478
1.8224,91.319
1.8874,89.116
1.9525,77.000
2.0176,77.000
2.0827,82.507
2.1478,77.000
2.2129,79.232
2.2779,78.101
2.3430,77.000
2.4081,77.000
2.4732,77.000
2.5383,77.000
2.6034,89.116
2.6684,77.000
2.7335,77.000
2.7986,77.000
2.8637,97.928
2.9288,77.000
2.9939,77.000
3.0589,77.000
3.1240,85.261
3.1891,77.000
3.2542,111.145
3.3193,113.348
3.3844,115.000
3.4494,79.754
3.5145,77.000
3.5796,77.000
3.6447,77.000
3.7098,77.000
3.7749,77.000
3.8400,77.000
3.9050,96.826
3.9701,94.623
4.0352,99.580
4.1003,90.217
4.1654,115.000
4.2305,77.000
4.2955,83.609
4.3606,85.928
4.4257,112.797
4.4908,77.000
4.5559,115.000
4.6210,77.000
4.6860,77.000
4.7511,85.812
4.8162,65.696
4.8813,101.783
4.9464,115.000
5.0115,115.000
5.0765,96.826
5.1416,77.000
5.2067,90.768
5.2718,88.565
5.3369,86.362
5.4020,107.841
5.4671,77.000
5.5321,79.754
5.5972,77.000
5.6623,77.000
5.7274,77.000
5.7925,77.000
5.8576,77.000
5.9226,77.000
5.9877,89.667
6.0528,77.000
6.1179,97.928
6.1830,95.725
6.2481,98.478
6.3131,129.696
6.3782,101.551
6.4433,133.913
6.5084,84.710
6.5735,148.348
6.6386,189.609
6.7036,152.870
6.7687,78.101
6.8338,83.696
6.8989,181.696
6.9640,138.377
7.0291,172.652
7.0941,115.000
7.1592,100.681
7.2243,93.522
7.2894,154.000
7.3545,97.928
7.4196,115.000
7.4847,89.667
7.5497,143.261
7.6148,123.478
7.6799,115.000
7.7450,84.812
7.8101,152.304
7.8752,153.435
7.9402,79.754
8.0053,154.000
8.0704,115.000
8.1355,115.000
8.2006,142.130
8.2657,139.870
8.3307,131.391
8.3958,96.826
8.4609,174.913
8.5260,115.000
8.5911,128.565
8.6562,142.696
8.7212,115.000
8.7863,115.000
8.8514,183.957
8.9165,115.000
8.9816,115.000
9.0467,115.000
9.1118,149.478
9.1768,128.565
9.2419,106.188
9.3070,181.696
9.3721,115.000
9.4372,124.072
9.5023,133.087
9.5673,77.000
9.6324,99.029
9.6975,115.000
9.7626,103.435
9.8277,115.000
9.8928,115.000
9.9578,115.000
10.0229,77.000
10.0880,115.000
10.1531,189.609
10.2182,115.000
10.2833,147.783
10.3483,115.000
10.4134,115.000
10.4785,89.667
10.5436,77.000
10.6087,94.072
10.6738,134.217
10.7388,115.000
10.8039,91.319
10.8690,115.000
10.9341,115.000
10.9992,77.000
11.0643,82.507
11.1294,80.304
11.1944,77.000
11.2595,151.768
11.3246,77.000
11.3897,77.000
11.4548,146.087
11.5199,77.000
11.5849,102.884
11.6500,106.014
11.7151,98.478
11.7802,77.000
11.8453,94.072
11.9104,115.000
11.9754,77.000
12.0405,87.464
12.1056,106.739
12.1707,147.783
12.2358,80.855
12.3009,77.000
12.3659,77.551
12.4310,112.246
12.4961,110.043
12.5612,84.159
12.6263,77.000
12.6914,77.000
12.7565,77.000
12.8215,99.029
12.8866,96.826
12.9517,118.290
13.0168,77.000
13.0819,140.435
13.1470,71.623
13.2120,77.000
13.2771,77.000
13.3422,90.449
13.4073,112.797
13.4724,115.000
