X,Y
0.0000,115.000
0.0651,42.695
0.1302,76.679
0.1953,64.206
0.2603,76.633
0.3254,77.000
0.3905,126.381
0.4556,78.728
0.5207,109.348
0.5858,41.667
0.6508,75.389
0.7159,77.000
0.7810,77.000
0.8461,56.824
0.9112,55.654
0.9763,51.000
1.0413,101.486
1.1064,110.778
1.1715,115.000
1.2366,111.202
1.3017,80.128
1.3668,53.889
1.4318,74.478
1.4969,77.000
1.5620,88.058
1.6271,78.117
1.6922,77.000
1.7573,43.571
1.8224,68.173
1.8874,49.991
1.9525,94.185
2.0176,98.111
2.0827,79.859
2.1478,77.000
2.2129,52.123
2.2779,70.580
2.3430,77.000
2.4081,77.000
2.4732,93.689
2.5383,79.545
2.6034,77.000
2.6684,77.000
2.7335,77.000
2.7986,77.000
2.8637,77.000
2.9288,105.952
2.9939,111.805
3.0589,84.350
3.1240,77.000
3.1891,60.951
3.2542,72.414
3.3193,48.524
3.3844,66.270
3.4494,77.000
3.5145,77.000
3.5796,77.000
3.6447,77.000
3.7098,77.000
3.7749,61.982
3.8400,71.589
3.9050,77.000
3.9701,77.000
4.0352,77.000
4.1003,77.000
4.1654,81.364
4.2305,57.099
4.2955,67.921
4.3606,77.000
4.4257,77.000
4.4908,101.127
4.5559,85.617
4.6210,75.372
4.6860,52.857
4.7511,63.610
4.8162,71.727
4.8813,71.841
4.9464,89.622
5.0115,93.889
5.0765,89.667
5.1416,85.444
5.2067,81.222
5.2718,77.000
5.3369,83.675
5.4020,84.514
5.4671,98.111
5.5321,94.090
5.5972,77.000
5.6623,77.000
5.7274,77.000
5.7925,94.872
5.8576,95.095
5.9226,79.033
5.9877,127.638
6.0528,134.153
6.1179,126.203
6.1830,124.103
6.2481,95.899
6.3131,106.556
6.3782,96.547
6.4433,77.000
6.5084,111.219
6.5735,127.278
6.6386,108.164
6.7036,97.709
6.7687,84.596
6.8338,89.667
6.8989,85.444
6.9640,83.102
7.0291,77.000
7.0941,64.113
7.1592,76.614
7.2243,102.333
7.2894,98.111
7.3545,87.098
7.4196,97.370
7.4847,125.012
7.5497,97.731
7.6148,77.000
7.6799,92.325
7.7450,95.609
7.8101,81.624
7.8752,100.125
7.9402,110.600
8.0053,103.169
8.0704,116.292
8.1355,78.430
8.2006,89.667
8.2657,113.615
8.3307,109.281
8.3958,110.979
8.4609,102.204
8.5260,111.833
8.5911,85.847
8.6562,82.070
8.7212,83.066
8.7863,87.857
8.8514,110.778
8.9165,98.424
8.9816,80.418
9.0467,89.421
9.1118,86.852
9.1768,115.000
9.2419,107.650
9.3070,106.318
9.3721,165.381
9.4372,83.564
9.5023,77.000
9.5673,88.333
9.6324,124.909
9.6975,94.782
9.7626,94.423
9.8277,68.333
9.8928,72.667
9.9578,77.000
10.0229,73.469
10.0880,77.000
10.1531,79.153
10.2182,80.138
10.2833,77.000
10.3483,81.021
10.4134,102.021
10.4785,76.358
10.5436,77.000
10.6087,77.000
10.6738,71.841
10.7388,42.952
10.8039,77.000
10.8690,78.966
10.9341,88.259
10.9992,77.894
11.0643,80.798
11.1294,73.286
11.1944,45.062
11.2595,69.067
11.3246,75.968
11.3897,59.667
11.4548,55.333
11.5199,52.651
11.5849,75.235
11.6500,44.391
11.7151,77.000
11.7802,74.096
11.8453,97.115
11.9104,77.000
11.9754,77.000
12.0405,76.175
12.1056,38.000
12.1707,38.092
12.2358,42.494
12.3009,77.000
