X,Y
0.0000,154.000
0.0651,140.633
0.1302,116.474
0.1953,114.806
0.2603,115.000
0.3254,115.000
0.3905,114.226
0.4556,106.207
0.5207,101.449
0.5858,99.025
0.6508,93.247
0.7159,96.342
0.7810,89.506
0.8461,106.123
0.9112,116.781
0.9763,85.599
1.0413,114.285
1.1064,84.246
1.1715,117.989
1.2366,134.154
1.3017,90.188
1.3668,141.531
1.4318,122.478
1.4969,110.569
1.5620,115.000
1.6271,115.000
1.6922,132.088
1.7573,127.071
1.8224,115.000
1.8874,114.411
1.9525,115.000
2.0176,121.723
2.0827,181.789
2.1478,77.463
2.2129,89.601
2.2779,111.120
2.3430,83.177
2.4081,127.217
2.4732,125.486
2.5383,108.623
2.6034,128.471
2.6684,117.067
2.7335,112.119
2.7986,109.207
2.8637,119.077
2.9288,115.000
2.9939,122.080
3.0589,143.592
3.1240,119.548
3.1891,153.548
3.2542,148.644
3.3193,135.258
3.3844,115.852
3.4494,126.764
3.5145,139.162
3.5796,116.759
3.6447,134.985
3.7098,134.720
3.7749,136.446
3.8400,141.459
3.9050,151.889
3.9701,115.000
4.0352,130.140
4.1003,132.422
4.1654,157.197
4.2305,181.074
4.2955,143.449
4.3606,115.068
4.4257,116.017
4.4908,148.350
4.5559,122.993
4.6210,124.622
4.6860,106.202
4.7511,100.816
4.8162,116.717
4.8813,137.048
4.9464,152.344
5.0115,126.233
5.0765,134.650
5.1416,138.594
5.2067,180.880
5.2718,168.542
5.3369,147.279
5.4020,115.736
5.4671,202.599
5.5321,121.084
5.5972,167.683
5.6623,146.394
5.7274,96.810
5.7925,127.927
5.8576,120.926
5.9226,118.971
5.9877,144.423
6.0528,137.876
6.1179,120.525
6.1830,126.438
6.2481,154.000
6.3131,147.247
6.3782,116.808
6.4433,117.618
6.5084,125.673
6.5735,130.503
6.6386,115.193
6.7036,117.220
6.7687,144.353
6.8338,180.438
6.8989,137.698
6.9640,133.512
7.0291,135.335
7.0941,126.872
7.1592,96.445
7.2243,115.000
7.2894,115.000
7.3545,112.836
7.4196,113.048
7.4847,129.768
7.5497,115.298
7.6148,118.773
7.6799,101.110
7.7450,117.598
7.8101,168.667
7.8752,112.868
7.9402,104.807
8.0053,118.791
8.0704,134.569
8.1355,167.092
8.2006,158.368
8.2657,128.002
8.3307,116.543
8.3958,115.000
8.4609,115.000
8.5260,115.504
8.5911,126.593
8.6562,153.829
8.7212,151.380
8.7863,154.000
8.8514,121.615
8.9165,115.000
8.9816,130.108
9.0467,149.131
9.1118,198.796
9.1768,171.502
9.2419,140.122
9.3070,138.240
9.3721,146.467
9.4372,154.413
9.5023,124.852
9.5673,141.527
9.6324,152.838
9.6975,151.649
9.7626,185.326
9.8277,149.278
9.8928,120.099
9.9578,115.000
10.0229,121.297
10.0880,116.543
10.1531,115.000
10.2182,133.032
10.2833,147.936
10.3483,117.291
10.4134,133.383
10.4785,178.570
10.5436,115.000
10.6087,107.078
10.6738,90.728
10.7388,136.636
10.8039,147.940
10.8690,78.860
10.9341,77.000
10.9992,109.226
11.0643,115.000
11.1294,109.125
11.1944,103.553
11.2595,94.336
11.3246,87.993
11.3897,95.203
11.4548,115.000
11.5199,110.362
11.5849,103.318
11.6500,80.321
11.7151,105.615
11.7802,113.523
11.8453,100.498
11.9104,87.473
11.9754,77.135
12.0405,77.000
12.1056,100.649
12.1707,87.797
12.2358,96.971
12.3009,79.942
12.3659,81.700
12.4310,107.024
12.4961,117.284
12.5612,115.765
12.6263,77.000
12.6914,86.108
12.7565,116.931
12.8215,124.204
12.8866,81.028
12.9517,107.442
13.0168,114.704
13.0819,111.271
13.1470,80.894
13.2120,89.873
13.2771,106.084
13.3422,85.783
13.4073,91.445
13.4724,92.699
13.5375,77.000
13.6025,93.919
13.6676,114.690
13.7327,102.647
13.7978,77.000
13.8629,84.733
13.9280,105.380
13.9930,98.664
14.0581,78.310
14.1232,77.508
14.1883,101.779
14.2534,84.574
14.3185,98.024
14.3836,79.628
14.4486,53.472
14.5137,88.495
14.5788,108.889
14.6439,112.153
14.7090,100.820
14.7741,79.688
14.8391,77.000
14.9042,77.000
14.9693,83.982
15.0344,104.417
15.0995,78.255
15.1646,109.647
15.2296,79.148
15.2947,77.000
15.3598,108.286
15.4249,83.898
15.4900,77.000
15.5551,77.000
15.6201,77.000
15.6852,77.000
15.7503,77.932
15.8154,87.872
15.8805,86.178
15.9456,87.742
16.0106,97.146
16.0757,81.081
16.1408,114.866
16.2059,101.346
16.2710,102.930
16.3361,149.730
16.4012,85.598
16.4662,77.000
16.5313,77.589
16.5964,77.000
16.6615,77.000
16.7266,76.535
16.7917,79.471
16.8567,77.902
16.9218,77.000
16.9869,77.000
17.0520,78.966
17.1171,78.109
17.1822,92.911
17.2472,74.892
17.3123,45.436
17.3774,76.266
17.4425,81.840
17.5076,77.000
17.5727,93.148
17.6377,86.408
17.7028,82.767
17.7679,121.923
17.8330,110.852
17.8981,77.000
17.9632,77.000
18.0283,77.000
18.0933,80.267
18.1584,95.158
18.2235,77.000
18.2886,84.303
18.3537,64.436
18.4188,77.000
