X,Y
0.0000,38.000
0.0651,74.521
0.1302,77.000
0.1953,77.000
0.2603,94.611
0.3254,91.427
0.3905,77.000
0.4556,77.000
0.5207,77.000
0.5858,77.000
0.6508,99.360
0.7159,86.806
0.7810,83.402
0.8461,79.723
0.9112,90.397
0.9763,55.195
1.0413,91.541
1.1064,79.474
1.1715,111.907
1.2366,114.470
1.3017,85.138
1.3668,77.000
1.4318,77.000
1.4969,69.228
1.5620,56.827
1.6271,108.811
1.6922,93.370
1.7573,61.958
1.8224,70.378
1.8874,91.204
1.9525,100.860
2.0176,77.000
2.0827,77.000
2.1478,77.247
2.2129,77.000
2.2779,94.633
2.3430,91.313
2.4081,98.033
2.4732,115.000
2.5383,109.584
2.6034,77.740
2.6684,77.000
2.7335,77.000
2.7986,122.920
2.8637,100.140
2.9288,77.000
2.9939,77.000
3.0589,85.441
3.1240,89.700
3.1891,103.502
3.2542,77.493
3.3193,102.457
3.3844,80.619
3.4494,98.453
3.5145,84.685
3.5796,78.233
3.6447,98.563
3.7098,109.514
3.7749,77.256
3.8400,77.934
3.9050,96.647
3.9701,100.117
4.0352,123.035
4.1003,115.000
4.1654,115.000
4.2305,109.698
4.2955,77.487
4.3606,84.298
4.4257,84.688
4.4908,137.109
4.5559,113.271
4.6210,97.201
4.6860,86.374
4.7511,92.697
4.8162,113.056
4.8813,79.651
4.9464,77.404
5.0115,77.000
5.0765,77.000
5.1416,77.000
5.2067,77.000
5.2718,80.328
5.3369,108.728
5.4020,79.507
5.4671,81.761
5.5321,85.919
5.5972,126.120
5.6623,111.100
5.7274,108.874
5.7925,122.186
5.8576,125.420
5.9226,108.491
5.9877,111.915
6.0528,86.367
6.1179,111.020
6.1830,113.705
6.2481,106.921
6.3131,77.321
6.3782,63.501
6.4433,79.263
6.5084,97.798
6.5735,80.181
6.6386,117.452
6.7036,117.863
6.7687,107.559
6.8338,115.000
6.8989,113.104
6.9640,151.642
7.0291,116.799
7.0941,115.000
7.1592,91.283
7.2243,124.395
7.2894,136.223
7.3545,115.000
7.4196,107.550
7.4847,102.977
7.5497,113.763
7.6148,96.186
7.6799,114.293
7.7450,115.000
7.8101,96.442
7.8752,85.313
7.9402,81.595
8.0053,80.085
8.0704,83.571
8.1355,78.336
8.2006,105.986
8.2657,87.191
8.3307,91.363
8.3958,95.240
8.4609,84.152
8.5260,113.877
8.5911,77.533
8.6562,77.311
8.7212,77.000
8.7863,127.707
8.8514,112.386
8.9165,77.177
8.9816,102.011
9.0467,80.883
9.1118,91.797
9.1768,78.736
9.2419,79.403
9.3070,108.225
9.3721,115.000
9.4372,111.301
9.5023,112.169
9.5673,107.312
9.6324,114.168
9.6975,89.329
9.7626,82.323
9.8277,111.409
9.8928,94.117
9.9578,126.508
10.0229,136.405
10.0880,115.000
10.1531,114.952
10.2182,96.619
10.2833,78.591
10.3483,93.648
10.4134,102.977
10.4785,88.043
10.5436,79.243
10.6087,77.000
10.6738,83.363
10.7388,104.889
10.8039,112.869
10.8690,89.700
10.9341,85.441
10.9992,97.543
11.0643,90.256
11.1294,77.000
11.1944,80.040
11.2595,82.385
11.3246,94.300
11.3897,77.740
11.4548,82.366
11.5199,99.623
11.5849,105.022
11.6500,99.625
11.7151,88.529
11.7802,80.689
11.8453,114.768
11.9104,121.153
11.9754,92.086
12.0405,87.851
12.1056,77.000
12.1707,81.162
12.2358,90.479
12.3009,93.370
12.3659,114.877
12.4310,93.949
12.4961,79.624
12.5612,95.234
12.6263,77.651
12.6914,84.769
12.7565,77.530
12.8215,101.295
12.8866,151.460
12.9517,138.037
13.0168,115.844
13.0819,115.000
13.1470,111.360
13.2120,119.400
13.2771,163.142
13.3422,128.228
13.4073,87.251
13.4724,77.513
13.5375,77.000
13.6025,114.859
13.6676,140.620
13.7327,150.009
13.7978,131.507
13.8629,114.530
13.9280,99.681
13.9930,115.000
