X,Y
0.0000,77.000
0.0651,77.000
0.1302,82.378
0.1953,102.300
0.2603,71.552
0.3254,78.508
0.3905,88.943
0.4556,82.489
0.5207,77.000
0.5858,77.543
0.6508,96.302
0.7159,82.851
0.7810,91.114
0.8461,77.000
0.9112,95.578
0.9763,104.143
1.0413,81.102
1.1064,77.000
1.1715,77.000
1.2366,96.121
1.3017,78.206
1.3668,88.400
1.4318,77.000
1.4969,77.000
1.5620,86.771
1.6271,140.103
1.6922,118.711
1.7573,96.000
1.8224,77.000
1.8874,77.000
1.9525,77.000
2.0176,77.784
2.0827,77.000
2.1478,77.000
2.2129,74.152
2.2779,74.722
2.3430,85.800
2.4081,90.873
2.4732,114.638
2.5383,96.000
2.6034,79.413
2.6684,81.102
2.7335,107.400
2.7986,102.394
2.8637,103.419
2.9288,79.714
2.9939,82.187
3.0589,107.460
3.1240,77.000
3.1891,108.667
3.2542,99.317
3.3193,96.000
3.3844,102.333
3.4494,83.333
3.5145,115.000
3.5796,90.508
3.6447,112.467
3.7098,77.300
3.7749,39.486
3.8400,70.024
3.9050,109.571
3.9701,88.581
4.0352,60.575
4.1003,73.100
4.1654,85.203
4.2305,80.619
4.2955,77.000
4.3606,77.000
4.4257,77.000
4.4908,79.171
4.5559,77.000
4.6210,81.946
4.6860,85.686
4.7511,55.024
4.8162,100.724
4.8813,96.000
4.9464,101.603
5.0115,93.889
5.0765,80.257
5.1416,81.041
5.2067,97.508
5.2718,110.486
5.3369,120.657
5.4020,77.965
5.4671,77.000
5.5321,80.056
5.5972,83.394
5.6623,77.000
5.7274,81.946
5.7925,82.308
5.8576,87.857
5.9226,78.689
5.9877,77.000
6.0528,88.943
6.1179,90.632
6.1830,96.905
6.2481,77.000
6.3131,108.667
6.3782,89.667
6.4433,109.371
6.5084,128.778
6.5735,118.811
6.6386,127.600
6.7036,110.011
6.7687,103.660
6.8338,135.000
6.8989,137.098
6.9640,85.987
7.0291,90.029
7.0941,90.444
7.1592,115.857
7.2243,90.029
7.2894,77.000
7.3545,93.949
7.4196,78.086
7.4847,77.000
7.5497,77.000
7.6148,77.000
7.6799,77.000
7.7450,81.644
7.8101,148.143
7.8752,109.925
7.9402,96.914
8.0053,96.000
8.0704,121.651
8.1355,107.460
8.2006,99.800
8.2657,118.987
8.3307,106.308
8.3958,120.814
8.4609,177.603
8.5260,112.708
8.5911,80.257
8.6562,96.844
8.7212,77.241
8.7863,77.000
8.8514,94.454
8.9165,89.305
8.9816,85.686
9.0467,88.883
9.1118,93.889
9.1768,79.171
9.2419,95.362
9.3070,147.130
9.3721,94.371
9.4372,77.000
9.5023,85.927
9.5673,77.000
9.6324,77.000
9.6975,78.930
9.7626,109.571
9.8277,80.740
9.8928,126.378
9.9578,95.700
10.0229,77.844
10.0880,102.937
10.1531,115.000
10.2182,115.000
10.2833,163.410
10.3483,137.843
10.4134,115.000
10.4785,108.667
10.5436,114.400
10.6087,90.792
10.6738,109.813
10.7388,93.286
10.8039,80.860
10.8690,102.505
10.9341,107.400
10.9992,112.768
11.0643,115.000
11.1294,97.629
11.1944,77.121
11.2595,101.127
11.3246,115.000
11.3897,104.444
11.4548,126.981
11.5199,85.800
11.5849,89.305
11.6500,111.079
11.7151,98.714
11.7802,108.184
11.8453,101.489
11.9104,94.371
11.9754,90.752
12.0405,82.127
12.1056,86.771
12.1707,78.870
12.2358,102.333
12.3009,96.000
12.3659,101.730
12.4310,96.121
12.4961,79.171
12.5612,80.860
12.6263,104.384
12.6914,120.571
12.7565,98.956
12.8215,104.083
12.8866,77.000
12.9517,108.667
13.0168,95.698
13.0819,113.914
13.1470,94.975
13.2120,110.778
13.2771,115.000
13.3422,83.333
13.4073,77.000
13.4724,83.514
13.5375,78.327
13.6025,94.673
13.6676,77.000
