X,Y
0.0000,115.0000
0.0651,92.6468
0.1302,84.6042
0.1953,77.0000
0.2603,77.0000
0.3254,77.0000
0.3905,67.5968
0.4556,44.5684
0.5207,62.2211
0.5858,76.9849
0.6508,58.6343
0.7159,68.7614
0.7810,67.4171
0.8461,75.0273
0.9112,77.0000
0.9763,63.6579
1.0413,47.4421
1.1064,66.5359
1.1715,77.0000
1.2366,77.0000
1.3017,46.2105
1.3668,64.4790
1.4318,55.7650
1.4969,46.6794
1.5620,51.5474
1.6271,74.0831
1.6922,51.9286
1.7573,85.2674
1.8224,79.4253
1.8874,81.8000
1.9525,83.9474
2.0176,76.4750
2.0827,68.2536
2.1478,40.4632
2.2129,58.9541
2.2779,77.0000
2.3430,76.7580
2.4081,50.4606
2.4732,70.7600
2.5383,77.0000
2.6034,77.0000
2.6684,66.8081
2.7335,38.4105
2.7986,56.7740
2.8637,50.9337
2.9288,100.3684
2.9939,77.5726
3.0589,54.1899
3.1240,73.7417
3.1891,77.0000
3.2542,77.0000
3.3193,77.0000
3.3844,72.4367
3.4494,71.2792
3.5145,54.6976
3.5796,40.7548
3.6447,58.6300
3.7098,67.6400
3.7749,77.0000
3.8400,77.0000
3.9050,88.7895
3.9701,87.9832
4.0352,74.8998
4.1003,77.6779
4.1654,78.1116
4.2305,48.1316
4.2955,41.4743
4.3606,45.5688
4.4257,76.6207
4.4908,73.6250
4.5559,50.3158
4.6210,48.4749
4.6860,77.0000
4.7511,77.1095
4.8162,60.8209
4.8813,77.8269
4.9464,81.4400
5.0115,110.3243
5.0765,77.0000
5.1416,77.0000
5.2067,77.0000
5.2718,77.0000
5.3369,77.0000
5.4020,58.6819
5.4671,38.8211
5.5321,68.8975
5.5972,77.0000
5.6623,71.3218
5.7274,53.4444
5.7925,70.6368
5.8576,40.0526
5.9226,75.1699
5.9877,77.0000
6.0528,77.0000
6.1179,89.6989
6.1830,76.5000
6.2481,77.5411
6.3131,127.2612
6.3782,77.0000
6.4433,77.0000
6.5084,77.0000
6.5735,99.7621
6.6386,85.6484
6.7036,67.8993
6.7687,77.0000
6.8338,77.0000
6.8989,77.0000
6.9640,79.8484
7.0291,110.6000
7.0941,89.6854
7.1592,80.1385
7.2243,83.7305
7.2894,87.0042
7.3545,82.7931
7.4196,113.8400
7.4847,102.5789
7.5497,77.0000
7.6148,77.0000
7.6799,91.9432
7.7450,82.0063
7.8101,96.1579
7.8752,80.2884
7.9402,80.7951
8.0053,71.7488
8.0704,120.2428
8.1355,103.4488
8.2006,79.8000
8.2657,113.6000
8.3307,82.6000
8.3958,77.0000
8.4609,56.2576
8.5260,63.8264
8.5911,65.0342
8.6562,55.1600
8.7212,77.0000
8.7863,84.4654
8.8514,78.3566
8.9165,43.8943
8.9816,56.0632
9.0467,75.8073
9.1118,82.8255
9.1768,86.7018
9.2419,77.0000
9.3070,84.4000
9.3721,106.1453
9.4372,100.7368
9.5023,50.9337
9.5673,103.6432
9.6324,104.5247
9.6975,77.0000
9.7626,77.0000
9.8277,77.0000
9.8928,78.5200
9.9578,68.0289
10.0229,76.4209
10.0880,77.0000
10.1531,88.2168
10.2182,78.5537
10.2833,96.6000
10.3483,113.8000
10.4134,108.0526
10.4785,103.3853
10.5436,79.4253
10.6087,85.2674
10.6738,84.6884
10.7388,103.0000
10.8039,109.8000
10.8690,96.2863
10.9341,96.9818
10.9992,63.8999
11.0643,77.0000
11.1294,75.4400
11.1944,44.0974
11.2595,73.7201
11.3246,121.8434
11.3897,97.7964
11.4548,77.0000
11.5199,91.6779
11.5849,113.1747
11.6500,136.9130
11.7151,93.1053
11.7802,77.1853
11.8453,97.8674
11.9104,78.4484
11.9754,117.1884
12.0405,91.5914
12.1056,77.0000
12.1707,77.0000
12.2358,67.1135
12.3009,79.7995
12.3659,77.0000
