X,Y
0.0000,77.0000
0.0651,47.8904
0.1302,75.8647
0.1953,77.0000
0.2603,45.3487
0.3254,45.6135
0.3905,73.3081
0.4556,77.0000
0.5207,49.3569
0.5858,68.6931
0.6508,59.8570
0.7159,72.5671
0.7810,51.0518
0.8461,62.8606
0.9112,92.1346
0.9763,74.1871
1.0413,94.9932
1.1064,113.7261
1.1715,103.4940
1.2366,94.4104
1.3017,77.8651
1.3668,76.2231
1.4318,70.8034
1.4969,77.0000
1.5620,80.3041
1.6271,77.3510
1.6922,77.0000
1.7573,71.7419
1.8224,65.0359
1.8874,67.9107
1.9525,44.3705
2.0176,80.9823
2.0827,78.4898
2.1478,76.6533
2.2129,78.7172
2.2779,100.4963
2.3430,77.0597
2.4081,77.0000
2.4732,76.8050
2.5383,65.5175
2.6034,74.4688
2.6684,70.3453
2.7335,75.7124
2.7986,74.8334
2.8637,77.0000
2.9288,77.0000
2.9939,77.0000
3.0589,74.1512
3.1240,63.4356
3.1891,72.8995
3.2542,77.0000
3.3193,77.0000
3.3844,95.2157
3.4494,88.0158
3.5145,59.0751
3.5796,77.0000
3.6447,77.0000
3.7098,66.9895
3.7749,56.1787
3.8400,87.6459
3.9050,76.4466
3.9701,65.5602
4.0352,75.1057
4.1003,85.1167
4.1654,82.8833
4.2305,58.4233
4.2955,52.8808
4.3606,76.9183
4.4257,65.0761
4.4908,58.7607
4.5559,77.0000
4.6210,77.0000
4.6860,76.9344
4.7511,77.0000
4.8162,90.1747
4.8813,77.4355
4.9464,48.4073
5.0115,60.0749
5.0765,72.5875
5.1416,77.0000
5.2067,54.3244
5.2718,55.7072
5.3369,72.5429
5.4020,77.0000
5.4671,75.9353
5.5321,77.0000
5.5972,79.3752
5.6623,81.9834
5.7274,56.4764
5.7925,63.3675
5.8576,67.7107
5.9226,71.8187
5.9877,77.1315
6.0528,55.8017
6.1179,45.8215
6.1830,59.0392
6.2481,77.0000
6.3131,74.8470
6.3782,64.8124
6.4433,77.0000
6.5084,77.0000
6.5735,78.3968
6.6386,96.8200
6.7036,77.0000
6.7687,73.6572
6.8338,44.1241
6.8989,62.6625
6.9640,38.6215
7.0291,76.5339
7.0941,74.9114
7.1592,86.6657
7.2243,78.9398
7.2894,77.0000
7.3545,76.9294
7.4196,53.0259
7.4847,57.1116
7.5497,74.5164
7.6148,77.0000
7.6799,77.0000
7.7450,77.0000
7.8101,84.8146
7.8752,100.0469
7.9402,92.2908
8.0053,63.7216
8.0704,70.5930
8.1355,77.0000
8.2006,79.2076
8.2657,84.3827
8.3307,73.5509
8.3958,48.0800
8.4609,69.4052
8.5260,94.0141
8.5911,77.0000
8.6562,74.6501
8.7212,77.0000
8.7863,79.4199
8.8514,92.3638
8.9165,77.0000
8.9816,77.0000
9.0467,80.6274
9.1118,95.3471
9.1768,77.0000
9.2419,77.0000
9.3070,83.8809
9.3721,77.2557
9.4372,77.0000
9.5023,77.0000
9.5673,72.6312
9.6324,75.1181
9.6975,77.0000
9.7626,77.0000
9.8277,77.0000
9.8928,77.0000
9.9578,77.0000
10.0229,54.6478
10.0880,65.0662
10.1531,77.0000
10.2182,64.1562
10.2833,47.0120
10.3483,60.1987
10.4134,77.0000
10.4785,77.0000
10.5436,77.0000
10.6087,77.0000
10.6738,85.3615
10.7388,89.7509
10.8039,77.0000
10.8690,75.9353
10.9341,81.1498
10.9992,77.0000
11.0643,77.0000
11.1294,77.0000
11.1944,80.4984
11.2595,77.0000
11.3246,82.6016
11.3897,114.2400
11.4548,109.0425
11.5199,77.0000
11.5849,76.3704
11.6500,68.8306
11.7151,77.0211
11.7802,103.5248
11.8453,78.4211
11.9104,77.0000
11.9754,77.0000
12.0405,101.8172
12.1056,80.8271
12.1707,77.0000
12.2358,47.4781
12.3009,68.3285
12.3659,77.0000
12.4310,77.0000
12.4961,98.9854
12.5612,89.5651
12.6263,68.3879
12.6914,53.0717
12.7565,61.5005
12.8215,92.6998
12.8866,90.2745
12.9517,77.0000
13.0168,77.0000
13.0819,61.2238
13.1470,59.3816
13.2120,83.7675
13.2771,97.0347
13.3422,77.0000
13.4073,79.3548
13.4724,91.1587
13.5375,77.0000
13.6025,77.0000
13.6676,77.0000
13.7327,79.4663
13.7978,87.0850
13.8629,71.7964
13.9280,45.1096
13.9930,77.0000
14.0581,77.0000
14.1232,77.0000
14.1883,104.0669
14.2534,78.1837
14.3185,57.1190
14.3835,71.7208
14.4486,77.0000
14.5137,77.0000
14.5788,77.0000
14.6439,54.8050
14.7090,65.4735
14.7741,77.0000
14.8391,77.0000
14.9042,59.2683
14.9693,61.1625
15.0344,110.5372
15.0995,87.1457
15.1646,63.4585
15.2296,77.0000
15.2947,62.6482
15.3598,54.1594
15.4249,78.4541
15.4900,98.6174
15.5551,77.0000
15.6201,77.0000
15.6852,77.0000
15.7503,77.0000
15.8154,84.7350
15.8805,97.5909
15.9456,77.0000
16.0106,75.9383
16.0757,78.6653
16.1408,86.8497
16.2059,75.9600
16.2710,67.9373
16.3361,77.0000
