X,Y
0.0000,77.000
0.0651,69.882
0.1302,76.511
0.1953,60.596
0.2603,66.962
0.3254,76.764
0.3905,103.268
0.4556,68.461
0.5207,40.711
0.5858,38.000
0.6508,42.651
0.7159,69.759
0.7810,52.985
0.8461,71.981
0.9112,65.061
0.9763,74.875
1.0413,48.532
1.1064,44.089
1.1715,51.329
1.2366,84.705
1.3017,67.724
1.3668,62.027
1.4318,54.550
1.4969,48.532
1.5620,55.772
1.6271,71.098
1.6922,80.689
1.7573,77.000
1.8224,77.000
1.8874,77.000
1.9525,77.000
2.0176,77.000
2.0827,77.000
2.1478,77.000
2.2129,70.626
2.2779,76.609
2.3430,87.193
2.4081,97.626
2.4732,77.748
2.5383,86.139
2.6034,87.933
2.6684,77.000
2.7335,77.000
2.7986,77.000
2.8637,77.000
2.9288,82.900
2.9939,90.568
3.0589,77.000
3.1240,83.576
3.1891,99.922
3.2542,62.458
3.3193,77.000
3.3844,77.000
3.4494,77.643
3.5145,77.877
3.5796,78.561
3.6447,82.760
3.7098,60.709
3.7749,68.140
3.8400,77.310
3.9050,142.440
3.9701,64.965
4.0352,95.515
4.1003,78.674
4.1654,81.130
4.2305,109.245
4.2955,80.233
4.3606,57.977
4.4257,74.837
4.4908,108.747
4.5559,83.895
4.6210,101.937
4.6860,111.998
4.7511,98.870
4.8162,108.015
4.8813,89.220
4.9464,87.307
5.0115,113.880
5.0765,89.025
5.1416,68.333
5.2067,99.675
5.2718,115.937
5.3369,100.174
5.4020,83.234
5.4671,90.164
5.5321,106.662
5.5972,93.577
5.6623,97.203
5.7274,108.397
5.7925,86.097
5.8576,89.957
5.9226,110.992
5.9877,97.683
6.0528,82.754
6.1179,84.094
6.1830,85.995
6.2481,75.270
6.3131,77.000
6.3782,77.000
6.4433,89.506
6.5084,101.407
6.5735,63.026
6.6386,77.000
6.7036,91.623
6.7687,114.773
6.8338,81.384
6.8989,86.615
6.9640,75.978
7.0291,77.000
7.0941,77.000
7.1592,84.812
7.2243,132.774
7.2894,88.163
7.3545,111.547
7.4196,86.152
7.4847,127.065
7.5497,96.378
7.6148,142.871
7.6799,146.584
7.7450,115.299
7.8101,115.000
7.8752,95.496
7.9402,161.903
8.0053,114.171
8.0704,80.527
8.1355,103.837
8.2006,113.112
8.2657,101.266
8.3307,81.653
8.3958,78.583
8.4609,130.676
8.5260,108.404
8.5911,95.759
8.6562,108.565
8.7212,111.567
8.7863,115.000
8.8514,94.889
8.9165,93.515
8.9816,110.251
9.0467,90.148
9.1118,101.421
9.1768,115.000
9.2419,100.392
9.3070,120.453
9.3721,127.323
9.4372,134.829
9.5023,130.953
9.5673,103.937
9.6324,105.979
9.6975,121.312
9.7626,126.813
9.8277,115.000
9.8928,115.000
9.9578,105.556
10.0229,105.681
10.0880,115.000
10.1531,101.051
10.2182,73.258
10.2833,94.111
10.3483,108.558
10.4134,95.755
10.4785,77.000
10.5436,96.681
10.6087,134.154
10.6738,98.004
10.7388,96.125
10.8039,115.000
10.8690,108.135
10.9341,84.215
10.9992,101.968
11.0643,144.200
11.1294,99.727
11.1944,113.939
11.2595,80.046
11.3246,112.595
11.3897,78.764
11.4548,115.000
11.5199,114.519
11.5849,78.909
11.6500,105.752
11.7151,93.111
11.7802,99.928
11.8453,106.983
11.9104,80.282
11.9754,78.302
12.0405,110.350
12.1056,82.291
12.1707,95.370
12.2358,106.669
12.3009,86.304
12.3659,154.202
12.4310,124.421
12.4961,125.498
12.5612,88.475
12.6263,104.578
12.6914,120.599
12.7565,109.456
12.8215,107.915
12.8866,115.000
12.9517,116.372
13.0168,89.403
13.0819,92.782
13.1470,96.015
13.2120,94.946
13.2771,97.617
13.3422,95.689
13.4073,91.293
13.4724,93.360
13.5375,110.258
13.6025,105.201
13.6676,77.000
13.7327,80.689
13.7978,120.043
13.8629,155.975
13.9280,114.764
13.9930,94.004
14.0581,106.845
14.1232,91.635
14.1883,83.427
14.2534,101.635
14.3185,110.141
14.3835,87.573
14.4486,113.718
14.5137,92.232
14.5788,102.735
14.6439,107.304
14.7090,83.757
14.7741,110.469
14.8391,113.100
14.9042,92.949
14.9693,77.000
15.0344,77.438
15.0995,77.000
15.1646,77.660
15.2296,92.983
15.2947,77.000
15.3598,77.119
15.4249,77.000
