X,Y
0.0000,77.000
0.0651,100.277
0.1302,111.417
0.1953,100.874
0.2603,77.000
0.3254,77.000
0.3905,77.000
0.4556,88.841
0.5207,126.318
0.5858,77.058
0.6508,107.094
0.7159,99.555
0.7810,102.988
0.8461,103.836
0.9112,99.982
0.9763,113.988
1.0413,95.238
1.1064,77.000
1.1715,86.520
1.2366,114.204
1.3017,84.162
1.3668,117.050
1.4318,112.480
1.4969,78.256
1.5620,129.607
1.6271,138.936
1.6922,95.183
1.7573,77.000
1.8224,77.000
1.8874,77.000
1.9525,104.257
2.0176,114.798
2.0827,124.646
2.1478,79.656
2.2129,82.775
2.2779,88.200
2.3430,115.000
2.4081,111.800
2.4732,105.636
2.5383,84.748
2.6034,88.776
2.6684,78.810
2.7335,101.120
2.7986,77.131
2.8637,106.843
2.9288,93.115
2.9939,92.733
3.0589,83.708
3.1240,106.417
3.1891,97.437
3.2542,100.874
3.3193,102.864
3.3844,80.566
3.4494,97.036
3.5145,101.199
3.5796,88.738
3.6447,80.142
3.7098,109.629
3.7749,96.773
3.8400,90.529
3.9050,81.063
3.9701,93.211
4.0352,77.796
4.1003,81.355
4.1654,113.574
4.2305,85.643
4.2955,80.860
4.3606,77.050
4.4257,105.848
4.4908,95.119
4.5559,99.049
4.6210,79.448
4.6860,108.349
4.7511,80.094
4.8162,83.300
4.8813,113.453
4.9464,133.414
5.0115,119.901
5.0765,95.289
5.1416,77.000
5.2067,77.049
5.2718,101.773
5.3369,96.726
5.4020,125.283
5.4671,99.482
5.5321,79.586
5.5972,102.864
5.6623,121.470
5.7274,132.263
5.7925,116.508
5.8576,139.530
5.9226,113.949
5.9877,133.409
6.0528,136.644
6.1179,197.269
6.1830,125.848
6.2481,153.209
6.3131,215.593
6.3782,192.359
6.4433,209.555
6.5084,248.281
6.5735,206.130
6.6386,193.000
6.7036,176.722
6.7687,132.496
6.8338,166.603
6.8989,163.357
6.9640,139.599
7.0291,117.341
7.0941,141.382
7.1592,130.243
7.2243,153.796
7.2894,134.873
7.3545,129.674
7.4196,115.000
7.4847,130.902
7.5497,101.123
7.6148,102.466
7.6799,99.501
7.7450,111.021
7.8101,98.228
7.8752,103.625
7.9402,110.431
8.0053,101.869
8.0704,79.685
8.1355,98.232
8.2006,100.277
8.2657,118.210
8.3307,121.171
8.3958,190.167
8.4609,91.991
8.5260,109.825
8.5911,95.626
8.6562,117.694
8.7212,148.488
8.7863,118.224
8.8514,103.262
8.9165,79.062
8.9816,97.036
9.0467,80.566
9.1118,102.864
9.1768,104.760
9.2419,86.948
9.3070,91.517
9.3721,78.250
9.4372,101.073
9.5023,108.645
9.5673,93.134
9.6324,128.272
9.6975,104.654
9.7626,78.810
9.8277,95.976
9.8928,84.048
9.9578,79.330
10.0229,77.000
10.0880,77.000
10.1531,112.930
10.2182,104.649
10.2833,77.726
10.3483,93.052
10.4134,77.000
10.4785,77.000
10.5436,79.129
10.6087,81.984
10.6738,114.128
10.7388,99.329
10.8039,96.922
10.8690,88.340
10.9341,111.618
10.9992,84.109
11.0643,82.173
11.1294,100.088
11.1944,77.508
11.2595,77.000
11.3246,89.483
11.3897,110.092
11.4548,109.628
11.5199,93.508
11.5849,114.614
11.6500,108.161
11.7151,96.534
11.7802,77.000
11.8453,79.131
11.9104,78.227
11.9754,94.707
12.0405,114.663
12.1056,78.678
12.1707,108.832
12.2358,112.707
12.3009,111.417
12.3659,107.042
12.4310,77.000
