X,Y
0.0000,115.000
0.0651,115.000
0.1302,77.000
0.1953,80.367
0.2603,77.000
0.3254,109.388
0.3905,77.000
0.4556,46.063
0.5207,77.000
0.5858,77.000
0.6508,99.743
0.7159,77.000
0.7810,77.000
0.8461,77.000
0.9112,77.000
0.9763,77.000
1.0413,77.000
1.1064,77.000
1.1715,77.000
1.2366,93.675
1.3017,99.447
1.3668,77.000
1.4318,77.000
1.4969,77.000
1.5620,77.000
1.6271,77.000
1.6922,115.000
1.7573,185.101
1.8224,51.321
1.8874,77.000
1.9525,42.443
2.0176,77.000
2.0827,74.861
2.1478,113.051
2.2129,77.000
2.2779,77.000
2.3430,77.000
2.4081,77.000
2.4732,77.000
2.5383,109.228
2.6034,83.895
2.6684,77.000
2.7335,77.000
2.7986,66.468
2.8637,77.000
2.9288,64.165
2.9939,63.013
3.0589,83.030
3.1240,54.291
3.1891,77.000
3.2542,77.000
3.3193,77.000
3.3844,94.637
3.4494,77.000
3.5145,92.392
3.5796,77.000
3.6447,77.000
3.7098,77.000
3.7749,77.000
3.8400,77.000
3.9050,46.886
3.9701,77.000
4.0352,77.000
4.1003,77.000
4.1654,77.000
4.2305,77.000
4.2955,77.000
4.3606,77.000
4.4257,77.000
4.4908,77.000
4.5559,77.000
4.6210,77.000
4.6860,77.000
4.7511,77.000
4.8162,77.000
4.8813,77.000
4.9464,47.544
5.0115,77.000
5.0765,77.000
5.1416,77.000
5.2067,52.152
5.2718,61.696
5.3369,60.544
5.4020,59.392
5.4671,56.759
5.5321,95.599
5.5972,55.937
5.6623,77.000
5.7274,77.000
5.7925,38.000
5.8576,77.000
5.9226,38.000
5.9877,77.000
6.0528,38.000
6.1179,68.278
6.1830,45.570
6.2481,77.000
6.3131,43.266
6.3782,77.000
6.4433,40.962
6.5084,38.000
6.5735,77.000
6.6386,77.000
6.7036,77.000
6.7687,40.797
6.8338,38.000
6.8989,77.000
6.9640,77.000
7.0291,107.785
7.0941,77.000
7.1592,77.000
7.2243,59.443
7.2894,115.000
7.3545,128.165
7.4196,77.000
7.4847,130.468
7.5497,231.000
7.6148,210.316
7.6799,174.076
7.7450,174.713
7.8101,231.000
7.8752,170.620
7.9402,154.000
8.0053,206.949
8.0704,154.000
8.1355,154.000
8.2006,220.418
8.2657,124.709
8.3307,123.557
8.3958,84.215
8.4609,83.093
8.5260,115.000
8.5911,84.797
8.6562,115.000
8.7212,152.354
8.7863,77.481
8.8514,154.000
8.9165,77.000
8.9816,79.886
9.0467,77.000
9.1118,71.734
9.1768,77.000
9.2419,77.000
9.3070,85.498
9.3721,77.000
9.4372,104.257
9.5023,77.000
9.5673,77.000
9.6324,77.000
9.6975,92.232
9.7626,77.000
9.8277,97.523
9.8928,115.000
9.9578,96.722
10.0229,94.156
10.0880,60.544
10.1531,53.304
10.2182,62.848
10.2833,77.000
10.3483,49.848
10.4134,48.696
10.4785,56.844
10.5436,77.000
10.6087,77.000
10.6738,77.000
10.7388,77.000
10.8039,77.000
10.8690,109.802
10.9341,77.000
10.9992,114.679
11.0643,38.823
11.1294,77.000
11.1944,115.000
11.2595,77.000
11.3246,77.000
11.3897,70.418
11.4548,45.734
11.5199,77.000
11.5849,77.000
11.6500,87.903
11.7151,50.342
11.7802,77.000
11.8453,81.561
11.9104,77.000
11.9754,120.536
12.0405,77.000
12.1056,77.000
12.1707,56.595
12.2358,77.000
12.3009,77.000
12.3659,53.139
12.4310,63.013
12.4961,77.000
12.5612,77.000
12.6263,77.000
12.6914,77.000
12.7565,77.000
12.8215,77.000
12.8866,77.000
12.9517,77.000
13.0168,77.000
13.0819,77.000
13.1470,77.000
13.2120,77.000
13.2771,39.949
13.3422,77.000
13.4073,41.291
13.4724,110.671
13.5375,77.000
13.6025,77.000
13.6676,77.000
13.7327,77.000
13.7978,48.203
13.8629,77.000
13.9280,64.494
13.9930,140.342
14.0581,77.000
14.1232,77.000
14.1883,77.000
14.2534,77.000
14.3185,77.000
14.3836,58.570
14.4486,77.000
14.5137,54.127
14.5788,62.025
14.6439,77.000
14.7090,77.000
14.7741,77.000
14.8391,104.899
14.9042,85.979
14.9693,77.000
15.0344,147.089
15.0995,77.000
15.1646,47.097
15.2296,83.823
15.2947,115.000
15.3598,39.152
15.4249,38.000
