X,Y
0.0000,77.000
0.0651,78.222
0.1302,115.000
0.1953,77.000
0.2603,77.000
0.3254,83.109
0.3905,77.000
0.4556,103.109
0.5207,115.000
0.5858,115.000
0.6508,129.241
0.7159,115.000
0.7810,77.000
0.8461,77.000
0.9112,111.662
0.9763,96.672
1.0413,96.550
1.1064,77.000
1.1715,131.428
1.2366,77.000
1.3017,115.000
1.3668,77.000
1.4318,115.000
1.4969,133.945
1.5620,77.000
1.6271,107.547
1.6922,77.000
1.7573,109.990
1.8224,77.000
1.8874,115.000
1.9525,81.103
2.0176,77.000
2.0827,77.000
2.1478,79.322
2.2129,111.457
2.2779,77.000
2.3430,115.000
2.4081,84.209
2.4732,85.431
2.5383,105.347
2.6034,115.000
2.6684,115.000
2.7335,128.669
2.7986,77.000
2.8637,99.238
2.9288,115.000
2.9939,77.000
3.0589,134.939
3.1240,77.000
3.1891,77.000
3.2542,115.000
3.3193,77.000
3.3844,77.000
3.4494,77.000
3.5145,133.698
3.5796,115.000
3.6447,107.424
3.7098,108.646
3.7749,82.132
3.8400,77.000
3.9050,112.312
3.9701,77.000
4.0352,77.244
4.1003,114.023
4.1654,115.000
4.2305,115.000
4.2955,119.765
4.3606,115.000
4.4257,115.000
4.4908,77.000
4.5559,77.000
4.6210,142.965
4.6860,133.090
4.7511,77.000
4.8162,129.797
4.8813,115.000
4.9464,132.305
5.0115,133.559
5.0765,95.695
5.1416,115.000
5.2067,115.000
5.2718,115.000
5.3369,101.193
5.4020,141.084
5.4671,126.662
5.5321,125.408
5.5972,115.000
5.6623,115.000
5.7274,90.122
5.7925,120.392
5.8576,115.000
5.9226,79.810
5.9877,77.000
6.0528,115.000
6.1179,115.000
6.1830,79.077
6.2481,118.386
6.3131,115.000
6.3782,115.000
6.4433,83.965
6.5084,85.186
6.5735,115.000
6.6386,115.000
6.7036,115.000
6.7687,140.582
6.8338,129.672
6.8989,146.852
6.9640,93.740
7.0291,133.434
7.0941,115.000
7.1592,115.000
7.2243,115.000
7.2894,92.151
7.3545,115.000
7.4196,115.000
7.4847,142.212
7.5497,87.264
7.6148,115.000
7.6799,107.180
7.7450,115.000
7.8101,115.000
7.8752,110.846
7.9402,79.932
8.0053,77.000
8.0704,114.511
8.1355,77.733
8.2006,113.045
8.2657,115.000
8.3307,115.000
8.3958,115.000
8.4609,154.000
8.5260,137.659
8.5911,173.939
8.6562,115.000
8.7212,166.039
8.7863,115.000
8.8514,129.547
8.9165,99.604
8.9816,77.000
9.0467,97.161
9.1118,115.000
9.1768,115.000
9.2419,115.000
9.3070,115.000
9.3721,115.000
9.4372,102.170
9.5023,138.826
9.5673,125.659
9.6324,144.595
9.6975,115.000
9.7626,160.897
9.8277,181.714
9.8928,193.000
9.9578,189.865
10.0229,255.000
10.0880,193.611
10.1531,193.611
10.2182,155.881
10.2833,196.055
10.3483,193.000
10.4134,193.000
10.4785,160.897
10.5436,131.302
10.6087,154.000
10.6738,175.045
10.7388,115.000
10.8039,128.167
10.8690,105.473
10.9341,115.000
10.9992,131.929
11.0643,77.000
11.1294,115.000
11.1944,97.161
11.2595,136.945
11.3246,115.000
11.3897,154.000
11.4548,77.000
11.5199,103.270
11.5849,87.508
11.6500,86.286
11.7151,85.064
11.7802,115.000
11.8453,77.000
11.9104,77.000
11.9754,80.177
12.0405,154.000
12.1056,78.486
12.1707,153.498
12.2358,115.000
12.3009,115.000
12.3659,110.846
12.4310,82.376
12.4961,90.370
12.5612,84.820
12.6263,77.000
12.6914,115.000
12.7565,115.000
12.8215,89.707
12.8866,125.775
12.9517,92.151
13.0168,93.373
13.0819,97.405
13.1470,134.312
13.2120,115.000
13.2771,115.000
13.3422,115.000
13.4073,139.328
13.4724,115.000
13.5375,127.164
13.6025,171.180
13.6676,105.592
13.7327,115.000
13.7978,91.113
13.8629,82.743
13.9280,81.521
13.9930,150.614
14.0581,117.132
14.1232,115.000
14.1883,153.624
14.2534,78.588
14.3185,148.305
14.3836,110.968
14.4486,115.000
14.5137,115.000
14.5788,122.900
14.6439,115.000
14.7090,115.000
14.7741,88.363
14.8391,115.000
14.9042,115.000
14.9693,130.424
15.0344,115.000
15.0995,136.068
15.1646,116.119
15.2296,133.559
15.2947,98.138
15.3598,115.000
15.4249,91.418
15.4900,101.804
15.5551,141.711
15.6201,104.248
15.6852,115.000
15.7503,85.309
15.8154,115.000
15.8805,109.135
15.9456,115.000
16.0106,115.000
16.0757,77.000
16.1408,114.023
16.2059,77.000
16.2710,116.505
16.3361,79.688
16.4012,119.013
16.4662,82.132
16.5313,108.646
16.5964,115.000
16.6615,77.000
16.7266,115.000
16.7917,77.000
16.8567,128.746
16.9218,115.000
16.9869,91.907
17.0520,131.553
17.1171,136.193
17.1822,96.428
17.2472,96.794
17.3123,93.984
17.3774,92.762
17.4425,115.000
17.5076,90.318
17.5727,89.096
17.6377,115.000
17.7028,115.000
17.7679,85.431
17.8330,115.000
17.8981,115.000
17.9632,115.000
18.0283,115.000
18.0933,115.000
18.1584,152.871
18.2235,115.000
18.2886,78.344
18.3537,115.000
18.4188,115.000
18.4838,115.000
18.5489,83.232
18.6140,170.248
18.6791,106.325
18.7442,125.158
18.8093,115.000
18.8743,127.666
18.9394,115.000
19.0045,130.174
19.0696,115.000
19.1347,136.318
19.1998,95.450
19.2648,154.000
19.3299,136.444
19.3950,115.000
19.4601,115.000
19.5252,115.000
19.5903,115.000
19.6553,115.000
19.7204,96.807
19.7855,145.222
19.8506,115.000
19.9157,121.270
19.9808,110.113
20.0459,77.000
20.1109,81.952
20.1760,152.746
20.2411,115.000
