X,Y
0.0000,115.000
0.0651,124.514
0.1302,116.428
0.1953,122.470
0.2603,82.055
0.3254,118.342
0.3905,102.495
0.4556,131.823
0.5207,97.473
0.5858,103.052
0.6508,99.668
0.7159,81.480
0.7810,82.476
0.8461,101.078
0.9112,102.161
0.9763,77.000
1.0413,84.301
1.1064,102.681
1.1715,104.899
1.2366,77.830
1.3017,92.671
1.3668,96.083
1.4318,106.039
1.4969,123.284
1.5620,135.721
1.6271,116.166
1.6922,86.966
1.7573,113.003
1.8224,90.893
1.8874,130.263
1.9525,115.262
2.0176,115.000
2.0827,115.000
2.1478,115.000
2.2129,146.677
2.2779,148.837
2.3430,120.704
2.4081,161.746
2.4732,166.215
2.5383,107.112
2.6034,107.153
2.6684,115.000
2.7335,115.000
2.7986,109.961
2.8637,104.215
2.9288,111.591
2.9939,115.000
3.0589,101.393
3.1240,89.279
3.1891,113.230
3.2542,112.150
3.3193,121.173
3.3844,154.774
3.4494,125.266
3.5145,177.649
3.5796,136.184
3.6447,113.884
3.7098,80.118
3.7749,144.715
3.8400,96.973
3.9050,79.630
3.9701,77.577
4.0352,111.819
4.1003,99.618
4.1654,108.113
4.2305,117.586
4.2955,117.655
4.3606,122.084
4.4257,131.427
4.4908,116.807
4.5559,120.917
4.6210,115.000
4.6860,115.000
4.7511,112.836
4.8162,116.249
4.8813,123.448
4.9464,113.855
5.0115,115.000
5.0765,110.435
5.1416,94.826
5.2067,107.507
5.2718,77.000
5.3369,77.000
5.4020,80.817
5.4671,114.668
5.5321,104.179
5.5972,97.234
5.6623,85.680
5.7274,78.997
5.7925,101.383
5.8576,111.820
5.9226,110.096
5.9877,111.017
6.0528,111.531
6.1179,115.000
6.1830,112.174
6.2481,109.192
6.3131,85.642
6.3782,77.000
6.4433,78.258
6.5084,100.016
6.5735,123.514
6.6386,130.925
6.7036,114.800
6.7687,109.011
6.8338,108.557
6.8989,91.788
6.9640,104.412
7.0291,88.284
7.0941,101.460
7.1592,115.000
7.2243,112.628
7.2894,132.916
7.3545,167.284
7.4196,120.020
7.4847,110.198
7.5497,106.885
7.6148,174.995
7.6799,96.395
7.7450,104.362
7.8101,111.780
7.8752,123.951
7.9402,116.362
8.0053,121.226
8.0704,121.330
8.1355,121.147
8.2006,115.909
8.2657,128.936
8.3307,135.607
8.3958,134.755
8.4609,98.642
8.5260,105.512
8.5911,135.240
8.6562,118.852
8.7212,119.258
8.7863,129.476
8.8514,133.548
8.9165,115.000
8.9816,120.885
9.0467,134.387
9.1118,117.900
9.1768,159.023
9.2419,231.116
9.3070,153.821
9.3721,133.790
9.4372,117.511
9.5023,115.000
9.5673,98.070
9.6324,102.948
9.6975,85.986
9.7626,99.923
9.8277,93.594
9.8928,79.058
9.9578,78.145
10.0229,85.232
10.0880,86.637
10.1531,77.000
10.2182,79.493
10.2833,77.000
10.3483,82.765
10.4134,78.761
10.4785,93.005
10.5436,103.839
10.6087,111.602
10.6738,113.838
10.7388,99.318
10.8039,77.000
10.8690,77.000
10.9341,81.978
10.9992,113.980
11.0643,93.358
11.1294,77.000
11.1944,79.467
11.2595,77.543
11.3246,77.000
11.3897,105.684
11.4548,140.765
11.5199,128.809
11.5849,79.677
11.6500,78.858
11.7151,78.770
11.7802,91.826
11.8453,88.948
11.9104,77.783
11.9754,94.182
12.0405,95.920
12.1056,90.878
12.1707,77.000
12.2358,82.558
12.3009,77.000
12.3659,77.000
12.4310,77.543
12.4961,85.217
12.5612,81.233
12.6263,82.030
12.6914,90.133
12.7565,121.213
12.8215,94.807
12.8866,46.390
12.9517,77.000
13.0168,77.000
13.0819,77.000
13.1470,79.661
13.2120,105.034
13.2771,97.908
13.3422,78.770
13.4073,77.000
13.4724,79.074
13.5375,104.878
13.6025,94.826
13.6676,77.000
13.7327,83.782
13.7978,95.673
13.8629,84.301
13.9280,77.000
13.9930,95.585
14.0581,97.742
14.1232,77.000
14.1883,79.759
14.2534,77.000
14.3185,77.000
14.3836,77.000
14.4486,83.306
14.5137,94.410
14.5788,88.782
14.6439,78.825
14.7090,80.130
14.7741,98.176
14.8391,113.672
14.9042,77.000
