X,Y
0.0000,77.000
0.0651,82.526
0.1302,114.742
0.1953,85.610
0.2603,103.781
0.3254,77.583
0.3905,77.000
0.4556,151.421
0.5207,95.510
0.5858,103.669
0.6508,104.008
0.7159,143.748
0.7810,122.029
0.8461,79.526
0.9112,112.285
0.9763,114.791
1.0413,85.114
1.1064,112.589
1.1715,104.864
1.2366,91.760
1.3017,93.545
1.3668,114.065
1.4318,81.693
1.4969,100.935
1.5620,113.090
1.6271,115.000
1.6922,110.542
1.7573,114.695
1.8224,115.323
1.8874,82.713
1.9525,104.562
2.0176,132.200
2.0827,150.503
2.1478,133.258
2.2129,103.787
2.2779,111.742
2.3430,115.000
2.4081,136.039
2.4732,143.364
2.5383,120.815
2.6034,88.242
2.6684,109.773
2.7335,145.280
2.7986,121.660
2.8637,115.000
2.9288,138.574
2.9939,120.996
3.0589,137.274
3.1240,122.869
3.1891,116.370
3.2542,104.855
3.3193,92.882
3.3844,87.182
3.4494,101.690
3.5145,113.779
3.5796,115.000
3.6447,115.200
3.7098,143.364
3.7749,134.873
3.8400,183.831
3.9050,174.203
3.9701,147.753
4.0352,121.366
4.1003,128.035
4.1654,93.493
4.2305,77.000
4.2955,77.000
4.3606,119.303
4.4257,124.692
4.4908,115.000
4.5559,89.423
4.6210,56.114
4.6860,68.007
4.7511,82.916
4.8162,98.096
4.8813,100.455
4.9464,97.727
5.0115,96.263
5.0765,114.347
5.1416,96.496
5.2067,100.455
5.2718,91.727
5.3369,100.091
5.4020,114.013
5.4671,115.000
5.5321,115.000
5.5972,96.488
5.6623,103.042
5.7274,108.053
5.7925,95.366
5.8576,106.153
5.9226,103.605
5.9877,92.091
6.0528,89.364
6.1179,102.243
6.1830,136.273
6.2481,135.234
6.3131,136.592
6.3782,174.876
6.4433,155.579
6.5084,162.062
6.5735,196.689
6.6386,198.401
6.7036,203.999
6.7687,195.263
6.8338,192.487
6.8989,177.731
6.9640,154.000
7.0291,135.153
7.0941,100.037
7.1592,82.945
7.2243,95.591
7.2894,98.039
7.3545,81.182
7.4196,80.769
7.4847,81.334
7.5497,95.010
7.6148,94.118
7.6799,92.720
7.7450,108.220
7.8101,101.638
7.8752,99.000
7.9402,80.860
8.0053,96.488
8.0704,113.447
8.1355,99.075
8.2006,77.650
8.2657,94.561
8.3307,103.021
8.3958,86.818
8.4609,84.803
8.5260,77.000
8.5911,77.000
8.6562,77.000
8.7212,82.220
8.7863,88.818
8.8514,82.916
8.9165,77.000
8.9816,78.235
9.0467,77.605
9.1118,78.218
9.1768,89.364
9.2419,102.818
9.3070,85.842
9.3721,94.413
9.4372,83.904
9.5023,96.818
9.5673,101.590
9.6324,110.916
9.6975,80.341
9.7626,83.394
9.8277,77.000
9.8928,77.942
9.9578,87.714
10.0229,103.526
10.0880,77.000
10.1531,69.050
10.2182,55.553
10.2833,73.767
10.3483,64.791
10.4134,81.305
10.4785,93.247
10.5436,82.356
10.6087,97.703
10.6738,77.000
10.7388,83.737
10.8039,105.256
10.8690,85.072
10.9341,105.792
10.9992,77.000
11.0643,82.666
11.1294,99.612
11.1944,79.318
11.2595,95.615
11.3246,111.392
11.3897,100.994
11.4548,109.000
11.5199,81.092
11.5849,106.455
11.6500,104.562
11.7151,77.000
11.7802,76.950
11.8453,83.662
11.9104,105.165
11.9754,69.936
12.0405,78.211
12.1056,90.273
12.1707,91.316
12.2358,77.000
12.3009,82.743
12.3659,134.107
12.4310,73.641
12.4961,38.698
12.5612,46.327
12.6263,79.518
12.6914,112.285
12.7565,77.158
12.8215,83.538
12.8866,97.643
12.9517,77.000
13.0168,77.000
13.0819,77.000
13.1470,77.633
13.2120,98.154
13.2771,87.120
13.3422,77.209
13.4073,85.420
13.4724,93.401
13.5375,79.714
13.6025,77.000
