X,Y
0.0000,77.000
0.0651,77.044
0.1302,77.000
0.1953,89.600
0.2603,94.061
0.3254,114.575
0.3905,115.000
0.4556,115.000
0.5207,115.000
0.5858,114.630
0.6508,78.701
0.7159,77.000
0.7810,89.377
0.8461,78.157
0.9112,92.122
0.9763,101.911
1.0413,99.935
1.1064,114.387
1.1715,114.224
1.2366,84.747
1.3017,94.883
1.3668,113.875
1.4318,81.265
1.4969,91.032
1.5620,88.633
1.6271,132.094
1.6922,89.071
1.7573,77.160
1.8224,104.918
1.8874,113.566
1.9525,127.134
2.0176,101.311
2.0827,80.672
2.1478,99.250
2.2129,146.024
2.2779,90.750
2.3430,77.285
2.4081,86.561
2.4732,134.691
2.5383,108.338
2.6034,111.202
2.6684,115.000
2.7335,93.673
2.7986,102.964
2.8637,114.478
2.9288,115.000
2.9939,90.666
3.0589,87.469
3.1240,98.176
3.1891,96.000
3.2542,100.265
3.3193,91.909
3.3844,106.564
3.4494,88.690
3.5145,105.172
3.5796,87.663
3.6447,124.041
3.7098,127.755
3.7749,114.915
3.8400,125.292
3.9050,111.172
3.9701,87.016
4.0352,101.919
4.1003,112.286
4.1654,112.721
4.2305,89.602
4.2955,77.000
4.3606,77.000
4.4257,77.000
4.4908,101.622
4.5559,115.000
4.6210,115.000
4.6860,113.860
4.7511,149.330
4.8162,123.539
4.8813,108.917
4.9464,104.080
5.0115,86.597
5.0765,94.275
5.1416,112.968
5.2067,92.510
5.2718,97.248
5.3369,107.245
5.4020,94.932
5.4671,93.286
5.5321,97.551
5.5972,87.889
5.6623,98.133
5.7274,96.625
5.7925,97.709
5.8576,113.219
5.9226,94.643
5.9877,103.920
6.0528,111.912
6.1179,118.001
6.1830,153.855
6.2481,168.498
6.3131,177.516
6.3782,173.000
6.4433,175.061
6.5084,179.181
6.5735,153.855
6.6386,134.581
6.7036,157.392
6.7687,174.759
6.8338,157.781
6.8989,152.489
6.9640,136.472
7.0291,117.631
7.0941,123.021
7.1592,152.890
7.2243,146.969
7.2894,122.163
7.3545,127.337
7.4196,132.616
7.4847,134.339
7.5497,130.918
7.6148,138.281
7.6799,115.000
7.7450,115.000
7.8101,122.098
7.8752,135.247
7.9402,135.838
8.0053,140.823
8.0704,138.829
8.1355,142.471
8.2006,186.571
8.2657,165.527
8.3307,125.132
8.3958,108.378
8.4609,128.096
8.5260,101.102
8.5911,110.299
8.6562,103.658
8.7212,78.060
8.7863,78.810
8.8514,104.399
8.9165,127.649
8.9816,90.651
9.0467,90.481
9.1118,127.143
9.1768,104.337
9.2419,86.828
9.3070,114.476
9.3721,108.796
9.4372,97.367
9.5023,86.694
9.5673,110.250
9.6324,94.568
9.6975,79.511
9.7626,81.748
9.8277,85.279
9.8928,110.125
9.9578,79.930
10.0229,94.286
10.0880,77.000
10.1531,84.697
10.2182,106.071
10.2833,95.423
10.3483,87.794
10.4134,113.734
10.4785,112.286
10.5436,109.231
10.6087,110.495
10.6738,89.978
10.7388,79.882
10.8039,95.289
10.8690,106.184
10.9341,109.571
10.9992,113.837
11.0643,106.846
11.1294,69.439
11.1944,63.209
11.2595,54.316
11.3246,63.012
11.3897,98.811
11.4548,77.000
11.5199,77.000
11.5849,76.927
11.6500,77.000
11.7151,77.000
11.7802,77.000
11.8453,75.408
11.9104,59.092
11.9754,63.469
12.0405,67.847
12.1056,72.468
12.1707,75.209
12.2358,40.985
12.3009,105.492
12.3659,64.265
12.4310,60.324
12.4961,77.000
12.5612,77.196
12.6263,85.135
12.6914,42.378
12.7565,38.000
