X,Y
0.0000,77.000
0.0651,77.000
0.1302,77.000
0.1953,77.000
0.2603,115.000
0.3254,77.000
0.3905,77.000
0.4556,77.000
0.5207,102.960
0.5858,77.000
0.6508,53.446
0.7159,77.000
0.7810,78.406
0.8461,77.000
0.9112,59.624
0.9763,61.168
1.0413,66.208
1.1064,63.158
1.1715,77.000
1.2366,57.059
1.3017,84.901
1.3668,115.000
1.4318,148.980
1.4969,147.139
1.5620,113.119
1.6271,76.614
1.6922,78.129
1.7573,43.337
1.8224,110.861
1.8874,77.000
1.9525,69.663
2.0176,136.465
2.0827,48.426
2.1478,77.000
2.2129,77.000
2.2779,77.000
2.3430,93.178
2.4081,58.851
2.4732,95.812
2.5383,77.000
2.6034,77.000
2.6684,77.000
2.7335,51.129
2.7986,77.000
2.8637,105.218
2.9288,77.000
2.9939,44.950
3.0589,77.000
3.1240,77.000
3.1891,74.683
3.2542,77.000
3.3193,77.752
3.3844,77.000
3.4494,73.139
3.5145,77.000
3.5796,77.000
3.6447,46.495
3.7098,77.000
3.7749,77.000
3.8400,89.079
3.9050,77.000
3.9701,77.000
4.0352,55.762
4.1003,96.188
4.1654,97.317
4.2305,54.604
4.2955,77.000
4.3606,77.000
4.4257,88.663
4.4908,58.584
4.5559,77.000
4.6210,84.149
4.6860,77.000
4.7511,77.000
4.8162,77.000
4.8813,112.713
4.9464,77.000
5.0115,77.000
5.0765,77.000
5.1416,81.891
5.2067,89.960
5.2718,77.000
5.3369,77.000
5.4020,49.198
5.4671,77.000
5.5321,77.000
5.5972,77.000
5.6623,77.000
5.7274,77.000
5.7925,96.941
5.8576,93.554
5.9226,154.000
5.9877,156.347
6.0528,115.000
6.1179,115.000
6.1830,154.000
6.2481,130.248
6.3131,147.822
6.3782,124.149
6.4433,124.188
6.5084,152.455
6.5735,154.000
6.6386,116.545
6.7036,188.990
6.7687,187.485
6.8338,224.822
6.8989,215.752
6.9640,203.436
7.0291,181.465
7.0941,167.604
7.1592,115.000
7.2243,115.000
7.2894,77.000
7.3545,95.059
7.4196,115.000
7.4847,59.624
7.5497,92.426
7.6148,77.000
7.6799,102.584
7.7450,77.000
7.8101,77.000
7.8752,84.901
7.9402,77.000
8.0053,77.000
8.0704,77.000
8.1355,78.881
8.2006,76.614
8.2657,39.158
8.3307,109.663
8.3958,72.752
8.4609,77.000
8.5260,77.000
8.5911,106.347
8.6562,77.000
8.7212,77.000
8.7863,51.515
8.8514,77.000
8.9165,77.000
8.9816,77.000
9.0467,77.000
9.1118,77.000
9.1768,77.000
9.2419,91.297
9.3070,102.208
9.3721,49.584
9.4372,77.000
9.5023,77.000
9.5673,77.000
9.6324,77.000
9.6975,77.000
9.7626,77.000
9.8277,76.228
9.8928,39.525
9.9578,40.317
10.0229,77.000
10.0880,109.733
10.1531,70.050
10.2182,46.495
10.2833,77.000
10.3483,65.416
10.4134,77.000
10.4785,77.000
10.5436,54.218
10.6087,94.307
10.6738,57.307
10.7388,58.851
10.8039,77.000
10.8690,77.000
10.9341,77.000
10.9992,103.337
11.0643,77.000
11.1294,46.881
11.1944,77.000
11.2595,71.208
11.3246,77.000
11.3897,77.000
11.4548,77.000
11.5199,77.000
11.5849,77.000
11.6500,111.614
11.7151,81.891
11.7802,77.000
11.8453,77.000
11.9104,77.000
11.9754,104.089
12.0405,77.000
12.1056,62.713
12.1707,77.000
12.2358,77.000
12.3009,77.000
12.3659,77.000
12.4310,77.000
12.4961,99.950
12.5612,90.545
12.6263,77.000
12.6914,77.000
12.7565,77.000
12.8215,77.000
12.8866,77.000
12.9517,42.634
13.0168,38.000
13.0819,38.000
13.1470,77.000
