X,Y
0.0000,38.000
0.0651,38.000
0.1302,77.000
0.1953,77.000
0.2603,77.000
0.3254,77.000
0.3905,77.000
0.4556,77.000
0.5207,43.673
0.5858,44.382
0.6508,69.909
0.7159,77.000
0.7810,77.000
0.8461,77.000
0.9112,77.000
0.9763,77.000
1.0413,77.000
1.1064,77.000
1.1715,77.000
1.2366,38.000
1.3017,62.818
1.3668,62.109
1.4318,92.200
1.4969,77.000
1.5620,59.982
1.6271,77.000
1.6922,56.436
1.7573,96.345
1.8224,77.000
1.8874,77.000
1.9525,77.000
2.0176,59.982
2.0827,99.109
2.1478,77.000
2.2129,62.109
2.2779,77.000
2.3430,77.000
2.4081,77.000
2.4732,38.000
2.5383,88.055
2.6034,77.000
2.6684,47.927
2.7335,77.000
2.7986,68.491
2.8637,45.800
2.9288,77.000
2.9939,70.618
3.0589,77.000
3.1240,42.964
3.1891,81.145
3.2542,77.000
3.3193,77.000
3.3844,77.000
3.4494,77.000
3.5145,152.600
3.5796,38.000
3.6447,38.709
3.7098,77.000
3.7749,77.000
3.8400,77.000
3.9050,77.000
3.9701,110.855
4.0352,77.000
4.1003,43.673
4.1654,77.000
4.2305,69.909
4.2955,69.200
4.3606,77.000
4.4257,67.782
4.4908,77.000
4.5559,48.636
4.6210,65.655
4.6860,77.000
4.7511,64.236
4.8162,77.000
4.8813,77.000
4.9464,77.000
5.0115,77.000
5.0765,115.000
5.1416,154.000
5.2067,136.273
5.2718,154.000
5.3369,116.200
5.4020,171.945
5.4671,133.436
5.5321,94.273
5.5972,115.000
5.6623,92.891
5.7274,92.200
5.7925,77.000
5.8576,77.000
5.9226,51.473
5.9877,50.764
6.0528,77.000
6.1179,65.655
6.1830,48.636
6.2481,67.073
6.3131,38.000
6.3782,77.000
6.4433,38.000
6.5084,38.000
6.5735,70.618
6.6386,77.000
6.7036,77.000
6.7687,77.000
6.8338,41.545
6.8989,77.000
6.9640,74.873
7.0291,77.000
7.0941,38.000
7.1592,38.000
7.2243,38.000
7.2894,75.582
7.3545,77.000
7.4196,74.164
7.4847,77.000
7.5497,77.000
7.6148,72.036
7.6799,43.673
7.7450,44.382
7.8101,45.091
7.8752,69.200
7.9402,38.000
8.0053,67.782
8.0704,67.073
8.1355,48.636
8.2006,38.000
8.2657,38.000
8.3307,64.236
8.3958,51.473
8.4609,62.818
8.5260,77.000
8.5911,61.400
8.6562,38.000
8.7212,55.018
8.7863,38.000
8.8514,38.000
8.9165,38.000
8.9816,38.000
9.0467,56.436
9.1118,77.000
9.1768,77.000
9.2419,38.000
9.3070,77.000
9.3721,77.000
9.4372,52.182
9.5023,38.000
9.5673,77.000
9.6324,77.000
9.6975,77.000
9.7626,38.000
9.8277,77.000
9.8928,38.000
9.9578,38.000
10.0229,69.200
10.0880,83.909
10.1531,44.382
10.2182,43.673
10.2833,77.000
10.3483,38.000
10.4134,38.000
10.4785,77.000
10.5436,38.000
10.6087,77.000
10.6738,113.600
10.7388,77.000
