X,Y
0.0000,38.0000
0.0651,38.0000
0.1302,38.0000
0.1953,38.0000
0.2603,38.0000
0.3254,38.0000
0.3905,38.0000
0.4556,38.0000
0.5207,38.0000
0.5858,38.0000
0.6508,38.0000
0.7159,38.0000
0.7810,38.0000
0.8461,38.0000
0.9112,38.0000
0.9763,38.0000
1.0413,77.0000
1.1064,38.0000
1.1715,38.0000
1.2366,38.0000
1.3017,38.0000
1.3668,38.0000
1.4318,38.0000
1.4969,38.0000
1.5620,38.0000
1.6271,38.0000
1.6922,65.9180
1.7573,38.0000
1.8224,38.0000
1.8874,38.0000
1.9525,38.0000
2.0176,38.0000
2.0827,38.0000
2.1478,38.0000
2.2129,38.0000
2.2779,38.0000
2.3430,38.0000
2.4081,38.0000
2.4732,38.0000
2.5383,38.0000
2.6034,55.0492
2.6684,38.0000
2.7335,38.0000
2.7986,38.0000
2.8637,38.0000
2.9288,57.1803
2.9939,38.0000
3.0589,19.5191
3.1240,38.0000
3.1891,38.0000
3.2542,55.6885
3.3193,38.0000
3.3844,54.8361
3.4494,38.0000
3.5145,22.4262
3.5796,38.0000
3.6447,38.0000
3.7098,38.0000
3.7749,38.0000
3.8400,38.0000
3.9050,38.0000
3.9701,38.0000
4.0352,38.0000
4.1003,38.0000
4.1654,38.0000
4.2305,49.2951
4.2955,10.5902
4.3606,38.0000
4.4257,38.0000
4.4908,38.0000
4.5559,38.0000
4.6210,38.0000
4.6860,38.0000
4.7511,38.0000
4.8162,38.0000
4.8813,38.0000
4.9464,38.0000
5.0115,38.0000
5.0765,38.0000
5.1416,38.0000
5.2067,42.9016
5.2718,38.0000
5.3369,38.0000
5.4020,38.0000
5.4671,38.0000
5.5321,38.0000
5.5972,38.0000
5.6623,39.9180
5.7274,38.0000
5.7925,38.0000
5.8576,38.0000
5.9226,38.0000
5.9877,76.7869
6.0528,38.0000
6.1179,38.0000
6.1830,38.0000
6.2481,75.0820
6.3131,38.0000
6.3782,38.0000
6.4433,38.0000
6.5084,38.0000
6.5735,72.9508
6.6386,38.0000
6.7036,38.0000
6.7687,38.0000
6.8338,38.0000
6.8989,38.0000
6.9640,38.0000
7.0291,38.0000
7.0941,38.0000
7.1592,38.0000
7.2243,38.0000
7.2894,46.7377
7.3545,38.0000
7.4196,38.0000
7.4847,38.0000
7.5497,48.4426
7.6148,38.0000
7.6799,38.0000
7.7450,38.0000
7.8101,38.0000
7.8752,38.0000
7.9402,38.0000
8.0053,38.0000
8.0704,38.0000
8.1355,52.2787
8.2006,38.0000
8.2657,38.0000
8.3307,38.0000
8.3958,38.0000
8.4609,54.4098
8.5260,38.0000
8.5911,38.0000
8.6562,38.0000
8.7212,38.0000
8.7863,38.0000
8.8514,38.0000
8.9165,38.0000
8.9816,38.0000
9.0467,38.0000
9.1118,38.0000
9.1768,38.0000
9.2419,38.0000
9.3070,38.0000
9.3721,38.0000
9.4372,38.0000
9.5023,69.1366
9.5673,38.0000
9.6324,38.0000
9.6975,38.0000
9.7626,38.0000
9.8277,38.0000
9.8928,63.7869
9.9578,38.0000
10.0229,38.0000
10.0880,38.0000
10.1531,38.0000
10.2182,38.0000
10.2833,38.0000
10.3483,38.0000
10.4134,38.0000
10.4785,38.0000
10.5436,46.9508
10.6087,38.0000
10.6738,46.0984
10.7388,38.0000
10.8039,38.0000
10.8690,38.0000
10.9341,38.0000
10.9992,38.0000
11.0643,43.5410
11.1294,38.0000
11.1944,72.3115
11.2595,38.0000
11.3246,38.0000
11.3897,38.0000
11.4548,38.0000
11.5199,38.0000
11.5849,38.0000
11.6500,38.0000
11.7151,39.2787
11.7802,38.0000
11.8453,38.0000
11.9104,38.0000
