X,Y
0.0000,38.0000
0.0651,38.0000
0.1302,38.0000
0.1953,38.0000
0.2603,38.0000
0.3254,66.6825
0.3905,38.0000
0.4556,38.0000
0.5207,38.0000
0.5858,38.0000
0.6508,56.3651
0.7159,60.6984
0.7810,38.0000
0.8461,38.0000
0.9112,38.0000
0.9763,38.0000
1.0413,38.0000
1.1064,38.0000
1.1715,38.0000
1.2366,38.0000
1.3017,38.0000
1.3668,38.0000
1.4318,38.0000
1.4969,38.0000
1.5620,38.0000
1.6271,38.0000
1.6922,38.0000
1.7573,54.7143
1.8224,38.0000
1.8874,38.0000
1.9525,38.0000
2.0176,38.0000
2.0827,49.9683
2.1478,47.9048
2.2129,38.0000
2.2779,38.0000
2.3430,38.0000
2.4081,39.6508
2.4732,76.5873
2.5383,38.0000
2.6034,38.0000
2.6684,70.3968
2.7335,38.0000
2.7986,38.0000
2.8637,38.0000
2.9288,38.0000
2.9939,60.0794
3.0589,38.0000
3.1240,38.0000
3.1891,38.0000
3.2542,38.0000
3.3193,38.0000
3.3844,38.0000
3.4494,38.0000
3.5145,43.5714
3.5796,41.5079
3.6447,38.0000
3.7098,38.0000
3.7749,38.0000
3.8400,38.0000
3.9050,38.0000
3.9701,38.0000
4.0352,38.0000
4.1003,38.0000
4.1654,38.0000
4.2305,55.1270
4.2955,38.0000
4.3606,38.0000
4.4257,77.0000
4.4908,38.0000
4.5559,38.0000
4.6210,38.0000
4.6860,38.0000
4.7511,38.0000
4.8162,38.0000
4.8813,38.0000
4.9464,76.1746
5.0115,38.0000
5.0765,38.0000
5.1416,38.0000
5.2067,38.0000
5.2718,38.0000
5.3369,38.0000
5.4020,38.0000
5.4671,55.3333
5.5321,38.0000
5.5972,38.0000
5.6623,38.0000
5.7274,38.0000
5.7925,38.0000
5.8576,38.0000
5.9226,38.0000
5.9877,71.8413
6.0528,38.0000
6.1179,75.9683
6.1830,39.0317
6.2481,38.0000
6.3131,77.0000
6.3782,38.0000
6.4433,77.0000
6.5084,38.0000
6.5735,77.0000
6.6386,38.0000
6.7036,59.4603
6.7687,38.0000
6.8338,38.0000
6.8989,38.0000
6.9640,63.7937
7.0291,65.8571
7.0941,77.0000
7.1592,38.0000
7.2243,42.9524
7.2894,77.0000
7.3545,38.8254
7.4196,38.0000
7.4847,77.0000
7.5497,38.0000
7.6148,45.4286
7.6799,47.4921
7.7450,65.4444
7.8101,38.0000
7.8752,61.3175
7.9402,59.2540
8.0053,57.1905
8.0704,55.1270
8.1355,61.9365
8.2006,64.0000
8.2657,48.9365
8.3307,38.0000
8.3958,38.0000
8.4609,38.0000
8.5260,38.0000
8.5911,38.0000
8.6562,38.0000
8.7212,73.4921
8.7863,38.0000
8.8514,38.0000
8.9165,77.0000
8.9816,38.0000
9.0467,63.1746
9.1118,38.0000
9.1768,38.0000
9.2419,56.9841
9.3070,38.0000
9.3721,38.0000
9.4372,50.7937
9.5023,48.7302
9.5673,46.6667
9.6324,70.3968
9.6975,38.0000
9.7626,38.0000
9.8277,38.4127
9.8928,38.0000
9.9578,77.0000
10.0229,103.5926
10.0880,77.0000
10.1531,77.0000
10.2182,49.9683
10.2833,38.0000
10.3483,77.0000
10.4134,58.8413
10.4785,38.0000
10.5436,93.2857
10.6087,38.0000
10.6738,38.0000
10.7388,66.4762
10.8039,68.5397
10.8690,70.6032
10.9341,42.3333
10.9992,74.7302
11.0643,38.0000
11.1294,77.0000
11.1944,38.0000
11.2595,38.0000
11.3246,46.0476
11.3897,77.0000
11.4548,38.0000
11.5199,52.2381
11.5849,38.0000
11.6500,58.6349
11.7151,38.0000
11.7802,38.0000
11.8453,52.4444
11.9104,64.6190
11.9754,77.0000
12.0405,46.2540
12.1056,77.0000
12.1707,38.0000
12.2358,38.0000
12.3009,77.0000
