X,Y
0.0000,77.0000
0.0651,40.1402
0.1302,77.0000
0.1953,70.5793
0.2603,68.4390
0.3254,38.0000
0.3905,102.4878
0.4556,91.5976
0.5207,77.0000
0.5858,95.7683
0.6508,97.8537
0.7159,53.4573
0.7810,89.9756
0.8461,38.0000
0.9112,47.0366
0.9763,77.0000
1.0413,72.2439
1.1064,40.6159
1.1715,77.0000
1.2366,77.0000
1.3017,107.4878
1.3668,77.0000
1.4318,46.0854
1.4969,66.7744
1.5620,50.3659
1.6271,77.0000
1.6922,60.3537
1.7573,77.0000
1.8224,38.0000
1.8874,61.0671
1.9525,77.0000
2.0176,77.0000
2.0827,47.5122
2.1478,38.0000
2.2129,43.2317
2.2779,77.0000
2.3430,76.0488
2.4081,78.1585
2.4732,38.0000
2.5383,71.5305
2.6034,77.0000
2.6684,47.7500
2.7335,65.1098
2.7986,52.0305
2.8637,38.0000
2.9288,38.0000
2.9939,95.0732
3.0589,77.0000
3.1240,52.2683
3.1891,64.8719
3.2542,47.9878
3.3193,38.0000
3.3844,43.7073
3.4494,41.5671
3.5145,75.5732
3.5796,38.7134
3.6447,40.8537
3.7098,42.9939
3.7749,38.0000
3.8400,77.0000
3.9050,38.0000
3.9701,51.5549
4.0352,77.0000
4.1003,77.0000
4.1654,57.0244
4.2305,71.3354
4.2955,52.7439
4.3606,77.0000
4.4257,77.0000
4.4908,46.3232
4.5559,38.0000
4.6210,42.0427
4.6860,75.0976
4.7511,76.7622
4.8162,74.6219
4.8813,77.0000
4.9464,44.6585
5.0115,46.7988
5.0765,66.0610
5.1416,63.9207
5.2067,77.0000
5.2718,72.2744
5.3369,57.5000
5.4020,38.0000
5.4671,53.2195
5.5321,63.9207
5.5972,48.9390
5.6623,68.2012
5.7274,38.0000
5.7925,38.0000
5.8576,40.3780
5.9226,77.0000
5.9877,39.9024
6.0528,45.9817
6.1179,102.7927
6.1830,46.3232
6.2481,38.0000
6.3131,50.6037
6.3782,77.0000
6.4433,77.0000
6.5084,57.9756
6.5735,38.0000
6.6386,53.6951
6.7036,63.4451
6.7687,77.0000
6.8338,67.7256
6.8989,69.8659
6.9640,38.0000
7.0291,77.0000
7.0941,38.0000
7.1592,38.0000
7.2243,41.5671
7.2894,43.7073
7.3545,45.8476
7.4196,77.0000
7.4847,77.0000
7.5497,62.7317
7.6148,38.0000
7.6799,56.5488
7.7450,56.3110
7.8101,60.8293
7.8752,77.0000
7.9402,49.8902
8.0053,77.0000
8.0704,38.0000
8.1355,71.5305
8.2006,73.6707
8.2657,38.0000
8.3307,38.9512
8.3958,73.9085
8.4609,71.7683
8.5260,38.0000
8.5911,38.0000
8.6562,49.6524
8.7212,77.0000
8.7863,61.0671
8.8514,56.0732
8.9165,56.7866
8.9816,54.6463
9.0467,62.4939
9.1118,50.3659
9.1768,66.7744
9.2419,46.0854
9.3070,43.9451
9.3721,41.8049
9.4372,38.0000
9.5023,38.0000
9.5673,77.0000
9.6324,77.0000
9.6975,38.0000
9.7626,77.0000
9.8277,65.8232
9.8928,77.0000
9.9578,77.0000
10.0229,115.0000
10.0880,38.0000
10.1531,59.8780
10.2182,52.9817
10.2833,64.1585
10.3483,38.0000
10.4134,77.0000
10.4785,44.4207
10.5436,72.7195
10.6087,38.0000
10.6738,38.0000
