X,Y
0.0000,77.0000
0.0651,86.3621
0.1302,77.0000
0.1953,77.0000
0.2603,77.0000
0.3254,63.7162
0.3905,55.8977
0.4556,79.4130
0.5207,77.0000
0.5858,77.1587
0.6508,77.0000
0.7159,79.2029
0.7810,110.9124
0.8461,88.9476
0.9112,58.7208
0.9763,82.1441
1.0413,110.3537
1.1064,101.3930
1.1715,76.3485
1.2366,79.7652
1.3017,97.5242
1.3668,54.7115
1.4318,72.9488
1.4969,77.0000
1.5620,77.0000
1.6271,77.0000
1.6922,77.0000
1.7573,83.2527
1.8224,109.1989
1.8874,77.0000
1.9525,77.0000
2.0176,77.0000
2.0827,84.1536
2.1478,77.9087
2.2129,97.6779
2.2779,77.4087
2.3430,77.0000
2.4081,77.0000
2.4732,77.0000
2.5383,77.0000
2.6034,57.3710
2.6684,55.0306
2.7335,70.4443
2.7986,67.2710
2.8637,92.1997
2.9288,91.4215
2.9939,82.8743
3.0589,69.8150
3.1240,89.9650
3.1891,77.0000
3.2542,78.8195
3.3193,107.2632
3.3844,86.7904
3.4494,82.3811
3.5145,108.6875
3.5796,54.4765
3.6447,57.9786
3.7098,52.4804
3.7749,77.0000
3.8400,77.0000
3.9050,59.2482
3.9701,70.1699
4.0352,77.0000
4.1003,77.0000
4.1654,81.6630
4.2305,81.1188
4.2955,111.1993
4.3606,100.7785
4.4257,68.8137
4.4908,73.0830
4.5559,47.0262
4.6210,58.5244
4.6860,42.0873
4.7511,65.7117
4.8162,56.6288
4.8813,53.4844
4.9464,71.9555
5.0115,77.0000
5.0765,77.0000
5.1416,57.2981
5.2067,38.0000
5.2718,38.6024
5.3369,64.7729
5.4020,78.8660
5.4671,53.3186
5.5321,49.2707
5.5972,73.6802
5.6623,74.1100
5.7274,56.1558
5.7925,74.2751
5.8576,48.5136
5.9226,73.5106
5.9877,77.9023
6.0528,39.3253
6.1179,43.9904
6.1830,46.7548
6.2481,41.9981
6.3131,38.2752
6.3782,57.9704
6.4433,54.4713
6.5084,43.5963
6.5735,38.0000
6.6386,39.6183
6.7036,41.3109
6.7687,64.8088
6.8338,107.5052
6.8989,74.2917
6.9640,74.9333
7.0291,49.8723
7.0941,76.4348
7.1592,63.9735
7.2243,63.8634
7.2894,65.6951
7.3545,59.6385
7.4196,72.9305
7.4847,44.4716
7.5497,57.5658
7.6148,42.6630
7.6799,41.7698
7.7450,51.2838
7.8101,79.0369
7.8752,54.8027
7.9402,46.6142
8.0053,52.7445
8.0704,45.3797
8.1355,53.0241
8.2006,38.0000
8.2657,38.0000
8.3307,38.0000
8.3958,38.0000
8.4609,38.0000
8.5260,53.3498
8.5911,38.2752
8.6562,62.6133
8.7212,56.3930
8.7863,43.9904
8.8514,39.3253
8.9165,38.0000
8.9816,59.7158
9.0467,70.6362
9.1118,39.2613
9.1768,38.0000
9.2419,52.1302
9.3070,59.2019
9.3721,66.5504
9.4372,39.7075
9.5023,52.9869
9.5673,65.8297
9.6324,68.4974
9.6975,44.8174
9.7626,43.5033
9.8277,41.3213
9.8928,70.6987
9.9578,54.3493
10.0229,38.0000
10.0880,39.4279
10.1531,64.0538
10.2182,80.0140
10.2833,77.3284
10.3483,38.0000
10.4134,38.0000
10.4785,57.3963
10.5436,38.0000
10.6087,38.1703
10.6738,56.1134
10.7388,42.5812
10.8039,65.2251
10.8690,60.9132
10.9341,67.4629
10.9992,39.8444
11.0643,60.6507
11.1294,67.2926
11.1944,41.2358
11.2595,47.7662
11.3246,63.8448
11.3897,71.0638
11.4548,43.5227
11.5199,44.0551
11.5849,38.0000
11.6500,58.4307
11.7151,73.1625
11.7802,76.0005
11.8453,51.9576
11.9104,39.5424
11.9754,59.6444
12.0405,48.2868
12.1056,40.2355
12.1707,39.9574
12.2358,56.9716
12.3009,54.0913
12.3659,41.8746
12.4310,54.9778
12.4961,43.8068
12.5612,74.9563
12.6263,76.7382
12.6914,65.9301
12.7565,57.5770
12.8215,49.1933
12.8866,38.1473
12.9517,65.1991
13.0168,52.6463
13.0819,46.3450
13.1470,75.2969
13.2120,59.4964
13.2771,53.3260
13.3422,38.0000
13.4073,60.8611
13.4724,54.8945
13.5375,75.8079
13.6025,53.7752
13.6676,62.2407
13.7327,62.5835
13.7978,46.6596
13.8629,48.6132
13.9280,43.1642
13.9930,53.2993
14.0581,67.6592
14.1232,72.8048
14.1883,61.4256
14.2534,49.2536
14.3185,50.2694
14.3835,76.1775
14.4486,64.3974
14.5137,38.1547
14.5788,41.8285
14.6439,38.0000
14.7090,38.0000
14.7741,51.3389
14.8391,67.3915
14.9042,77.0000
