X,Y
0.0000,22.0000
0.0651,44.6920
0.1302,22.0000
0.1953,67.0759
0.2603,43.7679
0.3254,45.0000
0.3905,22.0000
0.4556,22.0000
0.5207,22.0000
0.5858,42.2277
0.6508,45.0000
0.7159,22.0000
0.7810,41.3036
0.8461,26.0045
0.9112,40.6875
0.9763,40.3795
1.0413,40.0714
1.1064,27.2366
1.1715,45.0000
1.2366,45.0000
1.3017,45.0000
1.3668,38.5312
1.4318,22.0000
1.4969,45.0000
1.5620,60.6071
1.6271,29.7009
1.6922,36.9911
1.7573,22.0000
1.8224,30.6250
1.8874,36.0670
1.9525,49.5179
2.0176,31.5491
2.0827,31.8571
2.1478,32.1652
2.2129,42.9464
2.2779,45.0000
2.3430,45.0000
2.4081,33.3973
2.4732,45.0000
2.5383,34.0134
2.6034,32.6786
2.6684,45.0000
2.7335,32.0625
2.7986,35.2455
2.8637,45.0000
2.9288,35.8616
2.9939,36.1696
3.0589,45.0000
3.1240,45.0000
3.1891,37.0938
3.2542,29.5982
3.3193,52.2902
3.3844,22.0000
3.4494,38.3259
3.5145,22.0000
3.5796,45.0000
3.6447,22.0000
3.7098,45.0000
3.7749,39.8661
3.8400,40.1741
3.9050,26.5179
3.9701,45.0000
4.0352,45.0000
4.1003,41.4062
4.1654,41.7143
4.2305,24.9777
4.2955,45.0000
4.3606,24.3616
4.4257,45.0000
4.4908,23.7455
4.5559,65.1250
4.6210,45.0000
4.6860,44.1786
4.7511,45.5134
4.8162,22.2054
4.8813,45.0000
4.9464,45.0000
5.0115,45.0000
5.0765,45.0000
5.1416,45.0000
5.2067,23.6429
5.2718,45.0000
5.3369,45.0000
5.4020,45.0000
5.4671,45.0000
5.5321,45.0000
5.5972,25.4911
5.6623,25.7991
5.7274,45.0000
5.7925,82.1696
5.8576,40.2768
5.9226,45.0000
5.9877,50.3393
6.0528,45.0000
6.1179,62.0446
6.1830,61.7366
6.2481,45.0000
6.3131,45.0000
6.3782,53.6250
6.4433,45.0000
6.5084,60.6071
6.5735,30.1116
6.6386,45.0000
6.7036,45.0000
6.7687,45.0000
6.8338,45.0000
6.8989,54.6518
6.9640,54.9598
7.0291,57.7321
7.0941,57.4241
7.1592,68.0000
7.2243,68.0000
7.2894,68.0000
7.3545,56.1920
7.4196,77.6518
7.4847,80.4241
7.5497,80.7321
7.6148,58.0402
7.6799,77.6518
7.7450,82.3750
7.8101,45.0000
7.8752,96.5446
7.9402,61.8393
8.0053,53.1116
8.0704,52.8036
8.1355,45.0000
8.2006,60.8125
8.2657,51.8795
8.3307,51.5714
8.3958,45.0000
8.4609,50.9554
8.5260,45.0000
8.5911,50.3393
8.6562,45.0000
8.7212,45.0000
8.7863,49.4152
8.8514,63.8929
8.9165,48.7991
8.9816,84.0179
9.0467,45.0000
9.1118,45.0000
9.1768,65.4330
9.2419,45.0000
9.3070,23.9509
9.3721,45.0000
9.4372,45.0000
9.5023,45.0000
9.5673,45.0000
9.6324,45.0000
9.6975,45.0000
9.7626,45.0000
9.8277,45.0000
9.8928,45.0000
9.9578,46.1295
10.0229,45.0000
10.0880,45.0000
10.1531,45.0000
10.2182,47.3616
10.2833,42.3304
10.3483,47.9777
10.4134,45.0000
10.4785,45.0000
10.5436,45.0000
10.6087,45.0000
10.6738,63.4821
10.7388,45.0000
10.8039,68.0000
10.8690,62.5580
10.9341,45.0000
10.9992,51.0580
11.0643,45.0000
11.1294,45.0000
11.1944,45.0000
11.2595,60.7098
11.3246,52.5982
11.3897,60.0938
11.4548,68.0000
11.5199,53.5223
11.5849,53.8304
11.6500,54.1384
11.7151,45.0000
11.7802,64.5089
11.8453,45.0000
11.9104,45.0000
11.9754,45.0000
12.0405,45.0000
12.1056,56.7054
12.1707,68.0000
12.2358,56.0893
12.3009,57.2188
12.3659,57.5268
12.4310,55.1652
12.4961,68.0000
12.5612,45.0000
12.6263,45.0000
12.6914,45.0000
12.7565,68.0000
12.8215,53.3170
12.8866,45.0000
12.9517,68.0000
13.0168,52.3929
13.0819,59.1696
13.1470,68.0000
13.2120,74.4688
13.2771,45.0000
13.3422,45.0000
13.4073,50.5446
13.4724,62.7634
13.5375,45.0000
13.6025,63.3795
13.6676,63.6875
13.7327,45.0000
13.7978,45.0000
13.8629,64.6116
13.9280,68.0000
13.9930,47.7723
14.0581,45.0000
14.1232,65.8438
14.1883,45.0000
14.2534,45.0000
14.3185,45.0000
14.3836,67.0759
14.4486,45.6161
14.5137,67.6920
14.5788,45.0000
