X,Y
0.0000,77.000
0.0651,78.080
0.1302,126.290
0.1953,117.702
0.2603,95.714
0.3254,144.768
0.3905,136.234
0.4556,103.545
0.5207,77.806
0.5858,114.612
0.6508,130.408
0.7159,88.239
0.7810,112.145
0.8461,111.181
0.9112,125.183
0.9763,118.329
1.0413,84.593
1.1064,120.924
1.1715,112.725
1.2366,108.889
1.3017,95.978
1.3668,126.631
1.4318,133.191
1.4969,104.879
1.5620,77.328
1.6271,93.724
1.6922,85.552
1.7573,113.663
1.8224,81.201
1.8874,74.766
1.9525,96.466
2.0176,81.050
2.0827,57.745
2.1478,74.399
2.2129,77.000
2.2779,88.123
2.3430,88.718
2.4081,85.020
2.4732,99.281
2.5383,77.000
2.6034,79.821
2.6684,97.486
2.7335,104.359
2.7986,86.166
2.8637,77.000
2.9288,77.000
2.9939,77.000
3.0589,77.000
3.1240,77.000
3.1891,77.000
3.2542,77.000
3.3193,84.093
3.3844,77.000
3.4494,77.000
3.5145,89.426
3.5796,104.688
3.6447,84.515
3.7098,77.000
3.7749,73.553
3.8400,81.014
3.9050,84.019
3.9701,77.228
4.0352,97.478
4.1003,112.936
4.1654,80.777
4.2305,77.000
4.2955,77.120
4.3606,86.068
4.4257,100.869
4.4908,146.004
4.5559,132.440
4.6210,106.718
4.6860,120.281
4.7511,124.553
4.8162,115.000
4.8813,131.707
4.9464,125.139
5.0115,137.277
5.0765,181.217
5.1416,152.635
5.2067,121.878
5.2718,152.056
5.3369,122.055
5.4020,144.005
5.4671,145.520
5.5321,116.372
5.5972,142.938
5.6623,170.804
5.7274,167.603
5.7925,128.741
5.8576,148.469
5.9226,163.681
5.9877,155.672
6.0528,189.728
6.1179,135.427
6.1830,146.357
6.2481,117.294
6.3131,135.245
6.3782,152.438
6.4433,113.346
6.5084,121.047
6.5735,137.348
6.6386,108.396
6.7036,102.398
6.7687,93.205
6.8338,108.939
6.8989,113.110
6.9640,115.000
7.0291,138.577
7.0941,92.961
7.1592,77.000
7.2243,101.060
7.2894,115.000
7.3545,115.000
7.4196,116.102
7.4847,123.515
7.5497,130.345
7.6148,150.276
7.6799,137.245
7.7450,177.447
7.8101,89.229
7.8752,126.796
7.9402,147.125
8.0053,97.894
8.0704,95.213
8.1355,133.273
8.2006,134.990
8.2657,118.031
8.3307,112.367
8.3958,121.941
8.4609,84.638
8.5260,97.871
8.5911,78.910
8.6562,118.822
8.7212,82.789
8.7863,80.777
8.8514,98.160
8.9165,90.940
8.9816,77.228
9.0467,111.765
9.1118,127.452
9.1768,130.909
9.2419,134.221
9.3070,143.081
9.3721,116.542
9.4372,140.281
9.5023,153.995
9.5673,118.136
9.6324,122.280
9.6975,95.006
9.7626,103.609
9.8277,115.868
9.8928,132.078
9.9578,166.075
10.0229,160.890
10.0880,117.179
10.1531,98.204
10.2182,115.000
10.2833,116.595
10.3483,117.895
10.4134,114.309
10.4785,92.719
10.5436,79.101
10.6087,108.819
10.6738,115.000
10.7388,97.590
10.8039,96.060
10.8690,80.261
10.9341,98.001
10.9992,158.467
11.0643,135.771
11.1294,94.438
11.1944,83.448
11.2595,91.855
11.3246,96.329
11.3897,105.254
11.4548,90.566
11.5199,94.724
11.5849,91.998
11.6500,85.651
11.7151,77.000
11.7802,87.628
11.8453,88.115
11.9104,77.000
11.9754,77.000
12.0405,79.101
12.1056,110.494
12.1707,78.896
12.2358,77.000
12.3009,77.000
12.3659,77.000
12.4310,77.000
12.4961,77.000
12.5612,72.391
12.6263,77.000
12.6914,77.000
12.7565,77.000
12.8215,77.000
12.8866,80.972
12.9517,115.000
