X,Y
0.0000,77.000
0.0651,81.199
0.1302,106.321
0.1953,77.422
0.2603,77.000
0.3254,113.944
0.3905,115.000
0.4556,115.000
0.5207,115.000
0.5858,78.900
0.6508,81.463
0.7159,105.265
0.7810,126.289
0.8461,116.252
0.9112,79.956
0.9763,124.056
1.0413,82.323
1.1064,84.748
1.1715,77.000
1.2366,80.777
1.3017,85.444
1.3668,112.044
1.4318,134.019
1.4969,102.484
1.5620,113.311
1.6271,166.571
1.6922,95.988
1.7573,109.300
1.8224,115.000
1.8874,115.000
1.9525,115.000
2.0176,129.348
2.0827,115.746
2.1478,81.706
2.2129,114.852
2.2779,85.231
2.3430,107.400
2.4081,115.000
2.4732,145.767
2.5383,143.817
2.6034,90.259
2.6684,106.344
2.7335,144.900
2.7986,147.404
2.8637,97.953
2.9288,105.500
2.9939,121.369
3.0589,141.881
3.1240,121.933
3.1891,115.000
3.2542,115.000
3.3193,96.844
3.3844,112.625
3.4494,116.276
3.5145,115.000
3.5796,139.074
3.6447,124.437
3.7098,124.111
3.7749,116.540
3.8400,126.652
3.9050,119.333
3.9701,115.000
4.0352,112.232
4.1003,140.350
4.1654,146.946
4.2305,161.167
4.2955,133.822
4.3606,139.483
4.4257,151.027
4.4908,156.700
4.5559,138.747
4.6210,142.883
4.6860,176.800
4.7511,189.490
4.8162,183.556
4.8813,171.944
4.9464,151.116
5.0115,178.874
5.0765,181.733
5.1416,158.738
5.2067,180.877
5.2718,171.100
5.3369,154.000
5.4020,205.554
5.4671,238.467
5.5321,243.667
5.5972,233.415
5.6623,215.417
5.7274,214.348
5.7925,228.857
5.8576,243.000
5.9226,255.000
5.9877,245.874
6.0528,226.433
6.1179,225.256
6.1830,242.333
6.2481,213.622
6.3131,192.872
6.3782,222.444
6.4433,178.800
6.5084,132.815
6.5735,122.852
6.6386,119.278
6.7036,118.367
6.7687,89.198
6.8338,87.556
6.8989,94.405
6.9640,77.000
7.0291,92.200
7.0941,110.778
7.1592,106.556
7.2243,92.622
7.2894,93.160
7.3545,106.342
7.4196,93.044
7.4847,77.000
7.5497,77.000
7.6148,90.300
7.6799,94.810
7.7450,71.270
7.8101,81.222
7.8752,95.273
7.9402,93.889
8.0053,85.656
8.0704,67.563
8.1355,54.216
8.2006,77.000
8.2657,66.793
8.3307,55.430
8.3958,77.000
8.4609,72.185
8.5260,55.333
8.5911,57.933
8.6562,79.205
8.7212,79.036
8.7863,77.000
8.8514,77.000
8.9165,74.930
8.9816,67.033
9.0467,77.000
9.1118,77.000
9.1768,77.000
9.2419,68.767
9.3070,46.017
9.3721,77.000
9.4372,70.259
9.5023,53.991
9.5673,87.344
9.6324,77.000
9.6975,77.000
9.7626,77.000
9.8277,77.000
9.8928,76.326
9.9578,71.150
10.0229,57.227
10.0880,128.571
10.1531,77.000
10.2182,74.785
10.2833,57.981
10.3483,77.000
10.4134,77.000
10.4785,73.341
10.5436,41.900
10.6087,73.076
10.6738,77.000
10.7388,78.028
10.8039,78.799
10.8690,60.919
10.9341,78.689
10.9992,104.220
11.0643,72.907
11.1294,75.050
11.1944,39.733
11.2595,77.000
11.3246,76.567
11.3897,60.617
11.4548,97.642
11.5199,77.211
11.5849,85.679
11.6500,110.590
11.7151,77.000
