X,Y
0.0000,38.000
0.0651,78.200
0.1302,146.674
0.1953,77.000
0.2603,42.926
0.3254,44.158
0.3905,52.589
0.4556,38.000
0.5207,77.000
0.5858,77.000
0.6508,64.684
0.7159,77.000
0.7810,62.221
0.8461,60.989
0.9112,55.242
0.9763,38.000
1.0413,77.000
1.1064,77.000
1.1715,60.168
1.2366,53.600
1.3017,66.368
1.3668,77.000
1.4318,38.000
1.4969,77.000
1.5620,67.558
1.6271,77.000
1.6922,38.000
1.7573,71.253
1.8224,38.000
1.8874,41.284
1.9525,77.000
2.0176,77.000
2.0827,38.411
2.1478,77.000
2.2129,40.874
2.2779,72.895
2.3430,77.000
2.4081,70.432
2.4732,77.000
2.5383,38.000
2.6034,48.263
2.6684,77.000
2.7335,77.000
2.7986,63.042
2.8637,61.811
2.9288,77.000
2.9939,55.653
3.0589,38.000
3.1240,75.284
3.1891,59.347
3.2542,77.000
3.3193,77.000
3.3844,63.042
3.4494,50.726
3.5145,77.000
3.5796,48.263
3.6447,67.968
3.7098,45.800
3.7749,44.568
3.8400,43.337
3.9050,42.105
3.9701,38.000
4.0352,38.000
4.1003,76.589
4.1654,76.179
4.2305,77.000
4.2955,73.716
4.3606,77.000
4.4257,77.000
4.4908,70.021
4.5559,68.789
4.6210,67.558
4.6860,77.000
4.7511,77.000
4.8162,77.000
4.8813,77.000
4.9464,77.000
5.0115,93.400
5.0765,97.400
5.1416,95.800
5.2067,77.000
5.2718,77.000
5.3369,38.000
5.4020,62.221
5.4671,77.000
5.5321,77.000
5.5972,93.116
5.6623,86.600
5.7274,106.600
5.7925,122.389
5.8576,77.000
5.9226,110.200
5.9877,115.000
6.0528,81.863
6.1179,115.000
6.1830,115.000
6.2481,154.000
6.3131,115.000
6.3782,154.000
6.4433,81.800
6.5084,109.000
6.5735,115.000
6.6386,85.400
6.7036,124.853
6.7687,115.000
6.8338,127.316
6.8989,115.000
6.9640,91.400
7.0291,115.000
7.0941,77.000
7.1592,77.000
7.2243,77.000
7.2894,77.000
7.3545,77.000
7.4196,77.000
7.4847,62.632
7.5497,89.063
7.6148,65.095
7.6799,48.674
7.7450,77.000
7.8101,68.789
7.8752,70.021
7.9402,38.000
8.0053,72.484
8.0704,77.000
8.1355,74.947
8.2006,38.821
8.2657,38.000
8.3307,78.600
8.3958,77.000
8.4609,81.000
8.5260,43.337
8.5911,38.000
8.6562,45.800
8.7212,67.968
8.7863,66.737
8.8514,38.000
8.9165,50.726
8.9816,77.000
9.0467,53.189
9.1118,54.421
9.1768,59.347
9.2419,77.000
9.3070,77.000
9.3721,38.000
9.4372,60.579
9.5023,61.811
9.5673,63.042
9.6324,38.000
9.6975,65.505
9.7626,77.000
9.8277,77.000
9.8928,38.000
9.9578,44.568
10.0229,71.663
10.0880,42.105
10.1531,38.000
10.2182,75.358
10.2833,77.000
10.3483,38.000
10.4134,77.000
10.4785,77.000
10.5436,77.000
10.6087,38.000
10.6738,77.000
10.7388,77.000
10.8039,47.442
10.8690,77.000
10.9341,65.095
10.9992,63.863
11.0643,77.000
11.1294,77.000
11.1944,77.000
11.2595,73.663
11.3246,96.200
11.3897,77.000
11.4548,77.000
11.5199,60.989
11.5849,115.000
11.6500,63.453
11.7151,77.000
11.7802,49.084
11.8453,77.000
11.9104,46.621
11.9754,45.389
12.0405,70.842
12.1056,42.926
12.1707,41.695
12.2358,40.463
12.3009,78.200
12.3659,77.000
