X,Y
0.0000,115.000
0.0651,113.895
0.1302,79.209
0.1953,115.000
0.2603,81.419
0.3254,82.523
0.3905,77.000
0.4556,77.000
0.5207,77.000
0.5858,86.942
0.6508,77.000
0.7159,102.849
0.7810,103.860
0.8461,91.360
0.9112,77.000
0.9763,110.576
1.0413,94.674
1.1064,95.779
1.1715,115.000
1.2366,115.000
1.3017,77.000
1.3668,91.802
1.4318,101.302
1.4969,77.000
1.5620,77.000
1.6271,115.000
1.6922,77.000
1.7573,106.826
1.8224,115.000
1.8874,82.965
1.9525,86.849
2.0176,77.000
2.0827,77.000
2.1478,115.000
2.2129,153.105
2.2779,115.000
2.3430,113.233
2.4081,115.000
2.4732,85.058
2.5383,77.000
2.6034,83.186
2.6684,107.709
2.7335,106.605
2.7986,77.000
2.8637,115.000
2.9288,115.000
2.9939,89.814
3.0589,77.000
3.1240,115.000
3.1891,115.000
3.2542,111.919
3.3193,96.663
3.3844,115.000
3.4494,97.547
3.5145,115.000
3.5796,92.244
3.6447,115.000
3.7098,115.000
3.7749,141.756
3.8400,115.000
3.9050,105.279
3.9701,115.000
4.0352,146.291
4.1003,115.000
4.1654,125.884
4.2305,184.384
4.2955,157.174
4.3606,151.959
4.4257,115.907
4.4908,115.000
4.5559,152.640
4.6210,122.419
4.6860,80.535
4.7511,119.762
4.8162,115.000
4.8813,154.000
4.9464,131.326
5.0115,172.355
5.0765,143.570
5.1416,154.000
5.2067,180.302
5.2718,203.692
5.3369,255.000
5.4020,170.099
5.4671,175.767
5.5321,207.436
5.5972,193.000
5.6623,154.000
5.7274,255.000
5.7925,229.407
5.8576,207.581
5.9226,193.000
5.9877,167.605
6.0528,126.564
6.1179,115.000
6.1830,86.058
6.2481,77.000
6.3131,77.000
6.3782,77.000
6.4433,47.401
6.5084,41.628
6.5735,112.570
6.6386,77.000
6.7036,77.000
6.7687,77.000
6.8338,77.000
6.8989,77.000
6.9640,42.308
7.0291,77.000
7.0941,77.000
7.1592,45.709
7.2243,68.157
7.2894,105.279
7.3545,38.000
7.4196,50.244
7.4847,77.000
7.5497,77.000
7.6148,77.000
7.6799,77.000
7.7450,77.000
7.8101,57.047
7.8752,77.000
7.9402,55.686
8.0053,77.000
8.0704,77.000
8.1355,52.285
8.2006,77.000
8.2657,64.983
8.3307,77.000
8.3958,47.750
8.4609,55.012
8.5260,52.773
8.5911,70.651
8.6562,77.000
8.7212,111.023
8.7863,40.948
8.8514,113.233
8.9165,77.000
8.9816,38.453
9.0467,39.587
9.1118,112.349
9.1768,41.855
9.2419,47.849
9.3070,77.000
9.3721,77.000
9.4372,77.000
9.5023,47.523
9.5673,77.000
9.6324,77.000
9.6975,50.924
9.7626,77.000
9.8277,53.192
9.8928,77.000
9.9578,55.459
10.0229,77.000
10.0880,77.000
10.1531,77.000
10.2182,59.994
10.2833,77.000
10.3483,52.738
10.4134,51.605
10.4785,77.000
10.5436,49.337
10.6087,77.000
10.6738,77.000
10.7388,69.064
10.8039,70.198
10.8690,71.331
10.9341,110.581
10.9992,77.000
11.0643,74.733
11.1294,78.105
11.1944,115.000
