X,Y
0.0000,77.000
0.0651,92.782
0.1302,77.000
0.1953,80.515
0.2603,81.921
0.3254,93.216
0.3905,113.421
0.4556,90.022
0.5207,109.961
0.5858,77.000
0.6508,86.226
0.7159,94.299
0.7810,83.315
0.8461,111.560
0.9112,110.518
0.9763,98.997
1.0413,126.674
1.1064,90.267
1.1715,92.603
1.2366,114.312
1.3017,81.801
1.3668,77.000
1.4318,77.000
1.4969,77.000
1.5620,87.121
1.6271,77.000
1.6922,77.000
1.7573,77.000
1.8224,77.000
1.8874,81.750
1.9525,91.258
2.0176,77.000
2.0827,77.813
2.1478,100.079
2.2129,85.845
2.2779,77.000
2.3430,99.615
2.4081,78.157
2.4732,77.000
2.5383,77.000
2.6034,80.073
2.6684,77.000
2.7335,77.000
2.7986,89.082
2.8637,77.000
2.9288,77.000
2.9939,77.000
3.0589,71.610
3.1240,105.999
3.1891,92.888
3.2542,81.290
3.3193,113.198
3.3844,112.074
3.4494,87.087
3.5145,77.217
3.5796,77.000
3.6447,79.982
3.7098,96.713
3.7749,88.938
3.8400,109.799
3.9050,103.414
3.9701,169.293
4.0352,142.498
4.1003,77.000
4.1654,103.925
4.2305,107.624
4.2955,105.284
4.3606,134.585
4.4257,91.214
4.4908,77.000
4.5559,77.000
4.6210,77.000
4.6860,95.390
4.7511,77.736
4.8162,54.319
4.8813,97.670
4.9464,79.090
5.0115,80.440
5.0765,108.121
5.1416,112.554
5.2067,104.517
5.2718,77.000
5.3369,77.000
5.4020,92.486
5.4671,111.894
5.5321,106.128
5.5972,77.810
5.6623,85.906
5.7274,111.069
5.7925,83.388
5.8576,98.293
5.9226,110.979
5.9877,78.966
6.0528,105.009
6.1179,104.593
6.1830,111.482
6.2481,109.813
6.3131,101.930
6.3782,121.427
6.4433,87.932
6.5084,97.310
6.5735,98.004
6.6386,101.018
6.7036,99.232
6.7687,94.125
6.8338,113.526
6.8989,112.105
6.9640,114.293
7.0291,89.674
7.0941,119.213
7.1592,122.949
7.2243,108.009
7.2894,91.691
7.3545,88.562
7.4196,83.557
7.4847,137.904
7.5497,124.750
7.6148,106.319
7.6799,78.638
7.7450,83.648
7.8101,82.377
7.8752,77.000
7.9402,80.008
8.0053,72.350
8.0704,77.000
8.1355,77.000
8.2006,77.000
8.2657,77.000
8.3307,77.000
8.3958,77.000
8.4609,52.350
8.5260,72.085
8.5911,77.000
8.6562,71.801
8.7212,68.158
8.7863,77.000
8.8514,69.488
8.9165,69.951
8.9816,57.657
9.0467,69.690
9.1118,75.018
9.1768,77.000
9.2419,71.531
9.3070,44.832
9.3721,78.459
9.4372,52.625
9.5023,65.095
9.5673,59.964
9.6324,72.792
9.6975,77.000
9.7626,83.075
9.8277,77.494
9.8928,69.904
9.9578,61.860
10.0229,62.407
10.0880,77.000
10.1531,74.855
10.2182,68.439
10.2833,50.689
10.3483,45.653
10.4134,59.517
10.4785,77.000
10.5436,77.974
10.6087,84.106
10.6738,77.000
10.7388,76.380
10.8039,49.399
10.8690,83.085
10.9341,77.000
10.9992,73.540
11.0643,60.975
11.1294,73.707
11.1944,75.620
11.2595,76.525
11.3246,55.062
11.3897,75.685
11.4548,55.775
11.5199,49.935
11.5849,76.887
11.6500,87.087
11.7151,85.899
11.7802,71.395
11.8453,77.000
11.9104,72.010
11.9754,39.345
12.0405,67.754
12.1056,77.414
12.1707,72.147
12.2358,75.296
12.3009,70.316
12.3659,68.595
12.4310,46.561
12.4961,74.774
12.5612,72.663
12.6263,77.000
12.6914,77.645
12.7565,74.136
12.8215,76.746
12.8866,56.106
12.9517,75.487
13.0168,51.958
13.0819,71.424
13.1470,73.797
13.2120,72.125
13.2771,83.050
13.3422,76.859
13.4073,46.562
13.4724,49.247
13.5375,57.430
13.6025,52.284
13.6676,41.878
13.7327,72.450
13.7978,77.000
13.8629,77.000
13.9280,77.000
13.9930,68.607
14.0581,52.329
14.1232,77.000
14.1883,73.867
14.2534,77.000
14.3185,74.739
14.3835,77.000
14.4486,77.000
14.5137,88.124
14.5788,92.182
14.6439,77.000
14.7090,77.000
14.7741,77.000
14.8391,77.000
14.9042,77.000
14.9693,77.000
15.0344,94.649
15.0995,77.000
