X,Y
0.0000,77.000
0.0651,115.000
0.1302,183.064
0.1953,77.000
0.2603,115.000
0.3254,102.898
0.3905,91.522
0.4556,98.057
0.5207,77.000
0.5858,115.000
0.6508,101.204
0.7159,103.624
0.7810,135.854
0.8461,115.000
0.9112,110.885
0.9763,115.000
1.0413,77.000
1.1064,111.854
1.1715,77.000
1.2366,77.000
1.3017,77.000
1.3668,114.841
1.4318,99.752
1.4969,135.866
1.5620,77.000
1.6271,99.510
1.6922,77.000
1.7573,115.000
1.8224,106.771
1.8874,82.809
1.9525,77.000
2.0176,77.968
2.0827,115.000
2.1478,77.000
2.2129,83.293
2.2779,85.713
2.3430,142.573
2.4081,128.911
2.4732,77.000
2.5383,96.605
2.6034,97.815
2.6684,130.153
2.7335,115.000
2.7986,77.000
2.8637,115.000
2.9288,82.083
2.9939,112.338
3.0589,153.510
3.1240,77.000
3.1891,119.720
3.2542,139.777
3.3193,134.873
3.3844,115.000
3.4494,100.720
3.5145,115.000
3.5796,77.000
3.6447,98.541
3.7098,115.000
3.7749,88.618
3.8400,105.803
3.9050,83.777
3.9701,119.471
4.0352,78.936
4.1003,115.000
4.1654,115.000
4.2305,120.465
4.2955,122.949
4.3606,87.166
4.4257,127.917
4.4908,115.000
4.5559,115.000
4.6210,154.000
4.6860,137.854
4.7511,115.000
4.8162,126.178
4.8813,213.834
4.9464,166.261
5.0115,193.000
5.0765,231.000
5.1416,255.000
5.2067,255.000
5.2718,202.873
5.3369,201.471
5.4020,208.930
5.4671,193.000
5.5321,154.000
5.5972,155.739
5.6623,150.771
5.7274,193.000
5.7925,154.000
5.8576,154.000
5.9226,161.949
5.9877,231.000
6.0528,156.981
6.1179,154.497
6.1830,152.013
6.2481,154.000
6.3131,186.045
6.3782,154.000
6.4433,181.076
6.5084,154.000
6.5735,193.000
6.6386,115.000
6.7036,154.000
6.7687,115.000
6.8338,168.656
6.8989,124.688
6.9640,107.981
7.0291,149.280
7.0941,188.529
7.1592,77.242
7.2243,115.000
7.2894,87.299
7.3545,122.701
7.4196,105.076
7.4847,167.662
7.5497,130.153
7.6148,154.000
7.6799,95.395
7.7450,131.395
7.8101,90.554
7.8752,103.866
7.9402,123.943
8.0053,115.000
8.0704,80.873
8.1355,115.000
8.2006,77.968
8.2657,115.000
8.3307,82.809
8.3958,115.000
8.4609,125.930
8.5260,128.414
8.5911,108.389
8.6562,94.911
8.7212,154.000
8.7863,115.000
8.8514,128.166
8.9165,125.682
8.9816,154.000
9.0467,187.287
9.1118,154.000
9.1768,115.000
9.2419,116.739
9.3070,115.000
9.3721,121.707
9.4372,144.809
9.5023,169.650
9.5673,154.000
9.6324,115.000
9.6975,115.000
9.7626,136.611
9.8277,139.096
9.8928,127.420
9.9578,134.382
10.0229,146.548
10.0880,115.000
10.1531,151.516
10.2182,115.000
