X,Y
0.0000,115.000
0.0651,126.246
0.1302,142.555
0.1953,99.495
0.2603,114.169
0.3254,88.646
0.3905,113.131
0.4556,115.000
0.5207,115.000
0.5858,126.063
0.6508,100.987
0.7159,147.613
0.7810,119.394
0.8461,115.000
0.9112,148.873
0.9763,154.000
1.0413,176.249
1.1064,174.507
1.1715,112.090
1.2366,137.929
1.3017,121.671
1.3668,115.866
1.4318,139.697
1.4969,120.496
1.5620,129.893
1.6271,120.845
1.6922,115.000
1.7573,115.000
1.8224,142.357
1.8874,129.539
1.9525,147.037
2.0176,126.352
2.0827,115.000
2.1478,115.000
2.2129,115.000
2.2779,113.827
2.3430,121.182
2.4081,95.418
2.4732,88.475
2.5383,97.790
2.6034,116.798
2.6684,115.493
2.7335,113.311
2.7986,115.000
2.8637,128.646
2.9288,142.728
2.9939,132.042
3.0589,117.747
3.1240,115.000
3.1891,148.880
3.2542,151.494
3.3193,137.521
3.3844,126.163
3.4494,129.045
3.5145,120.493
3.5796,115.095
3.6447,117.778
3.7098,108.736
3.7749,121.199
3.8400,136.606
3.9050,110.560
3.9701,126.971
4.0352,137.554
4.1003,145.374
4.1654,167.588
4.2305,163.739
4.2955,159.106
4.3606,139.535
4.4257,102.682
4.4908,92.488
4.5559,104.422
4.6210,98.111
4.6860,121.584
4.7511,117.577
4.8162,94.670
4.8813,104.710
4.9464,89.538
5.0115,104.474
5.0765,87.169
5.1416,115.000
5.2067,115.000
5.2718,107.824
5.3369,88.255
5.4020,114.331
5.4671,108.246
5.5321,112.155
5.5972,103.030
5.6623,136.090
5.7274,116.304
5.7925,116.530
5.8576,109.693
5.9226,91.843
5.9877,124.970
6.0528,99.577
6.1179,116.461
6.1830,121.043
6.2481,115.108
6.3131,125.719
6.3782,178.158
6.4433,132.554
6.5084,156.380
6.5735,196.202
6.6386,255.000
6.7036,255.000
6.7687,255.000
6.8338,255.000
6.8989,255.000
6.9640,255.000
7.0291,255.000
7.0941,255.000
7.1592,255.000
7.2243,235.575
7.2894,238.211
7.3545,228.224
7.4196,158.530
7.4847,144.565
7.5497,157.761
7.6148,154.108
7.6799,154.000
7.7450,143.011
7.8101,133.475
7.8752,118.241
7.9402,115.000
8.0053,154.373
8.0704,120.814
8.1355,95.848
8.2006,92.259
8.2657,111.223
8.3307,95.920
8.3958,85.563
8.4609,80.033
8.5260,106.258
8.5911,115.000
8.6562,86.455
8.7212,105.188
8.7863,133.506
8.8514,145.944
8.9165,125.487
8.9816,88.239
9.0467,103.404
9.1118,115.000
9.1768,128.740
9.2419,123.667
9.3070,119.814
9.3721,116.648
9.4372,112.494
9.5023,111.493
9.5673,115.000
9.6324,125.952
9.6975,112.712
9.7626,93.697
9.8277,99.495
9.8928,115.000
9.9578,131.092
10.0229,134.134
10.0880,124.923
10.1531,106.851
10.2182,85.487
10.2833,116.665
10.3483,143.155
10.4134,118.098
10.4785,106.601
10.5436,112.383
10.6087,88.315
10.6738,94.484
10.7388,132.330
10.8039,133.311
10.8690,133.453
10.9341,151.437
10.9992,115.000
11.0643,126.680
11.1294,149.606
11.1944,182.374
11.2595,180.653
11.3246,107.198
11.3897,128.915
11.4548,145.667
11.5199,130.570
11.5849,135.129
11.6500,153.357
11.7151,151.076
11.7802,159.334
11.8453,129.557
11.9104,105.197
11.9754,112.675
12.0405,166.413
12.1056,181.062
12.1707,159.409
12.2358,158.957
12.3009,143.014
12.3659,164.623
12.4310,152.374
12.4961,152.236
12.5612,154.000
12.6263,152.367
12.6914,141.676
12.7565,147.775
12.8215,116.926
12.8866,126.628
12.9517,154.000
13.0168,149.789
13.0819,145.227
13.1470,155.607
13.2120,175.570
13.2771,155.736
13.3422,120.927
13.4073,115.000
13.4724,115.279
13.5375,124.321
13.6025,110.005
13.6676,136.353
13.7327,115.000
13.7978,115.053
13.8629,115.000
