X,Y
0.0000,77.000
0.0651,87.221
0.1302,82.390
0.1953,79.944
0.2603,85.436
0.3254,82.878
0.3905,77.000
0.4556,77.000
0.5207,83.260
0.5858,95.797
0.6508,79.957
0.7159,81.171
0.7810,83.225
0.8461,77.000
0.9112,60.444
0.9763,62.124
1.0413,88.067
1.1064,77.000
1.1715,77.000
1.2366,80.248
1.3017,94.293
1.3668,77.000
1.4318,82.824
1.4969,91.498
1.5620,77.879
1.6271,77.291
1.6922,87.404
1.7573,94.170
1.8224,106.760
1.8874,80.753
1.9525,102.595
2.0176,86.693
2.0827,77.000
2.1478,104.954
2.2129,114.834
2.2779,82.533
2.3430,77.994
2.4081,77.000
2.4732,89.991
2.5383,94.055
2.6034,91.428
2.6684,96.175
2.7335,94.296
2.7986,78.019
2.8637,92.403
2.9288,114.024
2.9939,82.096
3.0589,87.899
3.1240,98.839
3.1891,86.836
3.2542,80.154
3.3193,103.669
3.3844,77.133
3.4494,83.492
3.5145,77.271
3.5796,89.997
3.6447,102.188
3.7098,85.369
3.7749,77.000
3.8400,76.739
3.9050,89.150
3.9701,78.544
4.0352,121.648
4.1003,112.672
4.1654,111.215
4.2305,92.280
4.2955,94.908
4.3606,110.714
4.4257,114.272
4.4908,103.644
4.5559,87.922
4.6210,77.000
4.6860,90.149
4.7511,110.506
4.8162,103.498
4.8813,114.350
4.9464,102.756
5.0115,78.015
5.0765,107.573
5.1416,77.922
5.2067,63.310
5.2718,74.357
5.3369,79.124
5.4020,77.000
5.4671,91.680
5.5321,106.410
5.5972,89.046
5.6623,98.111
5.7274,101.188
5.7925,80.387
5.8576,87.262
5.9226,93.939
5.9877,117.330
6.0528,141.582
6.1179,77.000
6.1830,88.900
6.2481,84.803
6.3131,80.547
6.3782,80.820
6.4433,103.207
6.5084,107.625
6.5735,94.911
6.6386,95.244
6.7036,77.000
6.7687,80.828
6.8338,100.792
6.8989,100.918
6.9640,114.724
7.0291,82.241
7.0941,124.797
7.1592,94.085
7.2243,104.527
7.2894,84.462
7.3545,87.055
7.4196,81.368
7.4847,95.849
7.5497,152.926
7.6148,138.660
7.6799,114.854
7.7450,108.973
7.8101,115.000
7.8752,112.827
7.9402,104.142
8.0053,94.421
8.0704,92.529
8.1355,106.150
8.2006,114.106
8.2657,168.335
8.3307,154.744
8.3958,161.494
8.4609,238.750
8.5260,194.022
8.5911,249.617
8.6562,236.439
8.7212,207.752
8.7863,175.001
8.8514,154.622
8.9165,163.314
8.9816,171.880
9.0467,132.483
9.1118,144.264
9.1768,143.818
9.2419,126.057
9.3070,135.316
9.3721,154.000
9.4372,155.926
9.5023,153.690
9.5673,133.364
9.6324,130.830
9.6975,134.014
9.7626,181.345
9.8277,144.885
9.8928,144.109
9.9578,165.665
10.0229,119.168
10.0880,164.514
10.1531,115.330
10.2182,118.384
10.2833,144.838
10.3483,116.896
10.4134,123.447
10.4785,84.375
10.5436,109.578
10.6087,132.369
10.6738,128.257
10.7388,145.400
10.8039,135.073
10.8690,115.000
10.9341,115.000
10.9992,129.981
11.0643,134.450
11.1294,138.836
11.1944,134.211
11.2595,130.023
11.3246,115.000
11.3897,115.000
11.4548,115.000
11.5199,119.210
11.5849,127.377
11.6500,156.180
11.7151,154.000
11.7802,153.046
11.8453,150.365
11.9104,154.000
11.9754,178.614
12.0405,124.170
12.1056,184.720
12.1707,211.766
12.2358,200.332
12.3009,193.000
12.3659,171.349
12.4310,128.846
12.4961,138.298
12.5612,153.253
12.6263,131.885
12.6914,124.481
12.7565,118.579
12.8215,115.000
12.8866,105.240
12.9517,116.558
13.0168,139.266
13.0819,118.492
13.1470,101.004
13.2120,123.667
13.2771,147.240
13.3422,120.702
13.4073,77.000
13.4724,77.271
13.5375,97.777
13.6025,97.921
13.6676,77.462
13.7327,111.896
13.7978,105.164
13.8629,152.880
13.9280,118.365
13.9930,111.115
14.0581,110.662
14.1232,107.012
14.1883,90.035
14.2534,84.609
14.3185,77.000
14.3836,93.438
14.4486,98.032
14.5137,87.887
14.5788,84.716
14.6439,63.227
14.7090,77.438
14.7741,110.222
14.8391,83.426
14.9042,85.162
14.9693,97.696
15.0344,77.000
15.0995,81.222
15.1646,106.294
15.2296,77.000
15.2947,77.000
15.3598,76.714
15.4249,90.695
15.4900,76.327
15.5551,81.909
15.6201,103.709
15.6852,82.274
15.7503,77.000
15.8154,77.000
15.8805,77.000
15.9456,88.067
16.0106,84.425
16.0757,95.665
16.1408,101.169
16.2059,90.540
16.2710,78.685
16.3361,100.511
16.4012,116.197
16.4662,124.114
16.5313,141.908
16.5964,105.582
16.6615,115.000
16.7266,116.420
16.7917,126.461
16.8567,187.927
16.9218,206.921
16.9869,154.000
