X,Y
0.0000,193.000
0.0651,94.969
0.1302,78.405
0.1953,77.000
0.2603,77.000
0.3254,110.962
0.3905,140.645
0.4556,86.170
0.5207,87.756
0.5858,78.029
0.6508,79.088
0.7159,100.357
0.7810,96.586
0.8461,126.724
0.9112,102.189
0.9763,125.798
1.0413,99.838
1.1064,88.414
1.1715,87.379
1.2366,100.148
1.3017,94.377
1.3668,103.540
1.4318,104.129
1.4969,95.868
1.5620,114.947
1.6271,115.000
1.6922,131.665
1.7573,138.194
1.8224,115.000
1.8874,115.062
1.9525,120.449
2.0176,125.354
2.0827,138.176
2.1478,77.000
2.2129,78.507
2.2779,92.932
2.3430,111.430
2.4081,94.536
2.4732,120.517
2.5383,156.165
2.6034,164.347
2.6684,115.000
2.7335,115.000
2.7986,113.186
2.8637,82.099
2.9288,102.947
2.9939,95.079
3.0589,124.132
3.1240,115.138
3.1891,79.575
3.2542,89.035
3.3193,132.063
3.3844,144.894
3.4494,121.356
3.5145,115.000
3.5796,96.652
3.6447,111.404
3.7098,109.392
3.7749,171.594
3.8400,174.037
3.9050,196.665
3.9701,175.626
4.0352,149.967
4.1003,175.777
4.1654,161.954
4.2305,154.000
4.2955,132.696
4.3606,115.000
4.4257,116.553
4.4908,120.805
4.5559,106.410
4.6210,105.087
4.6860,115.658
4.7511,110.648
4.8162,107.302
4.8813,122.175
4.9464,134.338
5.0115,125.514
5.0765,138.810
5.1416,111.476
5.2067,107.947
5.2718,147.510
5.3369,115.530
5.4020,120.976
5.4671,117.290
5.5321,145.345
5.5972,188.877
5.6623,154.043
5.7274,163.936
5.7925,178.046
5.8576,231.811
5.9226,218.905
5.9877,254.366
6.0528,186.523
6.1179,222.701
6.1830,213.485
6.2481,200.648
6.3131,246.967
6.3782,240.678
6.4433,243.034
6.5084,251.572
6.5735,248.101
6.6386,252.145
6.7036,216.617
6.7687,233.789
6.8338,249.444
6.8989,212.386
6.9640,217.083
7.0291,240.707
7.0941,255.000
7.1592,255.000
7.2243,255.000
7.2894,255.000
7.3545,255.000
7.4196,255.000
7.4847,255.000
7.5497,255.000
7.6148,255.000
7.6799,255.000
7.7450,251.715
7.8101,233.908
7.8752,205.050
7.9402,224.213
8.0053,225.841
8.0704,212.270
8.1355,221.626
8.2006,193.000
8.2657,201.856
8.3307,218.289
8.3958,197.274
8.4609,222.619
8.5260,185.700
8.5911,189.053
8.6562,187.312
8.7212,172.146
8.7863,153.069
8.8514,127.515
8.9165,167.824
8.9816,170.890
9.0467,183.064
9.1118,192.957
9.1768,219.596
9.2419,195.908
9.3070,205.667
9.3721,194.208
9.4372,241.715
9.5023,219.284
9.5673,181.088
9.6324,165.882
9.6975,181.317
9.7626,168.245
9.8277,160.635
9.8928,179.427
9.9578,200.698
10.0229,173.713
10.0880,131.150
10.1531,149.998
10.2182,161.166
10.2833,146.441
10.3483,157.093
10.4134,172.797
10.4785,168.171
10.5436,163.123
10.6087,167.197
10.6738,118.795
10.7388,121.357
10.8039,129.432
10.8690,142.811
10.9341,165.683
10.9992,182.176
11.0643,148.244
11.1294,158.142
11.1944,185.797
11.2595,128.097
11.3246,147.644
11.3897,128.452
11.4548,154.000
11.5199,156.559
11.5849,182.045
11.6500,117.268
11.7151,115.739
11.7802,151.890
11.8453,127.730
11.9104,152.930
11.9754,120.442
12.0405,198.732
12.1056,159.662
12.1707,188.361
12.2358,125.996
12.3009,152.797
12.3659,145.666
12.4310,132.696
12.4961,147.270
12.5612,123.665
12.6263,142.169
12.6914,122.201
12.7565,130.485
12.8215,145.753
12.8866,129.026
12.9517,115.000
13.0168,128.692
13.0819,129.947
13.1470,135.779
13.2120,153.433
13.2771,154.000
13.3422,164.490
13.4073,161.295
13.4724,139.241
13.5375,148.063
13.6025,197.522
13.6676,198.344
13.7327,160.941
13.7978,124.575
13.8629,132.165
13.9280,159.778
13.9930,120.313
14.0581,138.972
14.1232,125.734
14.1883,147.325
14.2534,128.401
14.3185,135.867
14.3836,128.355
14.4486,149.856
14.5137,124.546
14.5788,154.000
14.6439,152.282
14.7090,115.681
14.7741,154.000
