X,Y
0.0000,77.000
0.0651,87.527
0.1302,97.583
0.1953,113.120
0.2603,92.240
0.3254,79.281
0.3905,77.000
0.4556,84.756
0.5207,77.000
0.5858,77.000
0.6508,81.503
0.7159,81.613
0.7810,106.094
0.8461,115.000
0.9112,115.000
0.9763,83.494
1.0413,86.500
1.1064,80.723
1.1715,77.000
1.2366,77.000
1.3017,77.000
1.3668,90.990
1.4318,81.849
1.4969,84.558
1.5620,77.000
1.6271,77.000
1.6922,77.000
1.7573,79.115
1.8224,77.000
1.8874,77.000
1.9525,81.750
2.0176,111.042
2.0827,89.667
2.1478,79.338
2.2129,100.503
2.2779,77.458
2.3430,77.000
2.4081,77.000
2.4732,77.000
2.5383,77.000
2.6034,96.792
2.6684,102.643
2.7335,70.051
2.7986,79.032
2.8637,102.661
2.9288,100.676
2.9939,97.188
3.0589,84.756
3.1240,86.500
3.1891,77.000
3.2542,77.000
3.3193,77.000
3.3844,87.885
3.4494,82.282
3.5145,77.000
3.5796,88.516
3.6447,86.500
3.7098,94.256
3.7749,77.000
3.8400,80.699
3.9050,78.078
3.9701,41.796
4.0352,74.715
4.1003,90.656
4.1654,115.000
4.2305,89.234
4.2955,77.000
4.3606,99.624
4.4257,95.604
4.4908,107.281
4.5559,82.938
4.6210,96.272
4.6860,93.625
4.7511,83.494
4.8162,109.221
4.8813,151.838
4.9464,127.188
5.0115,97.905
5.0765,118.836
5.1416,128.647
5.2067,134.500
5.2718,164.465
5.3369,145.874
5.4020,120.772
5.4671,122.922
5.5321,137.217
5.5972,136.684
5.6623,163.064
5.7274,137.000
5.7925,138.436
5.8576,138.004
5.9226,138.423
5.9877,115.203
6.0528,142.026
6.1179,157.250
6.1830,116.257
6.2481,134.500
6.3131,122.681
6.3782,131.504
6.4433,130.501
6.5084,115.000
6.5735,115.000
6.6386,128.406
6.7036,153.391
6.7687,129.625
6.8338,125.359
6.8989,100.915
6.9640,87.824
7.0291,105.250
7.0941,121.563
7.1592,129.473
7.2243,130.196
7.2894,115.000
7.3545,116.587
7.4196,148.059
7.4847,136.062
7.5497,110.052
7.6148,85.915
7.6799,136.548
7.7450,125.562
7.8101,132.062
7.8752,164.753
7.9402,213.053
8.0053,94.370
8.0704,109.120
8.1355,150.953
8.2006,130.844
8.2657,137.382
8.3307,115.000
8.3958,115.000
8.4609,120.840
8.5260,117.983
8.5911,160.703
8.6562,173.458
8.7212,121.901
8.7863,113.850
8.8514,87.292
8.9165,147.555
8.9816,138.156
9.0467,84.330
9.1118,138.589
9.1768,143.881
9.2419,135.465
9.3070,136.811
9.3721,115.000
9.4372,115.000
9.5023,115.000
9.5673,112.959
9.6324,89.339
9.6975,145.282
9.7626,129.625
9.8277,130.438
9.8928,121.062
9.9578,77.594
10.0229,111.190
10.0880,127.812
10.1531,135.344
10.2182,99.188
10.2833,93.275
10.3483,109.656
10.4134,128.000
10.4785,115.000
10.5436,115.000
10.6087,109.322
10.6738,115.000
10.7388,109.990
10.8039,90.557
10.8690,87.564
10.9341,96.000
10.9992,87.292
11.0643,113.417
11.1294,80.229
11.1944,102.135
11.2595,103.855
11.3246,81.750
11.3897,111.042
11.4548,108.667
11.5199,104.869
11.5849,115.000
11.6500,115.000
11.7151,109.141
11.7802,96.717
11.8453,108.419
11.9104,85.906
11.9754,110.250
12.0405,111.840
12.1056,116.582
12.1707,89.135
12.2358,97.979
12.3009,104.053
12.3659,115.000
12.4310,122.674
12.4961,77.000
