X,Y
0.0000,77.000
0.0651,77.000
0.1302,77.000
0.1953,77.000
0.2603,96.290
0.3254,112.285
0.3905,64.666
0.4556,98.446
0.5207,82.709
0.5858,77.000
0.6508,77.000
0.7159,77.000
0.7810,78.004
0.8461,77.000
0.9112,77.000
0.9763,77.596
1.0413,78.429
1.1064,77.000
1.1715,69.278
1.2366,77.000
1.3017,81.435
1.3668,98.788
1.4318,77.110
1.4969,77.000
1.5620,77.000
1.6271,77.000
1.6922,77.000
1.7573,105.397
1.8224,84.099
1.8874,90.691
1.9525,85.605
2.0176,76.717
2.0827,48.094
2.1478,82.268
2.2129,63.618
2.2779,85.982
2.3430,77.000
2.4081,77.000
2.4732,71.497
2.5383,77.000
2.6034,72.652
2.6684,69.782
2.7335,74.011
2.7986,72.652
2.8637,77.000
2.9288,82.362
2.9939,77.000
3.0589,77.000
3.1240,73.671
3.1891,56.948
3.2542,64.315
3.3193,48.789
3.3844,102.631
3.4494,78.584
3.5145,122.548
3.5796,73.629
3.6447,47.856
3.7098,77.000
3.7749,77.000
3.8400,77.000
3.9050,77.000
3.9701,76.643
4.0352,76.253
4.1003,75.913
4.1654,77.000
4.2305,83.669
4.2955,103.477
4.3606,77.000
4.4257,77.000
4.4908,77.000
4.5559,89.675
4.6210,136.319
4.6860,95.771
4.7511,77.265
4.8162,77.000
4.8813,77.000
4.9464,77.000
5.0115,77.000
5.0765,77.066
5.1416,95.710
5.2067,106.301
5.2718,68.901
5.3369,58.414
5.4020,77.000
5.4671,81.325
5.5321,83.867
5.5972,97.613
5.6623,90.735
5.7274,113.169
5.7925,111.773
5.8576,113.240
5.9226,115.000
5.9877,104.928
6.0528,77.000
6.1179,93.510
6.1830,87.900
6.2481,89.665
6.3131,115.000
6.3782,111.475
6.4433,94.287
6.5084,113.627
6.5735,103.813
6.6386,115.000
6.7036,110.565
6.7687,81.054
6.8338,105.496
6.8989,105.468
6.9640,109.780
7.0291,131.751
7.0941,102.029
7.1592,107.686
7.2243,106.991
7.2894,113.125
7.3545,87.988
7.4196,89.086
7.4847,114.305
7.5497,96.687
7.6148,78.522
7.6799,83.371
7.7450,103.676
7.8101,77.789
7.8752,126.680
7.9402,77.441
8.0053,104.586
8.0704,121.468
8.1355,90.685
8.2006,81.236
8.2657,116.892
8.3307,133.597
8.3958,142.744
8.4609,88.919
8.5260,89.819
8.5911,112.253
8.6562,107.884
8.7212,82.715
8.7863,88.170
8.8514,109.142
8.9165,95.269
8.9816,110.151
9.0467,143.675
9.1118,90.575
9.1768,109.787
9.2419,115.000
9.3070,89.444
9.3721,86.046
9.4372,93.959
9.5023,110.565
9.5673,109.539
9.6324,100.807
9.6975,88.523
9.7626,136.258
9.8277,118.022
9.8928,135.029
9.9578,108.918
10.0229,111.795
10.0880,95.826
10.1531,112.790
10.2182,154.368
10.2833,137.640
10.3483,142.468
10.4134,94.900
10.4785,80.072
10.5436,93.145
10.6087,77.000
10.6738,79.648
10.7388,93.890
10.8039,77.000
