X,Y
0.0000,115.000
0.0651,77.633
0.1302,78.267
0.1953,115.000
0.2603,77.000
0.3254,77.000
0.3905,77.000
0.4556,90.533
0.5207,109.933
0.5858,77.000
0.6508,83.333
0.7159,83.967
0.7810,77.000
0.8461,106.767
0.9112,67.900
0.9763,115.000
1.0413,87.133
1.1064,132.183
1.1715,77.000
1.2366,102.967
1.3017,77.000
1.3668,77.000
1.4318,101.067
1.4969,100.433
1.5620,92.200
1.6271,77.000
1.6922,110.367
1.7573,97.900
1.8224,77.000
1.8874,95.367
1.9525,77.000
2.0176,77.000
2.0827,77.000
2.1478,77.000
2.2129,77.000
2.2779,77.000
2.3430,77.000
2.4081,106.517
2.4732,86.767
2.5383,64.950
2.6034,77.000
2.6684,77.000
2.7335,77.000
2.7986,104.233
2.8637,87.133
2.9288,77.000
2.9939,77.000
3.0589,46.450
3.1240,69.200
3.1891,77.000
3.2542,77.000
3.3193,88.550
3.3844,77.000
3.4494,81.433
3.5145,77.000
3.5796,80.167
3.6447,109.867
3.7098,77.000
3.7749,39.300
3.8400,77.633
3.9050,77.000
3.9701,38.650
4.0352,77.000
4.1003,78.900
4.1654,77.000
4.2305,77.000
4.2955,77.000
4.3606,110.567
4.4257,77.000
4.4908,77.000
4.5559,44.500
4.6210,77.000
4.6860,77.000
4.7511,77.000
4.8162,77.000
4.8813,105.500
4.9464,87.133
5.0115,49.050
5.0765,77.000
5.1416,64.650
5.2067,77.000
5.2718,77.000
5.3369,62.700
5.4020,91.567
5.4671,99.800
5.5321,77.000
5.5972,77.000
5.6623,97.900
5.7274,77.000
5.7925,133.850
5.8576,115.000
5.9226,135.150
5.9877,151.400
6.0528,97.900
6.1179,98.533
6.1830,137.750
6.2481,130.600
6.3131,100.433
6.3782,77.000
6.4433,90.300
6.5084,89.667
6.5735,102.967
6.6386,100.100
6.7036,98.817
6.7687,143.600
6.8338,86.500
6.8989,106.133
6.9640,205.867
7.0291,115.000
7.0941,146.850
7.1592,141.167
7.2243,115.000
7.2894,115.000
7.3545,81.433
7.4196,150.100
7.4847,77.000
7.5497,115.000
7.6148,115.000
7.6799,113.733
7.7450,77.000
7.8101,115.000
7.8752,77.000
7.9402,78.267
8.0053,77.000
8.0704,77.000
8.1355,77.000
8.2006,115.000
8.2657,106.017
8.3307,148.800
8.3958,82.700
8.4609,115.000
8.5260,122.150
8.5911,84.600
8.6562,93.683
8.7212,85.867
8.7863,105.500
8.8514,87.133
8.9165,87.767
8.9816,77.000
9.0467,77.000
9.1118,102.333
9.1768,177.100
9.2419,90.933
9.3070,115.000
9.3721,99.800
9.4372,77.000
9.5023,77.000
9.5673,77.000
9.6324,97.267
9.6975,77.000
9.7626,77.000
9.8277,115.000
9.8928,97.267
9.9578,77.000
10.0229,98.533
10.0880,109.083
10.1531,92.200
10.2182,100.433
10.2833,115.000
10.3483,77.000
10.4134,77.000
10.4785,77.000
10.5436,77.000
10.6087,77.000
10.6738,77.000
10.7388,77.000
10.8039,77.000
10.8690,77.000
10.9341,107.400
10.9992,108.033
11.0643,115.000
11.1294,115.000
11.1944,109.933
11.2595,81.433
11.3246,118.900
11.3897,111.833
11.4548,148.867
11.5199,39.950
11.5849,78.267
11.6500,77.000
11.7151,115.000
