X,Y
0.0000,77.000
0.0651,89.016
0.1302,84.862
0.1953,107.793
0.2603,110.775
0.3254,114.345
0.3905,80.106
0.4556,87.043
0.5207,119.038
0.5858,80.821
0.6508,78.310
0.7159,82.538
0.7810,82.219
0.8461,111.264
0.9112,108.776
0.9763,78.398
1.0413,97.143
1.1064,88.073
1.1715,119.918
1.2366,79.669
1.3017,113.170
1.3668,105.717
1.4318,124.645
1.4969,84.690
1.5620,92.815
1.6271,79.245
1.6922,77.000
1.7573,88.138
1.8224,111.069
1.8874,132.062
1.9525,117.408
2.0176,106.983
2.0827,108.900
2.1478,79.245
2.2129,94.452
2.2779,80.440
2.3430,103.862
2.4081,102.552
2.4732,79.621
2.5383,98.850
2.6034,80.389
2.6684,96.551
2.7335,102.766
2.7986,113.034
2.8637,113.193
2.9288,81.422
2.9939,96.633
3.0589,107.824
3.1240,114.639
3.1891,94.964
3.2542,111.803
3.3193,115.000
3.3844,89.606
3.4494,86.819
3.5145,96.422
3.5796,150.417
3.6447,139.114
3.7098,125.651
3.7749,124.750
3.8400,176.751
3.9050,125.851
3.9701,140.047
4.0352,168.008
4.1003,211.220
4.1654,155.345
4.2305,187.913
4.2955,204.328
4.3606,211.973
4.4257,211.983
4.4908,178.343
4.5559,159.356
4.6210,181.673
4.6860,202.986
4.7511,188.134
4.8162,204.013
4.8813,165.073
4.9464,157.246
5.0115,152.922
5.0765,194.568
5.1416,166.999
5.2067,175.241
5.2718,218.927
5.3369,223.375
5.4020,217.926
5.4671,166.307
5.5321,184.427
5.5972,170.474
5.6623,211.438
5.7274,233.055
5.7925,231.512
5.8576,212.627
5.9226,230.742
5.9877,243.414
6.0528,254.538
6.1179,238.370
6.1830,249.103
6.2481,240.313
6.3131,211.605
6.3782,236.089
6.4433,211.262
6.5084,232.837
6.5735,254.427
6.6386,255.000
6.7036,249.064
6.7687,248.351
6.8338,241.488
6.8989,254.608
6.9640,245.759
7.0291,254.501
7.0941,237.904
7.1592,250.762
7.2243,255.000
7.2894,234.018
7.3545,208.077
7.4196,249.289
7.4847,255.000
7.5497,224.000
7.6148,204.302
7.6799,224.943
7.7450,204.268
7.8101,174.065
7.8752,153.655
7.9402,154.000
8.0053,145.259
8.0704,121.724
8.1355,130.016
8.2006,151.415
8.2657,135.572
8.3307,106.460
8.3958,110.710
8.4609,132.483
8.5260,135.856
8.5911,137.422
8.6562,137.282
8.7212,134.036
8.7863,158.539
8.8514,176.963
8.9165,150.696
8.9816,115.464
9.0467,143.824
9.1118,135.172
9.1768,132.413
9.2419,133.364
9.3070,153.168
9.3721,150.661
9.4372,134.500
9.5023,149.966
9.5673,136.039
9.6324,168.074
9.6975,145.279
9.7626,170.552
9.8277,179.940
9.8928,145.467
9.9578,154.109
10.0229,211.475
10.0880,214.502
10.1531,194.056
10.2182,163.471
10.2833,165.883
10.3483,148.206
10.4134,142.731
10.4785,133.691
10.5436,169.575
10.6087,244.017
10.6738,201.703
10.7388,183.452
10.8039,201.065
10.8690,189.811
10.9341,215.038
10.9992,231.153
11.0643,213.090
11.1294,203.578
11.1944,174.897
11.2595,153.267
11.3246,183.250
11.3897,128.999
11.4548,125.666
11.5199,121.344
11.5849,130.164
11.6500,181.578
11.7151,128.773
11.7802,112.173
11.8453,86.771
11.9104,98.237
11.9754,133.120
12.0405,121.016
12.1056,101.373
12.1707,173.932
12.2358,118.710
12.3009,139.905
12.3659,122.371
12.4310,135.065
12.4961,115.000
12.5612,131.355
12.6263,101.251
12.6914,108.722
12.7565,139.161
12.8215,124.414
12.8866,121.276
12.9517,142.786
13.0168,122.521
13.0819,103.892
13.1470,115.000
13.2120,117.438
13.2771,120.426
13.3422,149.603
13.4073,131.057
13.4724,122.970
13.5375,190.517
13.6025,221.532
13.6676,205.258
13.7327,185.977
13.7978,161.053
13.8629,207.507
13.9280,177.462
13.9930,171.315
14.0581,169.591
14.1232,224.263
14.1883,159.654
14.2534,161.571
14.3185,187.235
14.3835,175.510
14.4486,155.064
14.5137,214.063
14.5788,155.587
14.6439,136.262
14.7090,146.615
14.7741,154.017
14.8391,176.862
14.9042,208.814
14.9693,185.144
15.0344,161.901
15.0995,193.000
