X,Y
0.0000,38.000
0.0651,74.067
0.1302,77.000
0.1953,77.000
0.2603,87.462
0.3254,83.687
0.3905,77.000
0.4556,77.000
0.5207,72.332
0.5858,77.000
0.6508,77.000
0.7159,76.803
0.7810,76.736
0.8461,43.982
0.9112,38.000
0.9763,65.417
1.0413,95.193
1.1064,77.000
1.1715,77.000
1.2366,77.000
1.3017,77.000
1.3668,47.961
1.4318,65.541
1.4969,83.176
1.5620,45.933
1.6271,66.849
1.6922,77.000
1.7573,77.000
1.8224,77.000
1.8874,70.612
1.9525,53.576
2.0176,76.612
2.0827,68.005
2.1478,76.617
2.2129,63.090
2.2779,77.000
2.3430,76.507
2.4081,77.000
2.4732,56.406
2.5383,52.855
2.6034,44.221
2.6684,53.074
2.7335,74.591
2.7986,60.627
2.8637,65.074
2.9288,54.748
2.9939,42.546
3.0589,66.666
3.1240,84.537
3.1891,80.342
3.2542,68.585
3.3193,43.982
3.3844,53.074
3.4494,77.000
3.5145,75.956
3.5796,42.307
3.6447,66.233
3.7098,93.498
3.7749,79.573
3.8400,70.527
3.9050,75.180
3.9701,52.783
4.0352,75.450
4.1003,77.000
4.1654,76.141
4.2305,77.000
4.2955,73.126
4.3606,60.096
4.4257,73.301
4.4908,65.697
4.5559,77.000
4.6210,69.844
4.6860,51.078
4.7511,101.131
4.8162,78.758
4.8813,78.076
4.9464,84.858
5.0115,76.589
5.0765,59.479
5.1416,140.118
5.2067,128.934
5.2718,127.577
5.3369,115.000
5.4020,124.810
5.4671,150.210
5.5321,119.389
5.5972,115.000
5.6623,84.762
5.7274,77.000
5.7925,82.827
5.8576,109.638
5.9226,88.890
5.9877,77.000
6.0528,81.994
6.1179,65.697
6.1830,73.301
6.2481,77.000
6.3131,77.000
6.3782,91.302
6.4433,77.000
6.5084,77.000
6.5735,81.085
6.6386,79.747
6.7036,104.134
6.7687,78.852
6.8338,77.000
6.8989,91.726
6.9640,104.509
7.0291,77.000
7.0941,97.693
7.1592,114.485
7.2243,91.687
7.2894,77.000
7.3545,81.192
7.4196,110.571
7.4847,78.865
7.5497,77.000
7.6148,79.745
7.6799,95.753
7.7450,77.664
7.8101,79.431
7.8752,111.024
7.9402,98.514
8.0053,112.732
8.0704,97.515
8.1355,79.815
8.2006,103.402
8.2657,77.918
8.3307,131.629
8.3958,99.090
8.4609,77.000
8.5260,77.000
8.5911,77.000
8.6562,77.000
8.7212,70.540
8.7863,66.954
8.8514,122.303
8.9165,123.327
8.9816,98.225
9.0467,77.097
9.1118,94.180
9.1768,77.166
9.2419,77.000
9.3070,77.000
9.3721,77.000
9.4372,77.000
9.5023,68.020
9.5673,77.000
9.6324,77.000
9.6975,77.000
9.7626,77.572
9.8277,77.000
9.8928,108.048
9.9578,83.007
10.0229,77.000
10.0880,77.000
10.1531,71.168
10.2182,76.827
10.2833,77.000
10.3483,77.000
10.4134,95.968
10.4785,90.769
10.5436,108.706
10.6087,77.000
