X,Y
0.0000,77.000
0.0651,77.000
0.1302,85.084
0.1953,102.524
0.2603,120.404
0.3254,77.957
0.3905,90.049
0.4556,86.398
0.5207,77.228
0.5858,77.000
0.6508,110.251
0.7159,78.837
0.7810,87.321
0.8461,78.057
0.9112,77.000
0.9763,90.523
1.0413,77.914
1.1064,89.037
1.1715,111.803
1.2366,80.715
1.3017,135.375
1.3668,117.160
1.4318,102.751
1.4969,130.784
1.5620,122.954
1.6271,94.379
1.6922,110.773
1.7573,82.516
1.8224,109.280
1.8874,82.925
1.9525,77.000
2.0176,87.556
2.0827,79.882
2.1478,125.851
2.2129,119.676
2.2779,139.172
2.3430,153.026
2.4081,125.170
2.4732,204.700
2.5383,149.712
2.6034,99.203
2.6684,97.942
2.7335,81.152
2.7986,95.220
2.8637,83.573
2.9288,77.000
2.9939,78.538
3.0589,106.444
3.1240,110.453
3.1891,84.320
3.2542,94.328
3.3193,95.723
3.3844,122.140
3.4494,99.355
3.5145,106.103
3.5796,137.803
3.6447,100.501
3.7098,104.857
3.7749,129.304
3.8400,136.433
3.9050,121.899
3.9701,103.741
4.0352,128.111
4.1003,165.160
4.1654,205.751
4.2305,246.009
4.2955,255.000
4.3606,255.000
4.4257,250.252
4.4908,251.266
4.5559,247.114
4.6210,243.763
4.6860,252.602
4.7511,255.000
4.8162,255.000
4.8813,241.601
4.9464,246.881
5.0115,244.867
5.0765,226.355
5.1416,211.969
5.2067,216.899
5.2718,207.067
5.3369,230.729
5.4020,255.000
5.4671,254.650
5.5321,255.000
5.5972,251.809
5.6623,251.017
5.7274,255.000
5.7925,255.000
5.8576,255.000
5.9226,255.000
5.9877,255.000
6.0528,255.000
6.1179,255.000
6.1830,245.783
6.2481,226.286
6.3131,185.637
6.3782,127.429
6.4433,113.720
6.5084,130.782
6.5735,127.904
6.6386,135.025
6.7036,117.935
6.7687,118.986
6.8338,115.000
6.8989,125.101
6.9640,134.290
7.0291,120.330
7.0941,109.860
7.1592,124.451
7.2243,118.003
7.2894,130.516
7.3545,167.002
7.4196,175.631
7.4847,172.260
7.5497,173.759
7.6148,151.659
7.6799,145.794
7.7450,202.547
7.8101,150.226
7.8752,140.098
7.9402,130.007
8.0053,162.806
8.0704,162.667
8.1355,146.848
8.2006,163.682
8.2657,199.452
8.3307,167.799
8.3958,154.171
8.4609,117.079
8.5260,126.532
8.5911,135.972
8.6562,104.405
8.7212,119.455
8.7863,124.232
8.8514,93.827
8.9165,100.156
8.9816,83.129
9.0467,88.129
9.1118,104.064
9.1768,84.711
9.2419,104.785
9.3070,98.526
9.3721,91.235
9.4372,68.403
9.5023,46.387
9.5673,83.426
9.6324,104.636
9.6975,77.000
9.7626,77.000
9.8277,77.000
9.8928,72.324
9.9578,59.407
10.0229,74.042
10.0880,66.167
10.1531,70.710
10.2182,43.361
10.2833,76.644
10.3483,71.887
10.4134,50.306
10.4785,77.000
10.5436,77.000
10.6087,72.177
10.6738,39.686
10.7388,50.195
10.8039,71.760
10.8690,76.829
10.9341,75.440
10.9992,41.565
11.0643,76.062
11.1294,61.193
11.1944,57.290
11.2595,60.927
11.3246,51.108
11.3897,76.578
11.4548,74.222
11.5199,73.977
11.5849,44.895
11.6500,75.895
11.7151,52.204
11.7802,59.452
11.8453,77.000
11.9104,76.371
11.9754,38.419
12.0405,76.977
12.1056,77.000
