X,Y
0.0000,115.000
0.0651,147.716
0.1302,111.550
0.1953,82.926
0.2603,77.000
0.3254,78.131
0.3905,77.000
0.4556,77.000
0.5207,89.545
0.5858,77.000
0.6508,77.000
0.7159,77.000
0.7810,77.000
0.8461,98.427
0.9112,79.100
0.9763,77.000
1.0413,77.000
1.1064,94.936
1.1715,78.793
1.2366,116.343
1.3017,100.580
1.3668,77.000
1.4318,80.474
1.4969,111.200
1.5620,113.782
1.6271,57.489
1.6922,88.774
1.7573,93.879
1.8224,88.235
1.8874,77.833
1.9525,105.662
2.0176,111.228
2.0827,113.862
2.1478,95.670
2.2129,77.000
2.2779,79.478
2.3430,111.035
2.4081,129.462
2.4732,121.606
2.5383,100.296
2.6034,77.000
2.6684,77.000
2.7335,82.217
2.7986,81.461
2.8637,88.878
2.9288,98.652
2.9939,84.600
3.0589,52.833
3.1240,76.575
3.1891,77.000
3.2542,77.000
3.3193,77.000
3.3844,89.071
3.4494,114.640
3.5145,82.948
3.5796,128.891
3.6447,126.498
3.7098,103.150
3.7749,144.226
3.8400,84.304
3.9050,106.206
3.9701,90.052
4.0352,81.184
4.1003,85.684
4.1654,77.000
4.2305,93.971
4.2955,114.466
4.3606,93.026
4.4257,82.287
4.4908,99.040
4.5559,78.293
4.6210,107.004
4.6860,93.401
4.7511,112.852
4.8162,87.318
4.8813,77.000
4.9464,81.296
5.0115,106.551
5.0765,79.167
5.1416,97.517
5.2067,96.323
5.2718,92.903
5.3369,77.000
5.4020,77.000
5.4671,80.250
5.5321,102.315
5.5972,77.000
5.6623,78.924
5.7274,77.000
5.7925,77.000
5.8576,77.000
5.9226,79.356
5.9877,110.800
6.0528,77.000
6.1179,79.313
6.1830,102.465
6.2481,106.081
6.3131,106.516
6.3782,92.355
6.4433,110.741
6.5084,83.217
6.5735,103.802
6.6386,98.179
6.7036,106.201
6.7687,119.707
6.8338,142.960
6.8989,149.349
6.9640,125.694
7.0291,161.756
7.0941,170.468
7.1592,172.979
7.2243,164.437
7.2894,146.663
7.3545,133.653
7.4196,127.103
7.4847,154.000
7.5497,185.342
7.6148,182.158
7.6799,115.461
7.7450,115.000
7.8101,115.000
7.8752,99.133
7.9402,83.827
8.0053,77.425
8.0704,97.817
8.1355,110.870
8.2006,81.586
8.2657,81.683
8.3307,85.890
8.3958,125.316
8.4609,83.361
8.5260,123.051
8.5911,91.033
8.6562,87.136
8.7212,109.052
8.7863,89.535
8.8514,102.757
8.9165,78.409
8.9816,77.000
9.0467,92.716
9.1118,105.087
9.1768,80.183
9.2419,89.488
9.3070,84.765
9.3721,71.750
9.4372,63.109
9.5023,117.911
9.5673,134.943
9.6324,114.670
9.6975,81.338
9.7626,95.677
9.8277,88.730
9.8928,77.000
9.9578,77.000
10.0229,77.000
10.0880,77.000
10.1531,77.000
10.2182,77.000
10.2833,77.000
10.3483,77.000
10.4134,77.000
10.4785,77.000
10.5436,94.352
10.6087,98.974
10.6738,84.678
10.7388,94.797
10.8039,106.004
10.8690,81.038
10.9341,85.931
10.9992,116.782
11.0643,92.229
11.1294,80.454
11.1944,91.895
11.2595,89.335
11.3246,107.265
11.3897,124.892
11.4548,72.647
11.5199,49.052
11.5849,75.823
11.6500,77.000
11.7151,77.000
11.7802,96.253
11.8453,77.000
11.9104,77.000
11.9754,83.080
12.0405,99.293
12.1056,83.591
12.1707,77.000
12.2358,74.894
12.3009,40.027
12.3659,90.123
12.4310,108.306
12.4961,95.197
12.5612,97.753
12.6263,77.759
12.6914,77.000
12.7565,77.000
12.8215,80.373
12.8866,97.671
12.9517,77.000
13.0168,77.000
13.0819,77.000
13.1470,88.235
13.2120,90.727
13.2771,83.482
13.3422,105.082
13.4073,96.062
13.4724,84.220
13.5375,102.113
13.6025,89.987
13.6676,88.637
13.7327,96.416
13.7978,77.000
13.8629,77.000
13.9280,77.284
13.9930,77.000
14.0581,77.000
14.1232,77.000
14.1883,77.000
14.2534,77.000
14.3185,60.486
14.3836,76.116
14.4486,77.000
14.5137,77.000
14.5788,77.000
14.6439,77.000
14.7090,83.275
14.7741,77.000
14.8391,75.390
14.9042,77.000
14.9693,77.000
